Time,Month,Day,Time of the day,Wind power generation - hourly data
1/1/2018 0:00,1,1,0,938
1/1/2018 1:00,1,1,1,934
1/1/2018 2:00,1,1,2,877
1/1/2018 3:00,1,1,3,904
1/1/2018 4:00,1,1,4,923
1/1/2018 5:00,1,1,5,911
1/1/2018 6:00,1,1,6,924
1/1/2018 7:00,1,1,7,867
1/1/2018 8:00,1,1,8,863
1/1/2018 9:00,1,1,9,829
1/1/2018 10:00,1,1,10,798
1/1/2018 11:00,1,1,11,792
1/1/2018 12:00,1,1,12,760
1/1/2018 13:00,1,1,13,728
1/1/2018 14:00,1,1,14,670
1/1/2018 15:00,1,1,15,646
1/1/2018 16:00,1,1,16,593
1/1/2018 17:00,1,1,17,582
1/1/2018 18:00,1,1,18,600
1/1/2018 19:00,1,1,19,555
1/1/2018 20:00,1,1,20,521
1/1/2018 21:00,1,1,21,499
1/1/2018 22:00,1,1,22,474
1/1/2018 23:00,1,1,23,466
1/2/2018 0:00,1,2,0,430
1/2/2018 1:00,1,2,1,402
1/2/2018 2:00,1,2,2,385
1/2/2018 3:00,1,2,3,352
1/2/2018 4:00,1,2,4,315
1/2/2018 5:00,1,2,5,255
1/2/2018 6:00,1,2,6,237
1/2/2018 7:00,1,2,7,225
1/2/2018 8:00,1,2,8,215
1/2/2018 9:00,1,2,9,189
1/2/2018 10:00,1,2,10,179
1/2/2018 11:00,1,2,11,157
1/2/2018 12:00,1,2,12,140
1/2/2018 13:00,1,2,13,129
1/2/2018 14:00,1,2,14,119
1/2/2018 15:00,1,2,15,110
1/2/2018 16:00,1,2,16,96
1/2/2018 17:00,1,2,17,128
1/2/2018 18:00,1,2,18,174
1/2/2018 19:00,1,2,19,189
1/2/2018 20:00,1,2,20,248
1/2/2018 21:00,1,2,21,288
1/2/2018 22:00,1,2,22,321
1/2/2018 23:00,1,2,23,359
1/3/2018 0:00,1,3,0,391
1/3/2018 1:00,1,3,1,443
1/3/2018 2:00,1,3,2,529
