Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AvgEnergyBought	AvgEnergySold	AvgPriceBought	AverageQVals	StdQVals	LossPi	LossQ	Time
1	20587.744	1925.133	25175.832	7198.9614	1000.0	1000.0	3999	[31.14985984]	0.0	19.0	148.88762	148.84148	-143.06699	2866.3113	1163.5887253284454
2	22509.111	1841.8579	25731.223	10275.102	1000.0	1000.0	7999	[31.49975879]	0.0	19.0	429.91443	201.87149	-435.21222	5026.0474	2326.537962436676
3	23841.74	9318.726	25920.512	10719.007	1000.0	1000.0	11999	[29.90358507]	0.0	19.0	902.3088	258.1636	-910.72186	11163.313	3517.077971458435
4	24965.195	10358.442	28348.887	11882.5625	1000.0	1000.0	15999	[37.10194527]	0.0	19.0	924.6267	304.5627	-886.32825	18308.688	4672.8709235191345
5	26649.668	12085.71	22345.787	8459.634	1000.0	1000.0	19999	[36.94769355]	0.0	19.0	-392.0412	893.6378	541.4275	62164.258	5858.509366750717
6	28927.76	10340.151	30695.244	10555.848	1000.0	1000.0	23999	[30.66340274]	0.0	19.0	-4260.878	1728.4023	4569.669	146670.56	7018.88462638855
7	34083.527	10116.9	25062.785	10915.175	1000.0	1000.0	27999	[31.49975879]	0.0	19.0	-8202.332	1585.8964	8510.217	176515.9	8172.096139669418
8	28466.723	9715.2	30797.707	11322.605	1000.0	1000.0	31999	[32.36812468]	0.0	19.0	-13438.976	2492.17	13936.64	298362.22	9328.475218772888
9	31470.54	13035.3955	25946.744	8333.735	1000.0	1000.0	35999	[31.49975879]	0.0	19.0	-21439.043	3728.9263	22189.371	620776.94	10496.931451320648
10	24405.275	9370.257	29065.387	10405.311	1000.0	1000.0	39999	[31.27112997]	0.0	19.0	-34705.14	6320.636	35958.87	1274271.1	11658.3716506958
11	19049.785	492.02875	28054.059	11657.838	1000.0	1000.0	43999	[31.49975879]	0.0	19.0	-54748.676	9029.658	56554.617	2680557.5	12812.033984184265
12	26385.713	12800.222	25654.932	9089.663	1000.0	1000.0	47999	[31.49975879]	0.0	19.0	-84904.05	14249.678	87716.055	6101020.5	13966.881615877151
13	22181.324	5518.053	27361.812	10381.401	1000.0	1000.0	51999	[23.70378864]	0.0	19.0	-132383.11	21808.752	136627.77	15333238.0	15119.082176685333
14	23683.18	8622.816	20451.178	3810.0232	1000.0	1000.0	55999	[25.38933636]	0.0	19.0	-190945.81	27048.691	196073.73	28457462.0	17378.747422218323
15	18784.426	764.3045	25165.951	7537.6533	1000.0	1000.0	59999	[31.15216465]	0.0	19.0	-257268.6	33761.06	263615.47	49681384.0	20643.292939662933
16	20016.73	2584.8367	26434.15	11397.532	1000.0	1000.0	63999	[36.33908609]	0.0	19.0	-339978.66	45311.773	348423.62	89069784.0	23909.611391544342
17	26105.559	4377.897	30059.646	12021.633	1000.0	1000.0	67999	[31.12923704]	0.0	19.0	-449860.12	57714.57	460470.2	157540750.0	59120.79386425018
18	32231.477	9028.675	30776.77	11398.952	1000.0	1000.0	71999	[30.05222368]	0.0	19.0	-567908.5	66683.45	579914.5	237137520.0	62352.85772109032
