Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	32042.75	136.95871	32270.0	31910.0	1000.0	-0.064322524	0.3113816	0.36451644	-0.5761668	4000	-0.0010656262	8956925.0	0.0	-53692.0	0.9189386	-1.8477441e-09	399.03389143943787
1	31600.0	583.5238	31970.0	30590.0	1000.0	9.216626	0.30137184	9.317363	4.266872	8000	-0.04057381	8828158.0	0.0	-34500.0	0.9189385	-4.112721e-09	750.7221307754517
2	31330.0	685.01825	31990.0	30300.0	1000.0	15.238491	0.25333032	15.280236	9.751511	12000	-0.010388234	8565393.0	0.0	-31221.0	0.9187935	-1.4305115e-09	1097.1596353054047
3	31748.0	175.0757	31940.0	31511.0	1000.0	20.789066	0.10423237	20.808823	17.803005	16000	-0.047188424	8665227.0	0.0	-30630.0	0.91868865	4.768372e-10	1445.5125041007996
4	30882.5	1735.7472	32440.0	27980.0	1000.0	26.216038	0.112486795	26.230286	23.59366	20000	-0.008805567	8190813.0	0.0	-29017.5	0.9185092	2.861023e-09	1794.3947548866272
5	31425.25	523.4049	31920.0	30630.0	1000.0	31.487392	0.029637042	31.495358	30.912111	24000	0.008945229	8614121.0	0.0	-30274.0	0.91834176	-3.963709e-09	2145.1183087825775
6	31050.0	1821.3868	32530.0	27930.0	1000.0	36.84091	0.027725363	36.84664	36.33718	28000	-0.0239458	8223906.0	0.0	-28913.5	0.9182086	-1.6093255e-09	2499.031132221222
7	31685.0	547.74536	32250.0	30780.0	1000.0	42.07766	0.0151079465	42.081467	41.758617	32000	0.0145354625	8515316.0	0.0	-29732.0	0.9180831	8.940697e-11	2857.1419405937195
8	29440.25	2098.0251	31910.0	27170.0	1000.0	47.369823	0.01026032	47.37211	47.074368	36000	0.040040065	7339509.5	0.0	-25597.0	0.9179856	9.834766e-10	3209.814882040024
9	30567.75	1797.636	32570.0	27821.0	1000.0	52.315464	0.0075886915	52.31736	52.03461	40000	-0.04191322	7826024.5	0.0	-27360.5	0.91794956	-2.6822091e-09	3561.7743153572083
10	31955.0	153.21553	32220.0	31860.0	1000.0	57.40759	0.01564732	57.410072	57.137627	44000	0.0033213703	8652135.0	0.0	-30393.0	0.91787845	-2.6822092e-10	3907.944628238678
11	31022.5	770.3043	31530.0	29690.0	1000.0	62.76709	0.0036915557	62.76826	62.631477	48000	-0.0048380406	8054901.0	0.0	-28121.0	0.9178217	2.384186e-09	4256.954961299896
12	30985.0	1425.4385	32000.0	28540.0	1000.0	67.9443	0.009462166	67.94564	67.70887	52000	-0.014141983	8064723.5	0.0	-28309.5	0.9177785	4.4703485e-09	4604.897535800934
13	31525.0	622.67566	31960.0	30450.0	1000.0	73.12649	0.010856735	73.127975	72.91159	56000	-0.022823187	8298393.0	0.0	-29190.0	0.9177291	4.8279762e-09	4953.228387832642
14	31972.5	45.483513	32050.0	31940.0	1000.0	78.384346	0.007297142	78.38557	78.254555	60000	-0.027147057	8549419.0	0.0	-30040.0	0.9176713	1.192093e-09	5305.079745292664
15	29703.0	1850.2437	31880.0	27601.0	1000.0	83.71234	0.0018138499	83.71288	83.64014	64000	0.016499048	7229041.5	0.0	-25548.5	0.9176029	-7.927418e-09	5669.502042531967
16	31035.25	1562.6061	31990.0	28330.0	1000.0	88.65905	0.0032242145	88.65977	88.58981	68000	0.0037728387	7943087.5	0.0	-27808.5	0.917555	3.874302e-10	6018.556408882141
17	28217.75	474.8686	28850.0	27581.0	1000.0	93.78971	0.0023309346	93.79017	93.725174	72000	-0.04161172	6447873.0	0.0	-23262.5	0.9175138	9.119511e-09	6370.815053224564
18	32272.5	362.99966	32660.0	31900.0	1000.0	98.535126	0.0020804768	98.53572	98.49139	76000	-0.011018306	8459148.0	0.0	-29742.0	0.91744345	-1.0728837e-09	6731.142441272736
19	30962.5	1218.4493	32380.0	29660.0	1000.0	103.84006	0.0013785851	103.84046	103.79848	80000	-0.008031326	7784011.0	0.0	-27550.0	0.9173743	-1.0430813e-09	7081.070428371429
20	30637.5	502.1143	31300.0	29960.0	1000.0	108.9931	0.0009443211	108.99346	108.95331	84000	-0.04612777	7537438.5	0.0	-26747.5	0.9173055	-3.6060812e-09	7431.268607616425
21	30507.5	1881.4672	31950.0	27350.0	1000.0	114.06581	0.0014189959	114.066185	114.036285	88000	-0.017823538	7607507.0	0.0	-27049.0	0.917205	-1.013279e-09	7783.7313985824585
22	31432.5	1245.9609	32550.0	29320.0	1000.0	119.167015	0.0014232987	119.16738	119.14053	92000	-0.028915849	7927258.5	0.0	-28345.5	0.91710514	7.748604e-10	8130.77933716774
23	30970.0	1815.6128	32290.0	27840.0	1000.0	124.38519	0.0011745607	124.38548	124.36006	96000	0.025448605	7751623.0	0.0	-27685.0	0.91699076	-4.440546e-09	8478.162513017654
24	29970.0	1850.027	32290.0	27630.0	1000.0	129.55338	0.00022629059	129.55357	129.54512	100000	-0.0056157927	6984664.5	0.0	-24917.0	0.91690964	-1.8775463e-09	8825.120386600494
25	30825.0	977.4073	31980.0	29750.0	1000.0	134.47606	0.00075792335	134.47627	134.45291	104000	0.005193619	7516331.5	0.0	-26724.5	0.91683406	-2.7418139e-09	9174.23379445076
26	30495.25	1263.8306	31960.0	29200.0	1000.0	139.55585	0.00081514666	139.55606	139.5336	108000	-0.041787945	7364764.0	0.0	-26455.5	0.9167679	-3.4272671e-09	9522.33948469162
27	32125.25	208.56099	32480.0	31970.0	1000.0	144.62831	0.0010496738	144.62852	144.607	112000	0.016817551	8216720.5	0.0	-29471.5	0.91667545	-4.4703485e-10	9870.697926282883
28	31450.0	837.22754	31950.0	30000.0	1000.0	149.96156	0.0011262262	149.96179	149.94136	116000	0.012949974	7907516.0	0.0	-28500.5	0.9166053	4.142523e-09	10218.0580868721
29	29642.5	1555.2872	31950.0	27900.0	1000.0	155.22379	0.0006561175	155.22397	155.20467	120000	-0.033789974	6842533.0	0.0	-24659.0	0.916553	1.2218953e-09	10567.301587820053
30	30430.0	1548.6284	31990.0	28660.0	1000.0	160.14041	0.0003515629	160.14055	160.13376	124000	-0.00086050323	7362879.0	0.0	-26386.5	0.9164822	4.112721e-09	10917.818994045258
31	29740.0	2063.88	31880.0	27520.0	1000.0	165.20244	0.00029931488	165.20262	165.1962	128000	-0.01695758	6987149.0	0.0	-25163.0	0.91641444	-1.4901161e-09	11342.69964170456
32	30942.5	1358.8851	31950.0	28640.0	1000.0	170.17175	0.00037207143	170.17189	170.16576	132000	-0.01119167	7446274.5	0.0	-26864.5	0.91634	5.960465e-10	11863.973881721497
33	29830.0	1509.2051	31980.0	28160.0	1000.0	175.2944	0.00022588845	175.29456	175.28867	136000	-0.007597376	6836154.5	0.0	-24758.0	0.9162666	7.063151e-09	12406.112043619156
