Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	64483.75	3820.9368	70251.0	59510.0	1000.0	-0.41790318	0.39901805	0.28408656	-0.96100247	4000	-2.4962426e-07	37346050.0	-0.02198326	-107956.0	0.9189386	0.014486714	0.1415	79.0	1228.914318561554
1	60694.0	4725.258	64921.0	53063.0	1000.0	8.794899	0.20577723	8.897737	4.8358335	8000	1.0490418e-07	33720172.0	-0.016881803	-64892.0	0.91525584	0.015072558	0.113	37.0	2348.132390022278
2	65266.75	1631.6643	68091.0	64243.0	1000.0	14.67114	0.08897836	14.690107	12.335438	12000	9.381772e-08	38446292.0	-0.019978866	-68132.0	0.91179645	0.012656493	0.11	79.0	3422.4749121665955
3	63143.5	2265.4426	65471.0	59410.0	1000.0	20.42887	0.07994338	20.442585	18.812023	16000	1.5187264e-07	35369864.0	-0.021007378	-62244.0	0.9149185	0.015002918	0.13575	64.0	4135.453939676285
4	56746.5	6866.601	64194.0	45541.0	1000.0	25.880915	0.021213545	25.888496	25.470022	20000	6.639958e-08	29347624.0	-0.019505927	-50766.0	0.91367674	0.01502067	0.13625	60.0	4601.8045353889465
5	59709.0	8132.4775	70463.0	49751.0	1000.0	30.83059	0.011614766	30.835102	30.472464	24000	1.1968613e-07	32345624.0	-0.011159673	-55644.0	0.90933526	0.015587777	0.089	16.0	5042.596748113632
6	58921.75	7736.8994	65564.0	46041.0	1000.0	35.98444	0.009041331	35.987583	35.776527	28000	2.4175645e-07	31512762.0	-0.020004775	-53998.0	0.9076364	0.0151259545	0.12875	73.0	5740.904664516449
7	63143.5	3851.8743	67012.0	56730.0	1000.0	41.0884	0.0070528113	41.090427	40.902523	32000	-4.7683717e-08	35642204.0	-0.019298675	-61700.0	0.92042035	0.015079943	0.10625	55.0	6286.222697019577
8	58906.5	6473.8735	64492.0	48121.0	1000.0	46.50739	0.006989419	46.50947	46.339394	36000	-1.8119813e-08	31104536.0	-0.016323097	-53946.0	0.92445606	0.015106874	0.135	29.0	6957.929209470749
9	56291.5	8095.916	64352.0	47030.0	1000.0	51.611282	0.0037168781	51.612957	51.53415	40000	2.6249887e-07	28479150.0	-0.017121933	-49112.0	0.9230192	0.015032191	0.12625	40.0	7717.7349491119385
10	55546.5	6777.033	63582.0	46061.0	1000.0	56.49114	0.0032701055	56.492672	56.42115	44000	-1.8215181e-07	26727062.0	-0.019189859	-46566.0	0.9188818	0.011564622	0.12475	79.0	8332.152616739273
11	58716.5	4790.68	63743.0	53091.0	1000.0	61.263897	0.0020179313	61.26487	61.20877	48000	-4.3034557e-08	31677300.0	-0.008264593	-55486.0	0.91454506	0.015794	0.155	10.0	9115.38383603096
12	60184.75	7392.2515	64462.0	47381.0	1000.0	66.45173	0.0024748403	66.45252	66.40079	52000	2.5677681e-07	33512148.0	-0.02158475	-58550.0	0.91313654	0.014465222	0.12475	79.0	9829.821017026901
13	57109.5	7881.992	64564.0	45500.0	1000.0	71.793015	0.00254455	71.793846	71.744736	56000	1.5592576e-07	28812374.0	-0.011069592	-50756.0	0.91700053	0.015085454	0.1115	15.0	10504.367134332657
14	60499.5	6640.879	64474.0	49000.0	1000.0	76.79802	0.0015069885	76.79857	76.769554	60000	2.884865e-08	33242714.0	-0.010199454	-57428.0	0.9158445	0.015000565	0.1025	13.0	11108.284456729889
15	62290.0	3827.3284	64652.0	55664.0	1000.0	82.08097	0.0012676761	82.081436	82.05452	64000	9.298325e-08	34995880.0	-0.011000305	-61812.0	0.91342235	0.015866185	0.11375	13.0	11776.851293802261
16	64104.5	5333.7715	68753.0	55272.0	1000.0	87.558014	0.001096861	87.558426	87.53338	68000	-1.6736985e-07	36368280.0	-0.009930037	-64112.0	0.9102376	0.01578498	0.09375	11.0	12312.149703502655
17	61127.75	5576.2266	64655.0	51481.0	1000.0	93.1203	0.0010256316	93.12071	93.097374	72000	2.4139883e-08	32964822.0	-0.012795227	-57576.0	0.9081021	0.015028283	0.097	15.0	13047.448492527008
18	63482.0	2077.5278	65742.0	60161.0	1000.0	98.40267	0.0008248582	98.40302	98.381195	76000	2.5320054e-07	34943110.0	-0.019027533	-60960.0	0.9082217	0.015020793	0.11925	39.0	13597.468912363052
