Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	63340.75	2574.3513	66671.0	59441.0	1000.0	0.042139307	0.15980457	0.5252142	-0.14345802	4000	-0.0076146843	36493170.0	0.0	-107496.0	0.9189386	-9.2387203e-10	278.0148494243622
1	62543.5	2675.1616	64160.0	57911.0	1000.0	9.330674	0.44466516	9.466861	1.467176	8000	-0.018601796	36370260.0	0.0	-70916.0	0.9187885	-2.384186e-10	549.6961798667908
2	62185.5	4922.0386	66730.0	53871.0	1000.0	15.492521	0.18161792	15.526654	10.106668	12000	0.02817334	35269570.0	0.0	-63348.0	0.91860324	1.3411046e-09	819.8373775482178
3	60988.75	5707.9077	65072.0	51140.0	1000.0	21.090137	0.12156211	21.107088	15.813168	16000	0.0061378167	33535936.0	0.0	-58482.0	0.9185678	1.6689301e-09	1094.0314779281616
4	54209.0	6661.625	64002.0	45193.0	1000.0	26.40971	0.21909265	26.430935	21.189898	20000	-0.013349703	26486588.0	0.0	-46752.0	0.91854686	3.963709e-09	1364.2817702293396
5	60568.75	5440.3193	64010.0	51163.0	1000.0	31.226805	0.061821114	31.236124	29.906872	24000	-0.008453966	32718388.0	0.0	-56976.0	0.9185394	5.8412555e-09	1634.772234916687
6	60676.0	7901.8066	67371.0	47190.0	1000.0	36.491558	0.012888576	36.496384	36.135612	28000	0.019363316	33666780.0	0.0	-58888.0	0.91852397	3.0100347e-09	1915.0176949501038
7	62323.0	1998.2986	63952.0	59020.0	1000.0	41.852837	0.012875075	41.856335	41.526173	32000	0.031655908	35256416.0	0.0	-62164.0	0.9185252	6.645918e-09	2179.060583114624
8	52383.25	7326.474	63790.0	45561.0	1000.0	47.331085	0.010178509	47.334682	47.03312	36000	0.0009782062	24328010.0	0.0	-43432.0	0.91857535	-3.7550927e-09	2438.0728731155396
9	58718.5	4378.859	63831.0	52220.0	1000.0	51.98609	0.009040489	51.988705	51.70674	40000	-0.0024136754	31754816.0	0.0	-55230.0	0.918619	1.9967556e-09	2696.2045443058014
10	55223.0	6085.2944	63900.0	47161.0	1000.0	57.158226	0.0040529883	57.160503	57.043274	44000	0.029603386	27097524.0	0.0	-48558.0	0.91865677	0.0	2955.4319961071014
11	59230.75	8684.992	67421.0	44760.0	1000.0	62.073986	0.0031812158	62.07576	61.96789	48000	-0.03594998	31456478.0	0.0	-55054.0	0.9187216	-1.9967556e-09	3215.3929653167725
12	57702.25	7276.5903	64111.0	46245.0	1000.0	67.274284	0.0043231226	67.275986	67.17442	52000	0.020784609	29891164.0	0.0	-53134.0	0.91873944	8.940697e-10	3473.5796768665314
13	57236.25	5845.751	63930.0	49970.0	1000.0	72.41035	0.0031513611	72.411896	72.31707	56000	0.003018507	28779640.0	0.0	-52030.0	0.9187725	-9.834766e-10	3732.567955493927
14	58455.75	6260.133	65270.0	50661.0	1000.0	77.49531	0.0032421171	77.49662	77.406654	60000	0.04214362	30372292.0	0.0	-53978.0	0.9188084	-3.9041046e-09	3989.8170051574707
15	55386.25	7004.2573	66990.0	48822.0	1000.0	82.6696	0.002381435	82.670876	82.58608	64000	0.003272688	27037926.0	0.0	-48460.0	0.9188747	-1.8179418e-09	4249.619883775711
16	56390.5	9109.905	66631.0	45180.0	1000.0	87.60316	0.00253998	87.60424	87.523544	68000	0.0043533556	28656272.0	0.0	-51224.0	0.91893655	-2.3543836e-09	4512.215714454651
17	59638.75	7886.302	64721.0	45991.0	1000.0	92.66062	0.0033629907	92.66159	92.582405	72000	-0.0018530485	31889488.0	0.0	-56496.0	0.91899437	6.8843367e-09	4771.185980796814
18	52923.0	6613.4365	63940.0	46561.0	1000.0	97.96581	0.002127296	97.96671	97.89458	76000	-0.015322919	24272528.0	0.0	-44548.0	0.9190446	-8.314848e-09	5030.833747386932
19	59950.5	2796.8098	63900.0	56010.0	1000.0	102.73489	0.0014429815	102.73556	102.689316	80000	0.0020077897	32131650.0	0.0	-57818.0	0.91907823	-4.500151e-09	5288.5641140937805
20	58418.5	7029.8213	63980.0	46702.0	1000.0	108.09129	0.001933766	108.09197	108.048004	84000	-0.010994663	30607034.0	0.0	-55198.0	0.9191073	1.7583371e-09	5547.506380081177
21	64170.75	468.03918	64972.0	63810.0	1000.0	113.36653	0.0014479877	113.36705	113.32549	88000	-0.0024377424	36059030.0	0.0	-65128.0	0.91912514	9.536744e-10	5806.299502849579
22	61156.0	2183.406	63901.0	58733.0	1000.0	119.04102	0.000957573	119.04151	119.015755	92000	-0.003593693	33128424.0	0.0	-59406.0	0.91913813	-5.9008602e-09	6065.162693738937
23	62593.75	3764.0356	67090.0	56713.0	1000.0	124.48394	0.0009835332	124.48439	124.45985	96000	-0.013606426	34100380.0	0.0	-61420.0	0.9191474	-2.6822091e-09	6323.581570386887
24	62856.25	1855.8105	63952.0	59642.0	1000.0	129.98189	0.000981427	129.98228	129.95903	100000	-0.010683635	34807816.0	0.0	-62020.0	0.9191451	-2.9802324e-10	6601.78352022171
25	63833.25	2221.5266	67230.0	61040.0	1000.0	135.4952	0.00063959754	135.49553	135.47346	104000	-0.010041602	35035052.0	0.0	-61676.0	0.9191337	3.5762787e-10	6877.053387403488
26	59330.75	6485.8667	63920.0	48242.0	1000.0	140.98044	0.0007686537	140.98079	140.95975	108000	0.026513774	30291260.0	0.0	-53174.0	0.91911334	9.447336e-09	7135.227085351944
27	54700.25	6563.525	63780.0	48110.0	1000.0	146.09306	0.00084266916	146.09343	146.07533	112000	0.003260668	26616972.0	0.0	-46690.0	0.9191158	3.0100347e-09	7394.212363481522
28	60872.75	4015.374	63890.0	54091.0	1000.0	150.89232	0.00073460414	150.89262	150.8766	116000	0.020540087	32834238.0	0.0	-57700.0	0.91912067	4.053116e-09	7652.835384607315
29	54705.75	6728.685	63841.0	47191.0	1000.0	156.18062	0.00047857506	156.18094	156.17181	120000	-0.0149547495	26491652.0	0.0	-46772.0	0.9191358	3.5464764e-09	7924.012642145157
30	50810.75	7475.1685	63751.0	46260.0	1000.0	161.01006	0.00036897862	161.01035	161.00172	124000	0.041580625	21846696.0	0.0	-38812.0	0.9191399	-2.6524067e-09	8182.475550413132
31	59500.5	7801.701	64291.0	45991.0	1000.0	165.42586	0.00044845603	165.42607	165.41772	128000	0.020682532	30510362.0	0.0	-53536.0	0.91917425	-1.7285348e-09	8441.33573961258
32	60180.5	6213.363	63880.0	49420.0	1000.0	170.55292	0.0004194398	170.55316	170.54524	132000	0.0018678284	31360394.0	0.0	-56630.0	0.919222	-2.5928022e-09	8700.23895740509
33	58125.25	7247.083	63901.0	46150.0	1000.0	175.86383	0.00031818656	175.86403	175.85657	136000	0.011429344	29638378.0	0.0	-53062.0	0.9192678	5.4538254e-09	8958.178491592407
34	56855.25	7284.567	63831.0	46820.0	1000.0	181.01978	0.0003485426	181.02	181.01285	140000	0.032867912	27984386.0	0.0	-50056.0	0.9193167	3.9935113e-09	9217.983353853226
35	59430.5	5191.727	63771.0	51061.0	1000.0	186.0314	0.0003410976	186.0316	186.02477	144000	-0.002332589	30993488.0	0.0	-55226.0	0.9193859	-1.6093255e-09	9477.60109448433
36	63605.25	2217.7405	66500.0	60260.0	1000.0	191.27403	0.0002497982	191.27419	191.26765	148000	0.03368503	35107616.0	0.0	-63352.0	0.91944826	-5.3048135e-09	9736.13103556633
37	51090.5	7479.236	63841.0	45530.0	1000.0	196.87094	0.00029446319	196.87111	196.86484	152000	0.0008837405	21779932.0	0.0	-39810.0	0.9195204	-2.8312208e-09	9993.80839586258
38	62805.25	2562.9724	65110.0	58460.0	1000.0	201.4016	0.00023550607	201.40175	201.39569	156000	-0.014837786	34277976.0	0.0	-61128.0	0.9195876	5.2154068e-09	10251.943056106567
39	57558.5	6103.4966	63790.0	49381.0	1000.0	206.86832	0.00024696375	206.86848	206.86264	160000	0.0020074826	27767314.0	0.0	-50072.0	0.9196404	1.1622906e-09	10510.968363046646
40	59906.25	2844.896	63881.0	56952.0	1000.0	211.90741	0.00019927885	211.90755	211.90192	164000	-0.0339206	30002398.0	0.0	-54190.0	0.9196915	-9.536744e-10	10768.75680565834
41	54506.25	7602.058	63771.0	46402.0	1000.0	217.10397	0.0001829474	217.10411	217.09871	168000	0.008195833	24938448.0	0.0	-44662.0	0.9197116	-1.6391278e-09	11027.169677495956
42	63725.25	918.24976	64910.0	62330.0	1000.0	221.8724	0.00024245778	221.8725	221.86725	172000	0.006115659	34834770.0	0.0	-62524.0	0.91973513	-7.1525574e-10	11285.978810787201
43	62456.0	2307.1465	63871.0	58461.0	1000.0	227.42557	0.00026846104	227.42569	227.42067	176000	-0.0001498337	34141076.0	0.0	-61948.0	0.91976357	9.536744e-10	11547.080613613129
44	54438.0	8861.063	63871.0	44920.0	1000.0	232.99039	0.00016669677	232.99051	232.98567	180000	-0.020366136	24657496.0	0.0	-44364.0	0.91979027	-8.8214875e-09	11808.59167098999
