time,Value
20050101:0007,0
20050101:0107,0
20050101:0207,0
20050101:0307,0
20050101:0407,0
20050101:0507,0
20050101:0607,174.24
20050101:0707,431.43
20050101:0807,602.82
20050101:0907,726.07
20050101:1007,778.32
20050101:1107,788.35
20050101:1207,751.5
20050101:1307,638.46
20050101:1407,490.74
20050101:1507,270.93
20050101:1607,0
20050101:1707,0
20050101:1807,0
20050101:1907,0
20050101:2007,0
20050101:2107,0
20050101:2207,0
20050101:2307,0
20050102:0007,0
20050102:0107,0
20050102:0207,0
20050102:0307,0
20050102:0407,0
20050102:0507,0
20050102:0607,196.37
20050102:0707,414
20050102:0807,574.86
20050102:0907,681.89
20050102:1007,741.59
20050102:1107,739.91
20050102:1207,701.19
20050102:1307,618.87
20050102:1407,463.84
20050102:1507,259.72
20050102:1607,0
20050102:1707,0
20050102:1807,0
20050102:1907,0
20050102:2007,0
20050102:2107,0
20050102:2207,0
20050102:2307,0
20050103:0007,0
20050103:0107,0
20050103:0207,0
20050103:0307,0
20050103:0407,0
20050103:0507,0
20050103:0607,193.59
20050103:0707,431.63
20050103:0807,603.91
20050103:0907,734.24
20050103:1007,797.45
20050103:1107,801.86
20050103:1207,767.32
20050103:1307,643.77
20050103:1407,483.11
20050103:1507,285.43
20050103:1607,0
20050103:1707,0
20050103:1807,0
20050103:1907,0
20050103:2007,0
20050103:2107,0
20050103:2207,0
20050103:2307,0
20050104:0007,0
20050104:0107,0
20050104:0207,0
20050104:0307,0
20050104:0407,0
20050104:0507,0
20050104:0607,194.87
20050104:0707,446.47
20050104:0807,606.63
20050104:0907,734.98
20050104:1007,787.24
20050104:1107,809.95
20050104:1207,757.14
20050104:1307,642.6
20050104:1407,487.49
20050104:1507,272.25
20050104:1607,0
20050104:1707,0
20050104:1807,0
20050104:1907,0
20050104:2007,0
20050104:2107,0
20050104:2207,0
20050104:2307,0
20050105:0007,0
20050105:0107,0
20050105:0207,0
20050105:0307,0
20050105:0407,0
20050105:0507,0
20050105:0607,205.79
20050105:0707,436.91
20050105:0807,625.19
20050105:0907,745.52
20050105:1007,819.06
20050105:1107,824.57
20050105:1207,770.94
20050105:1307,668.2
20050105:1407,512.23
20050105:1507,295.69
20050105:1607,0
20050105:1707,0
20050105:1807,0
20050105:1907,0
20050105:2007,0
20050105:2107,0
20050105:2207,0
20050105:2307,0
20050106:0007,0
20050106:0107,0
20050106:0207,0
20050106:0307,0
20050106:0407,0
20050106:0507,0
20050106:0607,194.33
20050106:0707,457.34
20050106:0807,639.6
20050106:0907,741.05
20050106:1007,817.05
20050106:1107,827.72
20050106:1207,782.6
20050106:1307,649.53
20050106:1407,456.31
20050106:1507,241.92
20050106:1607,0
20050106:1707,0
20050106:1807,0
20050106:1907,0
20050106:2007,0
20050106:2107,0
20050106:2207,0
20050106:2307,0
20050107:0007,0
20050107:0107,0
20050107:0207,0
20050107:0307,0
20050107:0407,0
20050107:0507,0
20050107:0607,194.69
20050107:0707,432.65
20050107:0807,629.52
20050107:0907,743.45
20050107:1007,817.17
20050107:1107,864.89
20050107:1207,745.77
20050107:1307,653.34
20050107:1407,498.77
20050107:1507,293.47
20050107:1607,0
20050107:1707,0
20050107:1807,0
20050107:1907,0
20050107:2007,0
20050107:2107,0
20050107:2207,0
20050107:2307,0
20050108:0007,0
20050108:0107,0
20050108:0207,0
20050108:0307,0
20050108:0407,0
20050108:0507,0
20050108:0607,205.96
20050108:0707,444.63
20050108:0807,640.4
20050108:0907,775.36
20050108:1007,827.5
20050108:1107,805.7
20050108:1207,804.98
20050108:1307,668.49
20050108:1407,515.56
20050108:1507,279.68
20050108:1607,0
20050108:1707,0
20050108:1807,0
20050108:1907,0
20050108:2007,0
20050108:2107,0
20050108:2207,0
20050108:2307,0
20050109:0007,0
20050109:0107,0
20050109:0207,0
20050109:0307,0
20050109:0407,0
20050109:0507,0
20050109:0607,191.13
20050109:0707,430.9
20050109:0807,642.15
20050109:0907,760.34
20050109:1007,862.95
20050109:1107,844.43
20050109:1207,770.23
20050109:1307,696.41
20050109:1407,534.05
20050109:1507,285.11
20050109:1607,0
20050109:1707,0
20050109:1807,0
20050109:1907,0
20050109:2007,0
20050109:2107,0
20050109:2207,0
20050109:2307,0
20050110:0007,0
20050110:0107,0
20050110:0207,0
20050110:0307,0
20050110:0407,0
20050110:0507,0
20050110:0607,201.83
20050110:0707,458.17
20050110:0807,645.15
20050110:0907,793.18
20050110:1007,827.52
20050110:1107,849.62
20050110:1207,754.15
20050110:1307,656.4
20050110:1407,516.51
20050110:1507,276.6
20050110:1607,0
20050110:1707,0
20050110:1807,0
20050110:1907,0
20050110:2007,0
20050110:2107,0
20050110:2207,0
20050110:2307,0
