time,P
20050101:0007,0
20050101:0107,0
20050101:0207,0
20050101:0307,0
20050101:0407,0
20050101:0507,0
20050101:0607,161.55
20050101:0707,303.22
20050101:0807,616.78
20050101:0907,719.47
20050101:1007,789.35
20050101:1107,807.78
20050101:1207,770.45
20050101:1307,670.75
20050101:1407,498.35
20050101:1507,286.56
20050101:1607,0
20050101:1707,0
20050101:1807,0
20050101:1907,0
20050101:2007,0
20050101:2107,0
20050101:2207,0
20050101:2307,0
20050102:0007,0
20050102:0107,0
20050102:0207,0
20050102:0307,0
20050102:0407,0
20050102:0507,0
20050102:0607,192.33
20050102:0707,423.67
20050102:0807,590.94
20050102:0907,707.83
20050102:1007,763.34
20050102:1107,769.78
20050102:1207,720.77
20050102:1307,630.36
20050102:1407,481.54
20050102:1507,274.72
20050102:1607,0
20050102:1707,0
20050102:1807,0
20050102:1907,0
20050102:2007,0
20050102:2107,0
20050102:2207,0
20050102:2307,0
20050103:0007,0
20050103:0107,0
20050103:0207,0
20050103:0307,0
20050103:0407,0
20050103:0507,0
20050103:0607,179.84
20050103:0707,428.27
20050103:0807,623.16
20050103:0907,743.45
20050103:1007,805.77
20050103:1107,818.32
20050103:1207,773.4
20050103:1307,671.63
20050103:1407,515.75
20050103:1507,300.43
20050103:1607,0
20050103:1707,0
20050103:1807,0
20050103:1907,0
20050103:2007,0
20050103:2107,0
20050103:2207,0
20050103:2307,0
20050104:0007,0
20050104:0107,0
20050104:0207,0
20050104:0307,0
20050104:0407,0
20050104:0507,0
20050104:0607,192.54
20050104:0707,420.83
20050104:0807,613.52
20050104:0907,726.46
20050104:1007,786.59
20050104:1107,793.91
20050104:1207,750.88
20050104:1307,650.32
20050104:1407,491.51
20050104:1507,287.05
20050104:1607,0
20050104:1707,0
20050104:1807,0
20050104:1907,0
20050104:2007,0
20050104:2107,0
20050104:2207,0
20050104:2307,0
20050105:0007,0
20050105:0107,0
20050105:0207,0
20050105:0307,0
20050105:0407,0
20050105:0507,0
20050105:0607,203.27
20050105:0707,433.55
20050105:0807,621.21
20050105:0907,755.55
20050105:1007,819.12
20050105:1107,832.1
20050105:1207,773.44
20050105:1307,668.55
20050105:1407,517.39
20050105:1507,311.07
20050105:1607,0
20050105:1707,0
20050105:1807,0
20050105:1907,0
20050105:2007,0
20050105:2107,0
20050105:2207,0
20050105:2307,0
20050106:0007,0
20050106:0107,0
20050106:0207,0
20050106:0307,0
20050106:0407,0
20050106:0507,0
20050106:0607,192.14
20050106:0707,455.29
20050106:0807,637.17
20050106:0907,768.52
20050106:1007,823.13
20050106:1107,809.99
20050106:1207,717.94
20050106:1307,605.5
20050106:1407,488.05
20050106:1507,273.93
20050106:1607,0
20050106:1707,0
20050106:1807,0
20050106:1907,0
20050106:2007,0
20050106:2107,0
20050106:2207,0
20050106:2307,0
20050107:0007,0
20050107:0107,0
20050107:0207,0
20050107:0307,0
20050107:0407,0
20050107:0507,0
20050107:0607,192.55
20050107:0707,443.06
20050107:0807,637.42
20050107:0907,758.02
20050107:1007,829.63
20050107:1107,829.84
20050107:1207,781.65
20050107:1307,680.03
20050107:1407,520.8
20050107:1507,277.59
20050107:1607,0
20050107:1707,0
20050107:1807,0
20050107:1907,0
20050107:2007,0
20050107:2107,0
20050107:2207,0
20050107:2307,0
20050108:0007,0
20050108:0107,0
20050108:0207,0
20050108:0307,0
20050108:0407,0
20050108:0507,0
20050108:0607,191.18
20050108:0707,442.66
20050108:0807,623.7
20050108:0907,758
20050108:1007,830.67
20050108:1107,832.66
20050108:1207,776.57
20050108:1307,674.88
20050108:1407,508.57
20050108:1507,298.34
20050108:1607,0
20050108:1707,0
20050108:1807,0
20050108:1907,0
20050108:2007,0
20050108:2107,0
20050108:2207,0
20050108:2307,0
20050109:0007,0
20050109:0107,0
20050109:0207,0
20050109:0307,0
20050109:0407,0
20050109:0507,0
20050109:0607,188.76
20050109:0707,452.07
20050109:0807,639.45
20050109:0907,772.93
20050109:1007,823.16
20050109:1107,842.86
20050109:1207,786.49
20050109:1307,682.42
20050109:1407,518.19
20050109:1507,303.87
20050109:1607,0
20050109:1707,0
20050109:1807,0
20050109:1907,0
20050109:2007,0
20050109:2107,0
20050109:2207,0
20050109:2307,0
20050110:0007,0
20050110:0107,0
20050110:0207,0
20050110:0307,0
20050110:0407,0
20050110:0507,0
20050110:0607,187.84
20050110:0707,442.82
20050110:0807,606.22
20050110:0907,747.06
20050110:1007,827.38
20050110:1107,825.9
20050110:1207,780.11
20050110:1307,672.15
20050110:1407,494.17
20050110:1507,289.87
20050110:1607,0
20050110:1707,0
20050110:1807,0
20050110:1907,0
20050110:2007,0
20050110:2107,0
20050110:2207,0
20050110:2307,0
20050111:0007,0
