time,P
20050101:0007,0
20050101:0107,0
20050101:0207,0
20050101:0307,0
20050101:0407,0
20050101:0507,0
20050101:0607,205.71
20050101:0707,432.13
20050101:0807,622.81
20050101:0907,746.63
20050101:1007,777.72
20050101:1107,763.25
20050101:1207,723.27
20050101:1307,625.09
20050101:1407,462.34
20050101:1507,265.48
20050101:1607,0
20050101:1707,0
20050101:1807,0
20050101:1907,0
20050101:2007,0
20050101:2107,0
20050101:2207,0
20050101:2307,0
20050102:0007,0
20050102:0107,0
20050102:0207,0
20050102:0307,0
20050102:0407,0
20050102:0507,0
20050102:0607,188.75
20050102:0707,440.91
20050102:0807,602.31
20050102:0907,699.17
20050102:1007,752.42
20050102:1107,746.55
20050102:1207,706.48
20050102:1307,608.62
20050102:1407,446.93
20050102:1507,251.89
20050102:1607,0
20050102:1707,0
20050102:1807,0
20050102:1907,0
20050102:2007,0
20050102:2107,0
20050102:2207,0
20050102:2307,0
20050103:0007,0
20050103:0107,0
20050103:0207,0
20050103:0307,0
20050103:0407,0
20050103:0507,0
20050103:0607,188.63
20050103:0707,434.79
20050103:0807,635.17
20050103:0907,742.84
20050103:1007,804.56
20050103:1107,802.15
20050103:1207,751.43
20050103:1307,653.56
20050103:1407,483.85
20050103:1507,279.46
20050103:1607,0
20050103:1707,0
20050103:1807,0
20050103:1907,0
20050103:2007,0
20050103:2107,0
20050103:2207,0
20050103:2307,0
20050104:0007,0
20050104:0107,0
20050104:0207,0
20050104:0307,0
20050104:0407,0
20050104:0507,0
20050104:0607,188.4
20050104:0707,439.51
20050104:0807,627.41
20050104:0907,713.33
20050104:1007,788.15
20050104:1107,773.8
20050104:1207,718.94
20050104:1307,616.02
20050104:1407,456.85
20050104:1507,250.8
20050104:1607,0
20050104:1707,0
20050104:1807,0
20050104:1907,0
20050104:2007,0
20050104:2107,0
20050104:2207,0
20050104:2307,0
20050105:0007,0
20050105:0107,0
20050105:0207,0
20050105:0307,0
20050105:0407,0
20050105:0507,0
20050105:0607,201.08
20050105:0707,441.28
20050105:0807,619.8
20050105:0907,734.79
20050105:1007,797.51
20050105:1107,768.45
20050105:1207,734.88
20050105:1307,618.72
20050105:1407,469.36
20050105:1507,257.52
20050105:1607,0
20050105:1707,0
20050105:1807,0
20050105:1907,0
20050105:2007,0
20050105:2107,0
20050105:2207,0
20050105:2307,0
20050106:0007,0
20050106:0107,0
20050106:0207,0
20050106:0307,0
20050106:0407,0
20050106:0507,0
20050106:0607,187.22
20050106:0707,443.85
20050106:0807,604.44
20050106:0907,752.48
20050106:1007,796.51
20050106:1107,794.92
20050106:1207,755.76
20050106:1307,647.89
20050106:1407,484.48
20050106:1507,270.07
20050106:1607,0
20050106:1707,0
20050106:1807,0
20050106:1907,0
20050106:2007,0
20050106:2107,0
20050106:2207,0
20050106:2307,0
20050107:0007,0
20050107:0107,0
20050107:0207,0
20050107:0307,0
20050107:0407,0
20050107:0507,0
20050107:0607,173.97
20050107:0707,432.83
20050107:0807,608.16
20050107:0907,746.42
20050107:1007,798.92
20050107:1107,768.82
20050107:1207,755.48
20050107:1307,634.28
20050107:1407,455.51
20050107:1507,255.76
20050107:1607,0
20050107:1707,0
20050107:1807,0
20050107:1907,0
20050107:2007,0
20050107:2107,0
20050107:2207,0
20050107:2307,0
20050108:0007,0
20050108:0107,0
20050108:0207,0
20050108:0307,0
20050108:0407,0
20050108:0507,0
20050108:0607,184.68
20050108:0707,430.75
20050108:0807,605.89
20050108:0907,743.77
20050108:1007,796.39
20050108:1107,804.92
20050108:1207,733.95
20050108:1307,639.76
20050108:1407,460.87
20050108:1507,277.41
20050108:1607,0
20050108:1707,0
20050108:1807,0
20050108:1907,0
20050108:2007,0
20050108:2107,0
20050108:2207,0
20050108:2307,0
20050109:0007,0
20050109:0107,0
20050109:0207,0
20050109:0307,0
20050109:0407,0
20050109:0507,0
20050109:0607,183.67
20050109:0707,430.25
20050109:0807,646.97
20050109:0907,772.16
20050109:1007,828.22
20050109:1107,816.63
20050109:1207,766.56
20050109:1307,658.99
20050109:1407,479.35
20050109:1507,264.48
20050109:1607,0
20050109:1707,0
20050109:1807,0
20050109:1907,0
20050109:2007,0
20050109:2107,0
20050109:2207,0
20050109:2307,0
20050110:0007,0
20050110:0107,0
20050110:0207,0
20050110:0307,0
20050110:0407,0
20050110:0507,0
20050110:0607,197.87
20050110:0707,445.01
20050110:0807,623.3
20050110:0907,761.32
20050110:1007,818.14
20050110:1107,784.12
20050110:1207,762.09
20050110:1307,654.9
20050110:1407,456.96
20050110:1507,254.2
20050110:1607,0
20050110:1707,0
20050110:1807,0
20050110:1907,0
20050110:2007,0
20050110:2107,0
20050110:2207,0
20050110:2307,0
