time,P
20050101:0007,0
20050101:0107,0
20050101:0207,0
20050101:0307,0
20050101:0407,0
20050101:0507,12.33
20050101:0607,241.85
20050101:0707,474.89
20050101:0807,636.41
20050101:0907,746.71
20050101:1007,793.44
20050101:1107,788.49
20050101:1207,720
20050101:1307,628.29
20050101:1407,451.77
20050101:1507,235.96
20050101:1607,0
20050101:1707,0
20050101:1807,0
20050101:1907,0
20050101:2007,0
20050101:2107,0
20050101:2207,0
20050101:2307,0
20050102:0007,0
20050102:0107,0
20050102:0207,0
20050102:0307,0
20050102:0407,0
20050102:0507,16.98
20050102:0607,252.56
20050102:0707,472.17
20050102:0807,632.76
20050102:0907,730.42
20050102:1007,782.91
20050102:1107,780.69
20050102:1207,714.85
20050102:1307,610.14
20050102:1407,430.32
20050102:1507,242.36
20050102:1607,0
20050102:1707,0
20050102:1807,0
20050102:1907,0
20050102:2007,0
20050102:2107,0
20050102:2207,0
20050102:2307,0
20050103:0007,0
20050103:0107,0
20050103:0207,0
20050103:0307,0
20050103:0407,0
20050103:0507,15.08
20050103:0607,253.75
20050103:0707,471.89
20050103:0807,644.34
20050103:0907,763.82
20050103:1007,815.36
20050103:1107,803.49
20050103:1207,743.07
20050103:1307,631.5
20050103:1407,455.42
20050103:1507,232.28
20050103:1607,0
20050103:1707,0
20050103:1807,0
20050103:1907,0
20050103:2007,0
20050103:2107,0
20050103:2207,0
20050103:2307,0
20050104:0007,0
20050104:0107,0
20050104:0207,0
20050104:0307,0
20050104:0407,0
20050104:0507,14.2
20050104:0607,254.94
20050104:0707,463.53
20050104:0807,652.49
20050104:0907,757.8
20050104:1007,812.65
20050104:1107,788.85
20050104:1207,723.27
20050104:1307,622.06
20050104:1407,435.71
20050104:1507,218.51
20050104:1607,0
20050104:1707,0
20050104:1807,0
20050104:1907,0
20050104:2007,0
20050104:2107,0
20050104:2207,0
20050104:2307,0
20050105:0007,0
20050105:0107,0
20050105:0207,0
20050105:0307,0
20050105:0407,0
20050105:0507,13.59
20050105:0607,255.48
20050105:0707,480.83
20050105:0807,644.98
20050105:0907,771.48
20050105:1007,814.35
20050105:1107,802.26
20050105:1207,742.14
20050105:1307,626.01
20050105:1407,430.28
20050105:1507,224.91
20050105:1607,0
20050105:1707,0
20050105:1807,0
20050105:1907,0
20050105:2007,0
20050105:2107,0
20050105:2207,0
20050105:2307,0
20050106:0007,0
20050106:0107,0
20050106:0207,0
20050106:0307,0
20050106:0407,0
20050106:0507,18.21
20050106:0607,257.27
20050106:0707,473.44
20050106:0807,643.81
20050106:0907,763.64
20050106:1007,812.71
20050106:1107,811.32
20050106:1207,745.4
20050106:1307,627.48
20050106:1407,425.46
20050106:1507,213.2
20050106:1607,0
20050106:1707,0
20050106:1807,0
20050106:1907,0
20050106:2007,0
20050106:2107,0
20050106:2207,0
20050106:2307,0
20050107:0007,0
20050107:0107,0
20050107:0207,0
20050107:0307,0
20050107:0407,0
20050107:0507,11.54
20050107:0607,257.86
20050107:0707,489.06
20050107:0807,658.21
20050107:0907,773.96
20050107:1007,822.02
20050107:1107,809.25
20050107:1207,748.46
20050107:1307,631.18
20050107:1407,444.64
20050107:1507,220.24
20050107:1607,0
20050107:1707,0
20050107:1807,0
20050107:1907,0
20050107:2007,0
20050107:2107,0
20050107:2207,0
20050107:2307,0
20050108:0007,0
20050108:0107,0
20050108:0207,0
20050108:0307,0
20050108:0407,0
20050108:0507,17.12
20050108:0607,255.83
20050108:0707,482.53
20050108:0807,640.09
20050108:0907,766.92
20050108:1007,815.59
20050108:1107,829.48
20050108:1207,758.73
20050108:1307,642.14
20050108:1407,461.66
20050108:1507,240.04
20050108:1607,0
20050108:1707,0
20050108:1807,0
20050108:1907,0
20050108:2007,0
20050108:2107,0
20050108:2207,0
20050108:2307,0
20050109:0007,0
20050109:0107,0
20050109:0207,0
20050109:0307,0
20050109:0407,0
20050109:0507,15.82
20050109:0607,252.3
20050109:0707,483.36
20050109:0807,657.54
20050109:0907,763.88
20050109:1007,802.7
20050109:1107,791.03
20050109:1207,741.9
20050109:1307,621.78
20050109:1407,436.5
20050109:1507,226.65
20050109:1607,0
20050109:1707,0
20050109:1807,0
20050109:1907,0
20050109:2007,0
20050109:2107,0
20050109:2207,0
20050109:2307,0
20050110:0007,0
20050110:0107,0
20050110:0207,0
20050110:0307,0
20050110:0407,0
20050110:0507,8.98
20050110:0607,239.2
20050110:0707,473.75
20050110:0807,651.69
20050110:0907,768.99
20050110:1007,808.72
20050110:1107,814.65
20050110:1207,749.52
20050110:1307,632.14
20050110:1407,444.91
20050110:1507,232.35
20050110:1607,0
20050110:1707,0
20050110:1807,0
20050110:1907,0
20050110:2007,0
20050110:2107,0
