time,P
20050101:0007,0
20050101:0107,0
20050101:0207,0
20050101:0307,0
20050101:0407,0
20050101:0507,0
20050101:0607,216.55
20050101:0707,481.98
20050101:0807,635.57
20050101:0907,760.25
20050101:1007,805.97
20050101:1107,799.11
20050101:1207,727.6
20050101:1307,619.63
20050101:1407,448.94
20050101:1507,242.28
20050101:1607,0
20050101:1707,0
20050101:1807,0
20050101:1907,0
20050101:2007,0
20050101:2107,0
20050101:2207,0
20050101:2307,0
20050102:0007,0
20050102:0107,0
20050102:0207,0
20050102:0307,0
20050102:0407,0
20050102:0507,0
20050102:0607,241.67
20050102:0707,478.97
20050102:0807,631.81
20050102:0907,741.82
20050102:1007,793.35
20050102:1107,787.81
20050102:1207,727.27
20050102:1307,624.32
20050102:1407,454.76
20050102:1507,247.42
20050102:1607,0
20050102:1707,0
20050102:1807,0
20050102:1907,0
20050102:2007,0
20050102:2107,0
20050102:2207,0
20050102:2307,0
20050103:0007,0
20050103:0107,0
20050103:0207,0
20050103:0307,0
20050103:0407,0
20050103:0507,0
20050103:0607,240.6
20050103:0707,474.47
20050103:0807,638.42
20050103:0907,771.51
20050103:1007,817.84
20050103:1107,822.55
20050103:1207,750.03
20050103:1307,648.27
20050103:1407,458.82
20050103:1507,239.67
20050103:1607,0
20050103:1707,0
20050103:1807,0
20050103:1907,0
20050103:2007,0
20050103:2107,0
20050103:2207,0
20050103:2307,0
20050104:0007,0
20050104:0107,0
20050104:0207,0
20050104:0307,0
20050104:0407,0
20050104:0507,0
20050104:0607,243.22
20050104:0707,480.23
20050104:0807,646.22
20050104:0907,770.56
20050104:1007,814.83
20050104:1107,807.77
20050104:1207,743.21
20050104:1307,630.16
20050104:1407,447.97
20050104:1507,245.22
20050104:1607,0
20050104:1707,0
20050104:1807,0
20050104:1907,0
20050104:2007,0
20050104:2107,0
20050104:2207,0
20050104:2307,0
20050105:0007,0
20050105:0107,0
20050105:0207,0
20050105:0307,0
20050105:0407,0
20050105:0507,0
20050105:0607,243.59
20050105:0707,484.19
20050105:0807,652.48
20050105:0907,779.05
20050105:1007,826.73
20050105:1107,811.62
20050105:1207,757.69
20050105:1307,629.22
20050105:1407,445.99
20050105:1507,252.02
20050105:1607,0
20050105:1707,0
20050105:1807,0
20050105:1907,0
20050105:2007,0
20050105:2107,0
20050105:2207,0
20050105:2307,0
20050106:0007,0
20050106:0107,0
20050106:0207,0
20050106:0307,0
20050106:0407,0
20050106:0507,0
20050106:0607,242.43
20050106:0707,450.9
20050106:0807,618.17
20050106:0907,776.2
20050106:1007,813.07
20050106:1107,809.52
20050106:1207,740.5
20050106:1307,630.69
20050106:1407,440.76
20050106:1507,222.96
20050106:1607,0
20050106:1707,0
20050106:1807,0
20050106:1907,0
20050106:2007,0
20050106:2107,0
20050106:2207,0
20050106:2307,0
20050107:0007,0
20050107:0107,0
20050107:0207,0
20050107:0307,0
20050107:0407,0
20050107:0507,0
20050107:0607,243.81
20050107:0707,492.49
20050107:0807,679.52
20050107:0907,787.8
20050107:1007,845.49
20050107:1107,830.51
20050107:1207,779.88
20050107:1307,648.62
20050107:1407,460.46
20050107:1507,246.87
20050107:1607,0
20050107:1707,0
20050107:1807,0
20050107:1907,0
20050107:2007,0
20050107:2107,0
20050107:2207,0
20050107:2307,0
20050108:0007,0
20050108:0107,0
20050108:0207,0
20050108:0307,0
20050108:0407,0
20050108:0507,0
20050108:0607,242.13
20050108:0707,475.23
20050108:0807,648.26
20050108:0907,772.02
20050108:1007,839.55
20050108:1107,825.15
20050108:1207,761.54
20050108:1307,646.56
20050108:1407,474.63
20050108:1507,246.71
20050108:1607,0
20050108:1707,0
20050108:1807,0
20050108:1907,0
20050108:2007,0
20050108:2107,0
20050108:2207,0
20050108:2307,0
20050109:0007,0
20050109:0107,0
20050109:0207,0
20050109:0307,0
20050109:0407,0
20050109:0507,0
20050109:0607,240.17
20050109:0707,475.27
20050109:0807,641.74
20050109:0907,777.77
20050109:1007,825.67
20050109:1107,827.49
20050109:1207,759.18
20050109:1307,638.4
20050109:1407,467.7
20050109:1507,254.12
20050109:1607,0
20050109:1707,0
20050109:1807,0
20050109:1907,0
20050109:2007,0
20050109:2107,0
20050109:2207,0
20050109:2307,0
20050110:0007,0
20050110:0107,0
20050110:0207,0
20050110:0307,0
20050110:0407,0
20050110:0507,0
20050110:0607,239.59
20050110:0707,476.81
20050110:0807,658.45
20050110:0907,771.96
20050110:1007,827.07
20050110:1107,834.82
20050110:1207,781.95
20050110:1307,648.75
20050110:1407,472.71
20050110:1507,242.06
20050110:1607,0
20050110:1707,0
20050110:1807,0
20050110:1907,0
20050110:2007,0
20050110:2107,0
20050110:2207,0
20050110:2307,0
