time,P
20050101:0007,0
20050101:0107,0
20050101:0207,0
20050101:0307,0
20050101:0407,0
20050101:0507,0
20050101:0607,236.09
20050101:0707,478.98
20050101:0807,656.74
20050101:0907,779.07
20050101:1007,822.04
20050101:1107,819.52
20050101:1207,763.16
20050101:1307,649.21
20050101:1407,447.35
20050101:1507,260.34
20050101:1607,0
20050101:1707,0
20050101:1807,0
20050101:1907,0
20050101:2007,0
20050101:2107,0
20050101:2207,0
20050101:2307,0
20050102:0007,0
20050102:0107,0
20050102:0207,0
20050102:0307,0
20050102:0407,0
20050102:0507,0
20050102:0607,246.88
20050102:0707,484.81
20050102:0807,652.05
20050102:0907,772.54
20050102:1007,808.2
20050102:1107,795
20050102:1207,734.61
20050102:1307,633.87
20050102:1407,453.44
20050102:1507,246.91
20050102:1607,0
20050102:1707,0
20050102:1807,0
20050102:1907,0
20050102:2007,0
20050102:2107,0
20050102:2207,0
20050102:2307,0
20050103:0007,0
20050103:0107,0
20050103:0207,0
20050103:0307,0
20050103:0407,0
20050103:0507,0
20050103:0607,248.7
20050103:0707,496.67
20050103:0807,666.06
20050103:0907,789
20050103:1007,836.51
20050103:1107,846.51
20050103:1207,766.83
20050103:1307,658.2
20050103:1407,471.55
20050103:1507,256.47
20050103:1607,0
20050103:1707,0
20050103:1807,0
20050103:1907,0
20050103:2007,0
20050103:2107,0
20050103:2207,0
20050103:2307,0
20050104:0007,0
20050104:0107,0
20050104:0207,0
20050104:0307,0
20050104:0407,0
20050104:0507,0
20050104:0607,248.6
20050104:0707,488.97
20050104:0807,661.07
20050104:0907,783.43
20050104:1007,817.48
20050104:1107,826.19
20050104:1207,746
20050104:1307,634.91
20050104:1407,445.94
20050104:1507,242.75
20050104:1607,0
20050104:1707,0
20050104:1807,0
20050104:1907,0
20050104:2007,0
20050104:2107,0
20050104:2207,0
20050104:2307,0
20050105:0007,0
20050105:0107,0
20050105:0207,0
20050105:0307,0
20050105:0407,0
20050105:0507,0
20050105:0607,248.95
20050105:0707,505.77
20050105:0807,680.64
20050105:0907,791.96
20050105:1007,845.54
20050105:1107,830.49
20050105:1207,775.47
20050105:1307,648.33
20050105:1407,455.42
20050105:1507,253.01
20050105:1607,0
20050105:1707,0
20050105:1807,0
20050105:1907,0
20050105:2007,0
20050105:2107,0
20050105:2207,0
20050105:2307,0
20050106:0007,0
20050106:0107,0
20050106:0207,0
20050106:0307,0
20050106:0407,0
20050106:0507,0
20050106:0607,236.04
20050106:0707,484.33
20050106:0807,651.13
20050106:0907,772.26
20050106:1007,814.32
20050106:1107,855.12
20050106:1207,774.14
20050106:1307,668.12
20050106:1407,469.93
20050106:1507,260.97
20050106:1607,0
20050106:1707,0
20050106:1807,0
20050106:1907,0
20050106:2007,0
20050106:2107,0
20050106:2207,0
20050106:2307,0
20050107:0007,0
20050107:0107,0
20050107:0207,0
20050107:0307,0
20050107:0407,0
20050107:0507,0
20050107:0607,248.83
20050107:0707,499.83
20050107:0807,694.26
20050107:0907,825.44
20050107:1007,853.38
20050107:1107,837.49
20050107:1207,756.36
20050107:1307,639.98
20050107:1407,474.56
20050107:1507,244.41
20050107:1607,0
20050107:1707,0
20050107:1807,0
20050107:1907,0
20050107:2007,0
20050107:2107,0
20050107:2207,0
20050107:2307,0
20050108:0007,0
20050108:0107,0
20050108:0207,0
20050108:0307,0
20050108:0407,0
20050108:0507,0
20050108:0607,233.01
20050108:0707,482.99
20050108:0807,648.51
20050108:0907,768.44
20050108:1007,832.2
20050108:1107,822.5
20050108:1207,779.73
20050108:1307,623.6
20050108:1407,443.55
20050108:1507,247.69
20050108:1607,0
20050108:1707,0
20050108:1807,0
20050108:1907,0
20050108:2007,0
20050108:2107,0
20050108:2207,0
20050108:2307,0
20050109:0007,0
20050109:0107,0
20050109:0207,0
20050109:0307,0
20050109:0407,0
20050109:0507,0
20050109:0607,231.14
20050109:0707,483.4
20050109:0807,665.67
20050109:0907,799.75
20050109:1007,844.35
20050109:1107,857.53
20050109:1207,781.69
20050109:1307,676.62
20050109:1407,451.46
20050109:1507,234.14
20050109:1607,0
20050109:1707,0
20050109:1807,0
20050109:1907,0
20050109:2007,0
20050109:2107,0
20050109:2207,0
20050109:2307,0
20050110:0007,0
20050110:0107,0
20050110:0207,0
20050110:0307,0
20050110:0407,0
20050110:0507,0
20050110:0607,230.61
20050110:0707,469.47
20050110:0807,668.69
20050110:0907,778.96
20050110:1007,862.06
20050110:1107,825.03
20050110:1207,761.95
20050110:1307,653.48
20050110:1407,474.26
20050110:1507,259.62
20050110:1607,0
20050110:1707,0
20050110:1807,0
20050110:1907,0
20050110:2007,0
20050110:2107,0
20050110:2207,0
20050110:2307,0
20050111:0007,0
