Time,value
20130101:0007,0
20130101:0107,0
20130101:0207,0
20130101:0307,0
20130101:0407,0
20130101:0507,11952.5
20130101:0607,117155.5
20130101:0707,184660
20130101:0807,243579
20130101:0907,274603
20130101:1007,280546
20130101:1107,267862
20130101:1207,233667
20130101:1307,184495.5
20130101:1407,109662
20130101:1507,30929.5
20130101:1607,0
20130101:1707,0
20130101:1807,0
20130101:1907,0
20130101:2007,0
20130101:2107,0
20130101:2207,0
20130101:2307,0
20130102:0007,0
20130102:0107,0
20130102:0207,0
20130102:0307,0
20130102:0407,0
20130102:0507,11035.5
20130102:0607,120571.5
20130102:0707,187498.5
20130102:0807,244730.5
20130102:0907,274725.5
20130102:1007,284991
20130102:1107,272615
20130102:1207,236110
20130102:1307,191632
20130102:1407,112644
20130102:1507,33614
20130102:1607,0
20130102:1707,0
20130102:1807,0
20130102:1907,0
20130102:2007,0
20130102:2107,0
20130102:2207,0
20130102:2307,0
20130103:0007,0
20130103:0107,0
20130103:0207,0
20130103:0307,0
20130103:0407,0
20130103:0507,10437
20130103:0607,116721.5
20130103:0707,186203.5
20130103:0807,243138
20130103:0907,274599.5
20130103:1007,284651.5
20130103:1107,270259.5
20130103:1207,237860
20130103:1307,187932.5
20130103:1407,116942
20130103:1507,32203.5
20130103:1607,0
20130103:1707,0
20130103:1807,0
20130103:1907,0
20130103:2007,0
20130103:2107,0
20130103:2207,0
20130103:2307,0
20130104:0007,0
20130104:0107,0
20130104:0207,0
20130104:0307,0
20130104:0407,0
20130104:0507,11851
20130104:0607,124425
20130104:0707,193655
20130104:0807,252794.5
20130104:0907,284571
20130104:1007,295071
20130104:1107,283174.5
20130104:1207,250369
20130104:1307,199206
20130104:1407,123522
20130104:1507,48933.5
20130104:1607,0
20130104:1707,0
20130104:1807,0
20130104:1907,0
20130104:2007,0
20130104:2107,0
20130104:2207,0
20130104:2307,0
20130105:0007,0
20130105:0107,0
20130105:0207,0
20130105:0307,0
20130105:0407,0
20130105:0507,11312
20130105:0607,119973
20130105:0707,190977.5
20130105:0807,246088.5
20130105:0907,279055
20130105:1007,289191
20130105:1107,276993.5
20130105:1207,241647
20130105:1307,193882.5
20130105:1407,119448
20130105:1507,38101
20130105:1607,0
20130105:1707,0
20130105:1807,0
20130105:1907,0
20130105:2007,0
20130105:2107,0
20130105:2207,0
20130105:2307,0
20130106:0007,0
20130106:0107,0
20130106:0207,0
20130106:0307,0
20130106:0407,0
20130106:0507,11637.5
20130106:0607,124845
20130106:0707,197750
20130106:0807,258051.5
20130106:0907,290892
20130106:1007,305952.5
20130106:1107,295172.5
20130106:1207,263158
20130106:1307,212751
20130106:1407,140801.5
20130106:1507,50442
20130106:1607,0
20130106:1707,0
20130106:1807,0
20130106:1907,0
20130106:2007,0
20130106:2107,0
20130106:2207,0
20130106:2307,0
20130107:0007,0
20130107:0107,0
20130107:0207,0
20130107:0307,0
20130107:0407,0
20130107:0507,10549
20130107:0607,126066.5
20130107:0707,200585
20130107:0807,264096
20130107:0907,298634
20130107:1007,310205
20130107:1107,300492.5
20130107:1207,268187.5
20130107:1307,216485.5
20130107:1407,140658
20130107:1507,48209
20130107:1607,0
20130107:1707,0
20130107:1807,0
20130107:1907,0
20130107:2007,0
20130107:2107,0
20130107:2207,0
20130107:2307,0
20130108:0007,0
20130108:0107,0
20130108:0207,0
20130108:0307,0
20130108:0407,0
20130108:0507,11445
20130108:0607,126143.5
20130108:0707,200263
20130108:0807,264743.5
20130108:0907,297815
20130108:1007,310523.5
20130108:1107,299680.5
20130108:1207,267522.5
20130108:1307,216370
20130108:1407,143608.5
20130108:1507,50963.5
20130108:1607,0
20130108:1707,0
20130108:1807,0
20130108:1907,0
20130108:2007,0
20130108:2107,0
20130108:2207,0
20130108:2307,0
20130109:0007,0
20130109:0107,0
20130109:0207,0
20130109:0307,0
20130109:0407,0
20130109:0507,10612
20130109:0607,122549
20130109:0707,194635
20130109:0807,259546
20130109:0907,292484.5
20130109:1007,306344.5
20130109:1107,296173.5
20130109:1207,262762.5
20130109:1307,213332
20130109:1407,135740.5
20130109:1507,47869.5
20130109:1607,0
20130109:1707,0
20130109:1807,0
20130109:1907,0
20130109:2007,0
20130109:2107,0
20130109:2207,0
20130109:2307,0
20130110:0007,0
20130110:0107,0
20130110:0207,0
20130110:0307,0
20130110:0407,0
20130110:0507,9782.5
20130110:0607,119451.5
20130110:0707,195142.5
20130110:0807,259413
20130110:0907,294682.5
20130110:1007,310572.5
20130110:1107,297202.5
20130110:1207,266980
20130110:1307,215439
20130110:1407,134050
20130110:1507,49924
20130110:1607,0
20130110:1707,0
20130110:1807,0
20130110:1907,0
20130110:2007,0
20130110:2107,0
20130110:2207,0
20130110:2307,0
20130111:0007,0
20130111:0107,0
20130111:0207,0
20130111:0307,0
20130111:0407,0
20130111:0507,29617
20130111:0607,121303
20130111:0707,194257
20130111:0807,257078.5
20130111:0907,290066
20130111:1007,300016.5
20130111:1107,288130.5
20130111:1207,253141
20130111:1307,204764
20130111:1407,125989.5
20130111:1507,44201.5
20130111:1607,0
20130111:1707,0
20130111:1807,0
20130111:1907,0
20130111:2007,0
20130111:2107,0
20130111:2207,0
20130111:2307,0
20130112:0007,0
20130112:0107,0
20130112:0207,0
20130112:0307,0
20130112:0407,0
20130112:0507,10948
20130112:0607,119847
20130112:0707,191208.5
20130112:0807,252444.5
20130112:0907,284221
20130112:1007,295400
20130112:1107,285425
20130112:1207,251132
20130112:1307,202506.5
20130112:1407,129755.5
20130112:1507,42745.5
20130112:1607,0
20130112:1707,0
20130112:1807,0
20130112:1907,0
20130112:2007,0
20130112:2107,0
20130112:2207,0
20130112:2307,0
20130113:0007,0
20130113:0107,0
20130113:0207,0
20130113:0307,0
20130113:0407,0
20130113:0507,28609
20130113:0607,118580
20130113:0707,190911
20130113:0807,247481.5
20130113:0907,282534
20130113:1007,292946.5
20130113:1107,280042
20130113:1207,261905
20130113:1307,199090.5
20130113:1407,143517.5
20130113:1507,29655.5
20130113:1607,0
20130113:1707,0
20130113:1807,0
20130113:1907,0
20130113:2007,0
20130113:2107,0
20130113:2207,0
20130113:2307,0
20130114:0007,0
20130114:0107,0
20130114:0207,0
20130114:0307,0
20130114:0407,0
20130114:0507,9121
20130114:0607,115213
20130114:0707,187019
20130114:0807,247765
20130114:0907,281687
20130114:1007,291634
20130114:1107,278463.5
20130114:1207,246858.5
20130114:1307,195716.5
20130114:1407,121793
20130114:1507,40544
20130114:1607,0
20130114:1707,0
20130114:1807,0
20130114:1907,0
20130114:2007,0
20130114:2107,0
20130114:2207,0
20130114:2307,0
