Time,value
20130101:0007,0
20130101:0107,0
20130101:0207,0
20130101:0307,0
20130101:0407,0
20130101:0507,16866
20130101:0607,106086
20130101:0707,159357
20130101:0807,205488
20130101:0907,227688
20130101:1007,233055
20130101:1107,221601
20130101:1207,193950
20130101:1307,150546
20130101:1407,86238
20130101:1507,20565
20130101:1607,0
20130101:1707,0
20130101:1807,0
20130101:1907,0
20130101:2007,0
20130101:2107,0
20130101:2207,0
20130101:2307,0
20130102:0007,0
20130102:0107,0
20130102:0207,0
20130102:0307,0
20130102:0407,0
20130102:0507,16275
20130102:0607,104289
20130102:0707,158817
20130102:0807,205827
20130102:0907,228705
20130102:1007,236208
20130102:1107,223686
20130102:1207,197235
20130102:1307,170184
20130102:1407,104778
20130102:1507,17781
20130102:1607,0
20130102:1707,0
20130102:1807,0
20130102:1907,0
20130102:2007,0
20130102:2107,0
20130102:2207,0
20130102:2307,0
20130103:0007,0
20130103:0107,0
20130103:0207,0
20130103:0307,0
20130103:0407,0
20130103:0507,18438
20130103:0607,103503
20130103:0707,156885
20130103:0807,207408
20130103:0907,230229
20130103:1007,236289
20130103:1107,225249
20130103:1207,200130
20130103:1307,156150
20130103:1407,92088
20130103:1507,24783
20130103:1607,0
20130103:1707,0
20130103:1807,0
20130103:1907,0
20130103:2007,0
20130103:2107,0
20130103:2207,0
20130103:2307,0
20130104:0007,0
20130104:0107,0
20130104:0207,0
20130104:0307,0
20130104:0407,0
20130104:0507,17244
20130104:0607,107505
20130104:0707,161685
20130104:0807,208719
20130104:0907,233253
20130104:1007,240741
20130104:1107,228072
20130104:1207,201744
20130104:1307,160353
20130104:1407,98361
20130104:1507,29817
20130104:1607,0
20130104:1707,0
20130104:1807,0
20130104:1907,0
20130104:2007,0
20130104:2107,0
20130104:2207,0
20130104:2307,0
20130105:0007,0
20130105:0107,0
20130105:0207,0
20130105:0307,0
20130105:0407,0
20130105:0507,15924
20130105:0607,108033
20130105:0707,161043
20130105:0807,207600
20130105:0907,230178
20130105:1007,237168
20130105:1107,226101
20130105:1207,200121
20130105:1307,158529
20130105:1407,95943
20130105:1507,25692
20130105:1607,0
20130105:1707,0
20130105:1807,0
20130105:1907,0
20130105:2007,0
20130105:2107,0
20130105:2207,0
20130105:2307,0
20130106:0007,0
20130106:0107,0
20130106:0207,0
20130106:0307,0
20130106:0407,0
20130106:0507,14397
20130106:0607,106791
20130106:0707,166368
20130106:0807,216654
20130106:0907,241773
20130106:1007,250791
20130106:1107,239715
20130106:1207,214848
20130106:1307,172419
20130106:1407,105963
20130106:1507,31590
20130106:1607,0
20130106:1707,0
20130106:1807,0
20130106:1907,0
20130106:2007,0
20130106:2107,0
20130106:2207,0
20130106:2307,0
20130107:0007,0
20130107:0107,0
20130107:0207,0
20130107:0307,0
20130107:0407,0
20130107:0507,15180
20130107:0607,108915
20130107:0707,165981
20130107:0807,216078
20130107:0907,243795
20130107:1007,254646
20130107:1107,243267
20130107:1207,218457
20130107:1307,175968
20130107:1407,109818
20130107:1507,34620
20130107:1607,0
20130107:1707,0
20130107:1807,0
20130107:1907,0
20130107:2007,0
20130107:2107,0
20130107:2207,0
20130107:2307,0
20130108:0007,0
20130108:0107,0
20130108:0207,0
20130108:0307,0
20130108:0407,0
20130108:0507,14265
20130108:0607,107739
20130108:0707,168126
20130108:0807,218694
20130108:0907,244998
20130108:1007,253449
20130108:1107,243645
20130108:1207,217677
20130108:1307,173565
20130108:1407,109476
20130108:1507,34887
20130108:1607,0
20130108:1707,0
20130108:1807,0
20130108:1907,0
20130108:2007,0
20130108:2107,0
20130108:2207,0
20130108:2307,0
20130109:0007,0
20130109:0107,0
20130109:0207,0
20130109:0307,0
20130109:0407,0
20130109:0507,15006
20130109:0607,112080
20130109:0707,175788
20130109:0807,216483
20130109:0907,243375
20130109:1007,251787
20130109:1107,242241
20130109:1207,215046
20130109:1307,171405
20130109:1407,92742
20130109:1507,36600
20130109:1607,0
20130109:1707,0
20130109:1807,0
20130109:1907,0
20130109:2007,0
20130109:2107,0
20130109:2207,0
20130109:2307,0
20130110:0007,0
20130110:0107,0
20130110:0207,0
20130110:0307,0
20130110:0407,0
20130110:0507,14337
20130110:0607,105720
20130110:0707,165081
20130110:0807,217698
20130110:0907,245067
20130110:1007,253992
20130110:1107,244554
20130110:1207,218718
20130110:1307,173922
20130110:1407,109731
20130110:1507,34626
20130110:1607,0
20130110:1707,0
20130110:1807,0
20130110:1907,0
20130110:2007,0
20130110:2107,0
20130110:2207,0
20130110:2307,0
20130111:0007,0
20130111:0107,0
20130111:0207,0
20130111:0307,0
20130111:0407,0
20130111:0507,30489
20130111:0607,106143
20130111:0707,165174
20130111:0807,218064
20130111:0907,245130
20130111:1007,253572
20130111:1107,243813
20130111:1207,216324
20130111:1307,173178
20130111:1407,105771
20130111:1507,32568
20130111:1607,0
20130111:1707,0
20130111:1807,0
20130111:1907,0
20130111:2007,0
20130111:2107,0
20130111:2207,0
20130111:2307,0
20130112:0007,0
20130112:0107,0
20130112:0207,0
20130112:0307,0
20130112:0407,0
20130112:0507,14727
20130112:0607,102840
20130112:0707,158580
20130112:0807,208068
20130112:0907,233754
20130112:1007,241614
20130112:1107,232476
20130112:1207,205014
20130112:1307,161874
20130112:1407,96399
20130112:1507,28545
20130112:1607,0
20130112:1707,0
20130112:1807,0
20130112:1907,0
20130112:2007,0
20130112:2107,0
20130112:2207,0
20130112:2307,0
20130113:0007,0
20130113:0107,0
20130113:0207,0
20130113:0307,0
20130113:0407,0
20130113:0507,30033
20130113:0607,103491
20130113:0707,158526
20130113:0807,208338
20130113:0907,234246
20130113:1007,239634
20130113:1107,232284
20130113:1207,205089
20130113:1307,162399
20130113:1407,97674
20130113:1507,29985
20130113:1607,0
20130113:1707,0
20130113:1807,0
20130113:1907,0
20130113:2007,0
20130113:2107,0
20130113:2207,0
20130113:2307,0
20130114:0007,0
20130114:0107,0
20130114:0207,0
20130114:0307,0
20130114:0407,0
20130114:0507,14265
20130114:0607,102489
20130114:0707,145638
20130114:0807,207096
20130114:0907,233340
20130114:1007,240279
20130114:1107,231657
20130114:1207,204531
20130114:1307,161301
20130114:1407,98916
20130114:1507,31041
20130114:1607,0
20130114:1707,0
20130114:1807,0
20130114:1907,0
20130114:2007,0
20130114:2107,0
20130114:2207,0
20130114:2307,0
20130115:0007,0
20130115:0107,0
20130115:0207,0
20130115:0307,0
20130115:0407,0
20130115:0507,11595
20130115:0607,104760
20130115:0707,173298
20130115:0807,205362
20130115:0907,226740
20130115:1007,237936
20130115:1107,227850
20130115:1207,199932
20130115:1307,154392
20130115:1407,95208
