Time,value
20130101:0007,0
20130101:0107,0
20130101:0207,0
20130101:0307,0
20130101:0407,0
20130101:0507,18855
20130101:0607,166295
20130101:0707,265750
20130101:0807,345315
20130101:0907,388365
20130101:1007,397245
20130101:1107,382065
20130101:1207,333675
20130101:1307,263755
20130101:1407,168720
20130101:1507,45285
20130101:1607,0
20130101:1707,0
20130101:1807,0
20130101:1907,0
20130101:2007,0
20130101:2107,0
20130101:2207,0
20130101:2307,0
20130102:0007,0
20130102:0107,0
20130102:0207,0
20130102:0307,0
20130102:0407,0
20130102:0507,19155
20130102:0607,163925
20130102:0707,263695
20130102:0807,346515
20130102:0907,391485
20130102:1007,403385
20130102:1107,388075
20130102:1207,338985
20130102:1307,271950
20130102:1407,169840
20130102:1507,49335
20130102:1607,0
20130102:1707,0
20130102:1807,0
20130102:1907,0
20130102:2007,0
20130102:2107,0
20130102:2207,0
20130102:2307,0
20130103:0007,0
20130103:0107,0
20130103:0207,0
20130103:0307,0
20130103:0407,0
20130103:0507,18285
20130103:0607,165640
20130103:0707,264285
20130103:0807,344425
20130103:0907,388710
20130103:1007,400570
20130103:1107,382885
20130103:1207,339135
20130103:1307,266975
20130103:1407,174275
20130103:1507,49790
20130103:1607,0
20130103:1707,0
20130103:1807,0
20130103:1907,0
20130103:2007,0
20130103:2107,0
20130103:2207,0
20130103:2307,0
20130104:0007,0
20130104:0107,0
20130104:0207,0
20130104:0307,0
20130104:0407,0
20130104:0507,19060
20130104:0607,168300
20130104:0707,272140
20130104:0807,353350
20130104:0907,395570
20130104:1007,408120
20130104:1107,395610
20130104:1207,351710
20130104:1307,280645
20130104:1407,181900
20130104:1507,57500
20130104:1607,0
20130104:1707,0
20130104:1807,0
20130104:1907,0
20130104:2007,0
20130104:2107,0
20130104:2207,0
20130104:2307,0
20130105:0007,0
20130105:0107,0
20130105:0207,0
20130105:0307,0
20130105:0407,0
20130105:0507,17500
20130105:0607,168980
20130105:0707,267210
20130105:0807,348970
20130105:0907,392785
20130105:1007,404690
20130105:1107,390015
20130105:1207,344890
20130105:1307,275425
20130105:1407,179200
20130105:1507,61455
20130105:1607,0
20130105:1707,0
20130105:1807,0
20130105:1907,0
20130105:2007,0
20130105:2107,0
20130105:2207,0
20130105:2307,0
20130106:0007,0
20130106:0107,0
20130106:0207,0
20130106:0307,0
20130106:0407,0
20130106:0507,17555
20130106:0607,170535
20130106:0707,273890
20130106:0807,357800
20130106:0907,405325
20130106:1007,420170
20130106:1107,413290
20130106:1207,368735
20130106:1307,298630
20130106:1407,198405
20130106:1507,71715
20130106:1607,0
20130106:1707,0
20130106:1807,0
20130106:1907,0
20130106:2007,0
20130106:2107,0
20130106:2207,0
20130106:2307,0
20130107:0007,0
20130107:0107,0
20130107:0207,0
20130107:0307,0
20130107:0407,0
20130107:0507,16430
20130107:0607,166840
20130107:0707,276165
20130107:0807,366685
20130107:0907,416860
20130107:1007,430400
20130107:1107,420230
20130107:1207,375175
20130107:1307,303325
20130107:1407,202365
20130107:1507,71515
20130107:1607,0
20130107:1707,0
20130107:1807,0
20130107:1907,0
20130107:2007,0
20130107:2107,0
20130107:2207,0
20130107:2307,0
20130108:0007,0
20130108:0107,0
20130108:0207,0
20130108:0307,0
20130108:0407,0
20130108:0507,17285
20130108:0607,173335
20130108:0707,279925
20130108:0807,364170
20130108:0907,413380
20130108:1007,427010
20130108:1107,417085
20130108:1207,375815
20130108:1307,304290
20130108:1407,202300
20130108:1507,69795
20130108:1607,0
20130108:1707,0
20130108:1807,0
20130108:1907,0
20130108:2007,0
20130108:2107,0
20130108:2207,0
20130108:2307,0
20130109:0007,0
20130109:0107,0
20130109:0207,0
20130109:0307,0
20130109:0407,0
20130109:0507,14135
20130109:0607,173180
20130109:0707,275525
20130109:0807,360140
20130109:0907,413035
20130109:1007,424820
20130109:1107,410895
20130109:1207,373510
20130109:1307,309175
20130109:1407,196200
20130109:1507,76370
20130109:1607,0
20130109:1707,0
20130109:1807,0
20130109:1907,0
20130109:2007,0
20130109:2107,0
20130109:2207,0
20130109:2307,0
20130110:0007,0
20130110:0107,0
20130110:0207,0
20130110:0307,0
20130110:0407,0
20130110:0507,14565
20130110:0607,173470
20130110:0707,276410
20130110:0807,366955
20130110:0907,416225
20130110:1007,431085
20130110:1107,419570
20130110:1207,374745
20130110:1307,302755
20130110:1407,201215
20130110:1507,73130
20130110:1607,0
20130110:1707,0
20130110:1807,0
20130110:1907,0
20130110:2007,0
20130110:2107,0
20130110:2207,0
20130110:2307,0
20130111:0007,0
20130111:0107,0
20130111:0207,0
20130111:0307,0
20130111:0407,0
20130111:0507,42900
20130111:0607,174350
20130111:0707,278995
20130111:0807,368305
20130111:0907,417520
20130111:1007,431850
20130111:1107,412075
20130111:1207,369920
20130111:1307,298325
20130111:1407,195280
20130111:1507,69945
20130111:1607,0
20130111:1707,0
20130111:1807,0
20130111:1907,0
20130111:2007,0
20130111:2107,0
20130111:2207,0
20130111:2307,0
20130112:0007,0
20130112:0107,0
20130112:0207,0
20130112:0307,0
20130112:0407,0
20130112:0507,15765
20130112:0607,166770
20130112:0707,268465
20130112:0807,354530
20130112:0907,401415
20130112:1007,414700
20130112:1107,400730
20130112:1207,357390
20130112:1307,286870
20130112:1407,189205
20130112:1507,65235
20130112:1607,0
20130112:1707,0
20130112:1807,0
20130112:1907,0
20130112:2007,0
20130112:2107,0
20130112:2207,0
20130112:2307,0
20130113:0007,0
20130113:0107,0
20130113:0207,0
20130113:0307,0
20130113:0407,0
20130113:0507,39470
20130113:0607,166510
20130113:0707,269965
20130113:0807,326045
20130113:0907,398670
20130113:1007,410730
20130113:1107,395630
20130113:1207,348905
20130113:1307,281775
20130113:1407,204920
20130113:1507,61840
20130113:1607,0
20130113:1707,0
20130113:1807,0
20130113:1907,0
20130113:2007,0
20130113:2107,0
20130113:2207,0
20130113:2307,0
20130114:0007,0
20130114:0107,0
20130114:0207,0
20130114:0307,0
20130114:0407,0
20130114:0507,13610
20130114:0607,165555
20130114:0707,266500
20130114:0807,347885
20130114:0907,395140
20130114:1007,409305
20130114:1107,393585
20130114:1207,351485
20130114:1307,277890
20130114:1407,181165
20130114:1507,62600
20130114:1607,0
20130114:1707,0
20130114:1807,0
20130114:1907,0
20130114:2007,0
20130114:2107,0
20130114:2207,0
20130114:2307,0
20130115:0007,0
20130115:0107,0
20130115:0207,0
20130115:0307,0
20130115:0407,0
20130115:0507,19425
20130115:0607,175685
20130115:0707,264530
20130115:0807,350000
20130115:0907,389875
20130115:1007,403385
20130115:1107,387665
20130115:1207,346190
20130115:1307,273925
20130115:1407,177885
