Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AvgEnergyBought	AvgEnergySold	AvgPriceBought	AverageQVals	StdQVals	LossPi	LossQ	Time
1	21510.973	6075.668	39345.832	5783.167	1000.0	1000.0	3999	[35.07971268]	[0.14733275]	19.0	224.20505	285.78232	-248.75175	7330.618	357.1645448207855
2	25427.668	3163.026	36135.793	10011.589	1000.0	1000.0	7999	[23.71919206]	0.0	19.0	1668.7858	973.6099	-1780.2777	96640.53	719.2313170433044
3	29943.047	8031.6567	30349.863	9387.147	1000.0	1000.0	11999	[26.3958038]	0.0	19.0	3546.3252	577.5561	-3605.783	74995.08	1081.4752776622772
4	40876.297	5437.396	40508.26	4678.6675	1000.0	1000.0	15999	[23.75768047]	0.0	19.0	3848.969	136.55034	-3863.133	6179.8506	1436.2111909389496
5	37471.062	5081.775	44901.273	8830.232	1000.0	1000.0	19999	[25.86259851]	0.0	19.0	3932.664	137.52321	-3945.6716	6229.6626	1796.8247756958008
6	49153.137	4801.419	-3362.7664	3633.0051	1000.0	1000.0	23999	[36.33276464]	0.0	19.0	4047.7148	136.74829	-4063.012	6836.181	2166.5139377117157
7	44718.97	8723.122	56132.492	5893.1343	1000.0	1000.0	27999	[22.81264231]	0.0	19.0	4209.8486	148.35966	-4222.308	8142.209	2516.568925857544
8	49499.414	6439.4805	52808.23	7567.72	1000.0	1000.0	31999	[23.35997521]	0.0	19.0	4303.565	159.20984	-4311.883	8675.036	2875.963272333145
9	56222.82	5026.32	52283.42	7040.6606	1000.0	1000.0	35999	[23.98636409]	0.0	19.0	4377.0776	171.79218	-4384.951	9144.648	3232.0841252803802
10	52163.84	4010.5251	54100.195	8445.116	1000.0	1000.0	39999	[22.50937939]	0.0	19.0	4434.1714	178.66925	-4438.9653	9357.406	3588.1557834148407
11	44190.754	4008.023	42045.18	5624.538	1000.0	1000.0	43999	[21.80918145]	0.0	19.0	4499.7974	176.19115	-4504.934	8851.477	3945.8279283046722
12	49434.656	7157.562	42310.465	5834.4185	1000.0	1000.0	47999	[21.47727746]	0.0	19.0	4514.2495	179.46567	-4517.1777	8937.861	4299.126481771469
13	54325.523	6700.55	48712.133	6357.462	1000.0	1000.0	51999	[21.35449524]	0.0	19.0	4567.9453	182.2769	-4574.806	8807.837	4654.366679430008
14	47523.906	3253.7039	48335.43	6030.0815	1000.0	1000.0	55999	[24.52068645]	0.0	19.0	4652.3145	175.47229	-4655.625	8091.0137	5008.776029586792
15	46944.188	9421.117	38142.336	2366.4102	1000.0	1000.0	59999	[16.56264695]	0.0	19.0	4616.5986	182.25378	-4616.2925	8008.513	5359.531072616577
16	42948.652	3709.9104	33908.453	3956.5032	1000.0	1000.0	63999	[29.07264718]	0.0	19.0	4524.833	194.01178	-4518.163	8807.766	5707.87789940834
