Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	31147.75	1522.2845	32140.0	28520.0	1000.0	-0.3679392	0.10109165	0.23894714	-0.84898955	4000	2.579689e-07	8544960.0	-0.020519083	-53829.0	0.9189386	0.011530146	0.14025	79.0	597.9655401706696
1	29772.5	2636.905	32180.0	25620.0	1000.0	9.260709	0.2799815	9.352933	3.8584669	8000	-7.343293e-08	7735804.5	-0.01710547	-30850.5	0.9107016	0.01297069	0.1165	79.0	1202.67951130867
2	32080.0	157.00319	32230.0	31850.0	1000.0	15.0681305	0.151899	15.105495	12.082693	12000	1.3399125e-07	9053515.0	-0.0058378708	-33603.0	0.905443	0.015347713	0.20175	4.0	1984.8391771316528
3	28715.5	3389.8481	32231.0	24791.0	1000.0	20.89041	0.07272468	20.902273	18.76475	16000	1.6450883e-07	7100428.0	-0.014855948	-25919.0	0.9054529	0.009506828	0.1155	79.0	2491.16752576828
4	29007.5	1842.924	32180.0	27620.0	1000.0	26.006353	0.0735753	26.01598	24.132338	20000	2.6702882e-08	7416725.0	-0.017041508	-26866.0	0.8913845	0.010583209	0.1125	79.0	2922.250787258148
5	29322.75	2797.463	32181.0	25810.0	1000.0	31.18357	0.018360028	31.188025	30.643019	24000	4.3869022e-08	7502475.0	-0.016403506	-27256.0	0.8733835	0.010787778	0.13375	79.0	3416.1033301353455
6	28767.5	3636.4292	32160.0	23510.0	1000.0	36.40069	0.019129843	36.4045	36.025356	28000	-1.5878678e-07	7170241.0	-0.01796913	-26229.0	0.8690596	0.011406198	0.12975	79.0	3934.330239534378
7	28330.0	1837.5391	31490.0	26940.0	1000.0	41.53102	0.004515783	41.53305	41.407146	32000	-4.816055e-07	6863980.0	-0.018633353	-25248.0	0.8622428	0.012788571	0.13725	79.0	4398.785847425461
8	29465.0	2707.1619	32200.0	26610.0	1000.0	46.57465	0.006623851	46.576508	46.462914	36000	-1.2350083e-07	7494223.0	-0.01862089	-27234.0	0.8562099	0.011920979	0.14475	79.0	4844.313766479492
9	29447.75	2655.451	32251.0	26410.0	1000.0	51.800484	0.0053103697	51.80181	51.70476	40000	2.1076204e-07	7389076.0	-0.019730674	-27173.0	0.8485133	0.015062095	0.144	67.0	5287.6872363090515
10	30767.5	2156.4019	32260.0	27060.0	1000.0	57.02958	0.0031735948	57.030647	56.972065	44000	1.6355516e-07	8068215.5	-0.021707844	-29253.5	0.84439504	0.0144190835	0.13925	79.0	5772.248972654343
11	28802.5	2185.1702	30970.0	25710.0	1000.0	62.432266	0.0014713515	62.432964	62.394302	48000	-2.013445e-07	7065423.0	-0.020375652	-26062.5	0.84426874	0.013620101	0.15425	79.0	6234.13827586174
12	29175.0	2778.862	32250.0	24670.0	1000.0	67.557625	0.0022503634	67.55829	67.50907	52000	1.5091896e-07	7127064.0	-0.02137921	-25899.0	0.8432309	0.012224545	0.13375	79.0	6733.9853501319885
13	30292.5	4244.646	33670.0	23010.0	1000.0	72.65542	0.0027260906	72.65615	72.61059	56000	2.0313264e-07	7860885.0	-0.018864783	-28254.0	0.842637	0.009557212	0.1275	79.0	7165.521729230881
14	29120.0	3282.2478	32250.0	24480.0	1000.0	77.96515	0.0025501999	77.96573	77.92409	60000	1.2111664e-07	7205080.0	-0.0053615742	-26143.0	0.83889145	0.016954886	0.1715	4.0	7570.193662643433
15	27392.75	3414.6555	32980.0	23801.0	1000.0	83.09715	0.0016442715	83.09757	83.059204	64000	-3.9577486e-08	6151852.5	-0.021179162	-22606.0	0.8386762	0.010816999	0.166	79.0	7971.082303762436
16	30855.25	1389.2507	32110.0	28510.0	1000.0	87.89262	0.0019761804	87.893074	87.85721	68000	-2.2506715e-07	7994267.0	-0.021736028	-29095.0	0.82607216	0.015033313	0.16375	70.0	8370.563355207443
17	29040.25	3176.6548	32230.0	25360.0	1000.0	93.274216	0.001703259	93.27461	93.2414	72000	-2.1266938e-07	7057924.0	-0.004202163	-25739.5	0.8362029	0.015450032	0.19425	3.0	8770.30218744278
18	32095.0	107.12143	32170.0	31910.0	1000.0	98.39007	0.0018663076	98.39049	98.3595	76000	5.722046e-08	8643900.0	-0.017528998	-31529.0	0.8364755	0.013523584	0.1335	79.0	9172.76549744606
19	30650.25	3232.732	32740.0	25061.0	1000.0	103.98427	0.0013069208	103.98457	103.95593	80000	1.7356874e-07	7764396.5	-0.019828336	-28512.5	0.8266764	0.014296062	0.15025	79.0	13951.862415790558
20	32252.5	138.63171	32490.0	32140.0	1000.0	109.33799	0.0015875059	109.33834	109.3115	84000	-7.629395e-08	8720368.0	-0.012227482	-31602.0	0.821165	0.015444369	0.11325	16.0	14379.635798931122
21	29172.5	2060.4656	32250.0	26750.0	1000.0	114.92231	0.0012858681	114.92258	114.89766	88000	-2.0408632e-07	6944481.5	-0.011889048	-25309.0	0.819948	0.015480383	0.17525	9.0	14793.438234090805
22	31820.0	360.83237	32100.0	31200.0	1000.0	119.967064	0.0012990545	119.96734	119.94397	92000	-4.768372e-09	8314979.0	-0.01947301	-29954.5	0.81974185	0.010549651	0.144	79.0	15208.321439504623
23	31655.0	973.6144	32280.0	29970.0	1000.0	125.38666	0.0013103978	125.386925	125.365036	96000	-2.4223328e-07	8247784.0	-0.017731477	-29710.0	0.8069338	0.00690379	0.12875	79.0	15623.749033212662
24	30920.0	2235.2292	32280.0	27050.0	1000.0	130.80197	0.0012224695	130.80222	130.78178	100000	-1.0013581e-08	7887900.0	-0.015558022	-28222.5	0.80270976	0.015316058	0.149	26.0	16036.93703174591
25	28472.75	2175.249	32220.0	26860.0	1000.0	136.07893	0.0008574233	136.07913	136.05998	104000	-2.498627e-07	6502020.0	-0.018804314	-23486.0	0.79908335	0.015130404	0.1495	63.0	16458.29884672165
26	26545.25	3402.686	32150.0	23090.0	1000.0	140.92065	0.00065957045	140.9208	140.90257	108000	-1.461506e-07	5635598.0	-0.01923738	-20318.0	0.80687016	0.012792023	0.156	79.0	16872.286415815353
27	31827.5	698.2612	32290.0	30620.0	1000.0	145.43935	0.0011054333	145.43954	145.42207	112000	-3.218651e-08	8311704.0	-0.02015413	-29796.5	0.7930343	0.01516528	0.12625	59.0	17287.12659072876
28	29157.5	3233.0972	32140.0	24410.0	1000.0	150.8387	0.00077223475	150.83887	150.82248	116000	-2.5713445e-07	7036175.5	-0.01460893	-25530.0	0.78234726	0.01507259	0.1625	23.0	17713.4150891304
29	28915.25	3023.8987	32410.0	24080.0	1000.0	155.91331	0.00050088455	155.91345	155.89786	120000	-1.616478e-07	6537656.5	-0.019897174	-23909.0	0.77586573	0.007882706	0.12975	79.0	18126.210807800293
30	27415.0	2459.5376	31170.0	24310.0	1000.0	160.81656	0.0006457807	160.8167	160.80176	124000	-1.1992455e-07	5999648.5	-0.013417531	-21932.5	0.77133256	0.015311053	0.1495	17.0	18539.642981767654
31	29267.5	2562.278	32230.0	25780.0	1000.0	165.53307	0.00050202076	165.53316	165.51886	128000	1.602173e-07	6904735.5	-0.015898507	-25132.5	0.7701243	0.015419858	0.15575	24.0	18952.48473405838
32	31127.5	1900.0969	32310.0	27840.0	1000.0	170.56154	0.0006367322	170.56168	170.54796	132000	-5.76973e-08	7684041.0	-0.019248608	-28295.0	0.76864046	0.01462909	0.147	79.0	19364.091608524323
33	31240.0	1303.4569	32360.0	29100.0	1000.0	175.89958	0.0004444646	175.8997	175.88663	136000	-7.629395e-09	7801953.5	-0.01861528	-28824.5	0.7604403	0.015189398	0.138	66.0	19777.62385249138
34	32135.0	92.330925	32240.0	31990.0	1000.0	181.2936	0.00069380406	181.29372	181.28125	140000	-1.10626225e-07	8214292.0	-0.017545735	-30247.5	0.7626773	0.015054154	0.1665	37.0	20189.356817483902
35	31360.0	1547.9019	32320.0	28680.0	1000.0	186.80092	0.0006626712	186.80106	186.78925	144000	1.9168854e-07	7756192.5	-0.020610217	-28440.5	0.7598406	0.01310559	0.14425	79.0	20605.288769245148
36	30702.5	1685.6211	32260.0	28210.0	1000.0	192.14903	0.000520459	192.14911	192.13791	148000	9.965897e-08	7431747.0	-0.017995894	-27101.5	0.76773965	0.014502359	0.13475	79.0	21021.275761842728
37	28325.0	2308.295	32270.0	26400.0	1000.0	197.36421	0.00043651546	197.3643	197.3536	152000	1.2278558e-07	6154689.0	-0.022688143	-22648.0	0.7598358	0.013246513	0.16975	79.0	21436.62729549408
38	29997.5	2455.681	32610.0	27470.0	1000.0	202.16077	0.00034485318	202.16084	202.15057	156000	-3.242493e-08	6987635.0	-0.013356598	-25467.0	0.7562698	0.015150618	0.13075	16.0	21885.73585486412
39	31500.0	896.4095	32250.0	30050.0	1000.0	207.21208	0.00045571025	207.21217	207.2023	160000	-1.8644334e-07	7797437.0	-0.01928363	-28556.5	0.75795895	0.015037739	0.1565	53.0	22304.640921592712
40	30332.5	3270.4387	32320.0	24670.0	1000.0	212.5615	0.0004367701	212.5616	212.55215	164000	-1.5866758e-07	7163804.0	-0.011461083	-26245.0	0.74452	0.01554148	0.126	10.0	22718.729562044144
41	30115.0	1717.7529	32300.0	27900.0	1000.0	217.71747	0.00043438445	217.71756	217.70853	168000	-2.5987626e-08	7183985.0	-0.009078565	-26332.0	0.7438205	0.015060544	0.1195	8.0	23132.752155542374
42	30822.5	2542.581	32380.0	26420.0	1000.0	222.86928	0.00048144924	222.86932	222.86066	172000	1.680851e-08	7411795.0	-0.010701373	-27189.0	0.74410075	0.016372623	0.1555	11.0	23544.088836431503
43	30925.25	2055.7207	32270.0	27370.0	1000.0	228.1007	0.0002730929	228.10074	228.09247	176000	-3.71933e-08	7320161.5	-0.010378572	-27054.0	0.7455168	0.015205069	0.12925	9.0	23963.579320907593
44	29642.5	2477.2097	32210.0	26710.0	1000.0	233.32355	0.00037804994	233.32361	233.31564	180000	8.34465e-09	6623287.5	-0.020291887	-24479.5	0.74610496	0.011845286	0.14475	79.0	24378.74772977829
45	30420.0	3240.8408	32980.0	24870.0	1000.0	238.31053	0.00019726258	238.31058	238.30501	184000	-7.104874e-08	6927543.5	-0.02102172	-25472.0	0.7446396	0.01414226	0.16175	79.0	24793.926142930984
46	30022.5	3037.9546	32290.0	24890.0	1000.0	243.38254	0.00026873875	243.38258	243.37723	188000	-9.1552735e-08	6904171.5	-0.014272778	-25349.5	0.74182427	0.015410744	0.1395	16.0	25206.5147190094
