Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	30898.25	1955.41	32511.0	27620.0	1000.0	-0.1669136	0.11811541	0.06942711	-0.40188044	4000	0.00501886	8498839.0	0.0	-52434.0	0.9189386	-1.5795232e-09	665.786637544632
1	30038.5	3571.847	32391.0	23872.0	1000.0	9.219109	0.4125047	9.300287	2.4385016	8000	-0.020287698	8058537.0	0.0	-31312.0	0.9189385	2.1755697e-09	1349.6003229618073
2	27046.5	2295.977	30633.0	24541.0	1000.0	15.017172	0.053049393	15.030286	13.211292	12000	0.0061178324	6354664.5	0.0	-24411.0	0.9188419	-1.8477441e-09	1986.7885310649872
3	31637.25	1617.948	32664.0	28840.0	1000.0	20.085129	0.048356105	20.097715	18.75949	16000	-0.028048769	8753522.0	0.0	-32421.0	0.91882765	2.8312208e-09	2686.50830411911
4	32408.5	45.013885	32472.0	32345.0	1000.0	25.79409	0.06338973	25.802727	24.792936	20000	-0.035038173	9309703.0	0.0	-33627.0	0.9187539	-1.4901162e-10	3355.441051721573
5	30768.25	1872.6542	32385.0	27813.0	1000.0	31.550844	0.013660651	31.554422	31.271315	24000	0.0013187791	8306217.0	0.0	-29625.0	0.91863006	-9.685755e-09	4005.620874404907
6	29067.25	3428.988	32492.0	25204.0	1000.0	36.932705	0.004926344	36.934704	36.8374	28000	0.04252739	7334159.5	0.0	-25958.5	0.9185234	-6.3180927e-09	4594.529153347015
7	29694.0	3043.8728	32462.0	25011.0	1000.0	41.9751	0.0034903083	41.976185	41.890625	32000	-0.011368178	7596163.5	0.0	-26908.5	0.9185062	2.115965e-09	5270.057793855667
8	29827.0	1526.4922	32410.0	28651.0	1000.0	47.095093	0.003044649	47.09588	47.018433	36000	-0.027454419	7723205.0	0.0	-27358.0	0.9184748	4.142523e-09	5867.268332242966
9	29177.5	2275.4807	32130.0	25872.0	1000.0	52.265713	0.0013882373	52.266163	52.227753	40000	-0.00851916	7335005.5	0.0	-26138.5	0.918418	1.1622906e-09	6454.69690990448
10	31276.25	1691.7855	32692.0	28450.0	1000.0	57.335052	0.003577319	57.335644	57.26912	44000	0.006178732	8481977.0	0.0	-30054.0	0.91836077	-4.0233137e-09	7860.569579601288
11	30405.75	3364.8645	32526.0	24581.0	1000.0	62.736546	0.002818483	62.73698	62.67604	48000	0.0064757885	7973367.0	0.0	-28269.0	0.91831845	3.874302e-10	8496.164769172668
12	30100.25	2432.1414	32586.0	27072.0	1000.0	67.99715	0.0018841291	67.99746	67.95735	52000	-0.0029113637	7637051.0	0.0	-26955.5	0.91828185	1.0430813e-09	9003.858246564865
13	28640.0	3878.2878	32521.0	24652.0	1000.0	73.13203	0.0018386954	73.13228	73.09487	56000	-0.036165237	7039396.0	0.0	-24889.0	0.9182468	-4.4703485e-10	9502.862186193466
14	28965.25	3249.8025	32781.0	24504.0	1000.0	78.08208	0.0014500768	78.08227	78.04717	60000	-0.0074577336	7086035.5	0.0	-25102.5	0.9181836	-4.768372e-09	10014.38893198967
15	30852.25	3130.7273	32711.0	25430.0	1000.0	83.05376	0.0018933327	83.054016	83.02084	64000	0.01167149	8157666.0	0.0	-28791.5	0.9181194	-3.2484533e-09	10664.846306800842
16	29525.25	3265.677	32834.0	25881.0	1000.0	88.36076	0.0009279234	88.36092	88.34479	68000	0.053176034	7454483.0	0.0	-26786.5	0.91807514	-1.9073487e-09	11293.562085390091
17	31416.75	2112.8767	32824.0	27765.0	1000.0	93.50966	0.00089801196	93.50983	93.49461	72000	0.01357429	8278211.5	0.0	-29479.0	0.9180804	7.659197e-09	11846.925544261932
18	30977.0	3404.2183	33405.0	25105.0	1000.0	98.878815	0.00057200465	98.87893	98.86462	76000	-0.033640806	7950126.5	0.0	-28343.0	0.91809577	2.4139881e-09	12387.453881263733
19	29055.5	3815.6511	32764.0	23773.0	1000.0	104.158516	0.00056933495	104.158615	104.14504	80000	0.019866936	6933699.0	0.0	-24654.0	0.9180851	6.079674e-09	12910.781816005707
20	27887.75	2050.549	31142.0	26052.0	1000.0	109.10301	0.0001486494	109.10307	109.098274	84000	-0.020156	6324004.0	0.0	-22866.0	0.91809064	6.5565114e-10	13488.30670428276
21	31143.25	2650.5427	32743.0	26553.0	1000.0	113.87175	0.0007509233	113.871895	113.85943	88000	-0.018434921	8177739.0	0.0	-29185.0	0.9180788	1.9073487e-09	13996.005537748337
22	32071.25	766.8609	33101.0	31042.0	1000.0	119.21564	0.00022484669	119.21571	119.209854	92000	-0.0075430917	8314902.5	0.0	-30139.0	0.91805154	3.4570695e-09	14514.633219957352
23	30638.25	3295.3325	32722.0	24942.0	1000.0	124.66729	0.00052563305	124.66737	124.65613	96000	0.01303733	7697505.5	0.0	-27542.0	0.91802067	-6.5565114e-10	14993.046090126038
24	31891.25	1957.1033	33564.0	28564.0	1000.0	129.89018	0.0004913905	129.89027	129.87956	100000	-0.038363047	8286910.0	0.0	-29580.0	0.91800445	-4.8577786e-09	15478.391433477402
25	27456.75	3061.1865	32742.0	25422.0	1000.0	135.27106	0.0003407411	135.2711	135.26093	104000	-0.0030893956	6069241.5	0.0	-22208.5	0.91796076	6.8545347e-10	15984.744305849075
26	30505.75	1312.0009	32612.0	29000.0	1000.0	139.995	0.0002824758	139.99504	139.98523	108000	-0.011512374	7680861.0	0.0	-27339.0	0.91792053	1.5795232e-09	16484.084134817123
27	29311.75	3947.3848	32922.0	23170.0	1000.0	145.16669	0.0002872422	145.16672	145.1593	112000	0.0028589594	7028191.0	0.0	-25145.0	0.9178761	-1.4603139e-09	16977.449916124344
28	31330.5	2684.6975	33071.0	26685.0	1000.0	150.17609	0.00039137754	150.17615	150.1683	116000	-0.0035333177	7882426.0	0.0	-28374.5	0.91783845	-6.1094765e-09	17450.06519985199
29	31993.75	994.78796	32962.0	30495.0	1000.0	155.4644	0.00029890824	155.4645	155.45807	120000	0.003550627	8372894.5	0.0	-30185.0	0.9178032	3.9339065e-09	18004.005669355392
30	32232.5	752.3571	32913.0	31034.0	1000.0	160.91959	0.00033631086	160.91963	160.91356	124000	-0.0016472808	8473410.0	0.0	-30582.0	0.9177759	3.8146974e-09	18594.738950014114
31	28248.75	3148.1694	32845.0	24963.0	1000.0	166.40404	0.00019269894	166.40407	166.39825	128000	-0.026660966	6373024.0	0.0	-22941.5	0.9177504	-3.486872e-09	19143.55348587036
32	31906.5	2337.1453	33901.0	27924.0	1000.0	171.20378	0.00018510631	171.20381	171.19821	132000	-0.029624509	7965605.0	0.0	-28436.0	0.9177084	7.599593e-09	31094.741733312607
33	29661.5	1928.2235	32832.0	27636.0	1000.0	176.47188	0.00017719522	176.47191	176.46652	136000	0.028153501	7065957.5	0.0	-25536.5	0.9176496	7.1525574e-10	31634.19071817398
34	29693.5	2820.519	32756.0	25643.0	1000.0	181.51593	9.453032e-05	181.51599	181.51083	140000	0.0009257536	6945294.5	0.0	-25074.5	0.91761786	1.5199185e-09	32142.26620054245
35	31828.75	2308.608	33645.0	27866.0	1000.0	186.50612	0.00023573717	186.5062	186.50119	144000	-0.009375067	7967995.5	0.0	-28556.5	0.91759074	2.9504301e-09	36295.48352622986
36	29810.75	2859.0378	31892.0	24902.0	1000.0	191.81071	0.000118883254	191.81075	191.80598	148000	0.0045156823	6918192.5	0.0	-24996.5	0.9175572	-2.771616e-09	36721.20949649811
37	28643.25	4185.459	33233.0	24111.0	1000.0	196.81566	0.000113781876	196.81567	196.81178	152000	0.006922604	6392621.0	0.0	-22740.5	0.91753155	-4.9173834e-09	37159.74879574776
38	29228.75	4316.002	33960.0	24814.0	1000.0	201.59479	0.00012465926	201.59485	201.59218	156000	0.019640725	6627084.5	0.0	-23566.0	0.9175145	1.2516976e-09	37555.097796201706
39	32082.25	1626.6482	33074.0	29266.0	1000.0	206.4563	0.000121704026	206.45636	206.45378	160000	0.014666959	7899306.5	0.0	-28739.5	0.91751534	-1.5795232e-09	37939.32623052597
40	29892.25	3381.6526	33201.0	25434.0	1000.0	211.80293	8.485485e-05	211.80296	211.80052	164000	0.04014123	6725815.0	0.0	-24742.0	0.91752845	4.8577786e-09	38324.64096045494
41	30879.75	3681.1997	33230.0	24514.0	1000.0	216.81656	0.00012032864	216.81657	216.81418	168000	0.017496007	7425623.5	0.0	-26925.5	0.91757095	7.241965e-09	38736.46701049805
42	29894.25	3225.2317	33309.0	25497.0	1000.0	222.01122	0.00010603184	222.01126	222.00899	172000	0.039951127	6889137.0	0.0	-25073.0	0.9176235	-3.2484533e-09	39158.42147731781
