Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AvgEnergyBought	AvgEnergySold	AvgPriceBought	AverageQVals	StdQVals	LossPi	LossQ	Time
1	22913.496	1626.8955	36380.0	1423.9382	1000.0	1000.0	3999	0.0	0.0	19.0	1999.8145	1711.0172	-2431.9556	31230.502	349.66417694091797
2	20041.336	3038.9807	35230.0	1895.8112	1000.0	1000.0	7999	0.0	0.0	19.0	8787.307	1969.0933	-9267.14	500670.78	705.8956282138824
3	28619.062	8153.3843	35590.0	1612.1105	1000.0	1000.0	11999	0.0	0.0	19.0	60883.99	37962.715	-67982.13	6869799.0	1053.539734363556
4	35975.0	2496.372	36230.0	968.5556	1000.0	1000.0	15999	0.0	0.0	19.0	220840.02	49221.504	-231512.31	49979736.0	1395.9591856002808
5	36250.0	952.6279	35190.0	1660.3915	1000.0	1000.0	19999	0.0	0.0	19.0	363412.44	42294.598	-373418.72	104045030.0	1738.6910526752472
6	34100.0	2147.091	34790.0	1935.1744	1000.0	1000.0	23999	0.0	0.0	19.0	485975.97	45207.098	-497537.53	177499980.0	2082.663523197174
7	34475.0	1922.726	35360.0	1908.5073	1000.0	1000.0	27999	0.0	0.0	19.0	609966.75	44995.89	-621423.5	278686900.0	2427.560557126999
8	36400.0	692.8203	35960.0	1209.2974	1000.0	1000.0	31999	0.0	0.0	19.0	704745.6	166128.25	-713377.1	3568300800.0	2771.1375448703766
9	34350.0	2451.0203	35310.0	1909.6858	1000.0	1000.0	35999	0.0	0.0	19.0	320175.34	426995.34	-272051.88	18209325000.0	3114.5004601478577
10	33550.0	1892.7493	35450.0	2038.259	1000.0	1000.0	39999	0.0	0.0	19.0	-170382.83	244969.62	172715.33	13204800000.0	3460.4312069416046
11	36700.0	173.20508	35440.0	1900.1052	1000.0	1000.0	43999	0.0	0.0	19.0	-76751.445	115835.6	70609.77	3597741800.0	3805.957121372223
12	36550.0	634.4289	35590.0	1202.0399	1000.0	1000.0	47999	0.0	0.0	19.0	-196926.05	177862.69	220104.67	5732013600.0	4151.024488925934
13	37100.0	308.2207	35110.0	1934.1406	1000.0	1000.0	51999	0.0	0.0	19.0	-460075.06	152030.17	471270.47	8986320000.0	4495.387270450592
14	35625.0	2035.1597	35200.0	1788.8544	1000.0	1000.0	55999	0.0	0.0	19.0	-638008.25	180835.53	655421.6	12376513000.0	4842.519098520279
15	35475.0	2026.5426	35420.0	1683.3301	1000.0	1000.0	59999	0.0	0.0	19.0	-606497.3	221474.86	600517.5	11603542000.0	5187.893798112869
16	35700.0	1347.2194	35680.0	1632.6665	1000.0	1000.0	63999	0.0	0.0	19.0	-371890.75	292240.62	358954.28	14389017000.0	5533.837807178497
17	36925.0	476.31396	35440.0	1791.2007	1000.0	1000.0	67999	0.0	0.0	19.0	-53703.586	289725.28	44541.71	15008088000.0	5875.41265463829
18	35675.0	1310.2958	36090.0	1528.038	1000.0	1000.0	71999	0.0	0.0	19.0	-14540.848	414519.16	21260.436	28224465000.0	6217.303069353104
19	35625.0	1914.9086	35260.0	1461.643	1000.0	1000.0	75999	0.0	0.0	19.0	54227.785	407996.47	-66953.625	40060244000.0	6559.334162473679
20	35150.0	1045.2273	35960.0	1682.3793	1000.0	1000.0	79999	0.0	0.0	19.0	130288.08	580103.4	-121414.914	90607640000.0	6900.335036039352
