Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	31638.0	1113.8411	32990.0	29920.0	1000.0	-0.17761444	0.10181039	0.11201322	-0.38144636	4000	-0.0093158	8562894.0	0.0	-50608.0	0.9189386	2.6822092e-10	362.01176261901855
1	30485.25	2590.0942	32950.0	26590.0	1000.0	8.816151	0.20514561	8.8606205	3.2537096	8000	0.03312981	7924395.5	0.0	-30997.5	0.91908854	-2.861023e-09	700.3216509819031
2	30793.25	2273.9932	32940.0	27191.0	1000.0	14.552568	0.18706733	14.576126	9.848858	12000	-0.021636926	8088846.5	0.0	-30024.5	0.9191563	-4.1723253e-10	1035.2941465377808
3	32164.0	1520.7511	33050.0	29530.0	1000.0	20.058899	0.05675812	20.072615	19.026432	16000	0.04967024	8625951.0	0.0	-31360.0	0.9191404	-3.874302e-09	1371.1582782268524
4	29198.25	2381.351	33001.0	26612.0	1000.0	25.609217	0.019847713	25.616081	24.993206	20000	-0.0006164899	7130069.5	0.0	-26007.5	0.9192136	-1.5497208e-09	1707.0124032497406
5	29800.75	1818.013	32860.0	28381.0	1000.0	30.686203	0.0092033	30.69067	30.132347	24000	0.019512713	7427004.5	0.0	-26878.5	0.91927516	5.066395e-09	2043.3899054527283
6	32380.5	639.78143	33070.0	31601.0	1000.0	35.823853	0.026401108	35.828983	35.29893	28000	-0.004816622	8819573.0	0.0	-31732.0	0.91935915	5.960465e-10	2379.9455347061157
7	30280.5	2477.0972	32950.0	26590.0	1000.0	41.367054	0.019843535	41.370426	40.925266	32000	-0.015017015	7721448.0	0.0	-27753.5	0.91942364	-5.602837e-09	2716.696305513382
8	31475.25	1647.6522	33141.0	29280.0	1000.0	46.580017	0.017303484	46.582897	46.19504	36000	0.008571184	8133473.5	0.0	-28893.5	0.91946125	-2.0861626e-09	3054.793041229248
9	30505.25	2777.1646	33000.0	26190.0	1000.0	51.86608	0.015136801	51.868385	51.52858	40000	0.038161516	7628059.0	0.0	-27223.0	0.91950494	2.1755697e-09	3389.8856201171875
10	30945.75	2348.5833	33141.0	27371.0	1000.0	57.012875	0.013437148	57.01489	56.71318	44000	-0.009808489	7877014.0	0.0	-28134.5	0.91958183	-4.6491624e-09	3725.6586883068085
11	31770.5	1314.2185	33011.0	29900.0	1000.0	62.231537	0.011296626	62.23324	61.96335	48000	0.005657981	8384101.0	0.0	-29912.0	0.9196384	6.8247323e-09	4062.7436974048615
12	30647.5	1880.5101	33010.0	27770.0	1000.0	67.6004	0.006909568	67.60174	67.45905	52000	0.029891405	7745887.5	0.0	-27636.0	0.91969377	-7.1227553e-09	4406.934809207916
13	30888.0	1409.5714	33041.0	29140.0	1000.0	72.778625	0.0018436392	72.779465	72.7222	56000	0.008723065	7881734.5	0.0	-27756.5	0.9197682	-7.4505807e-10	4743.826682329178
14	31097.75	2585.4612	32881.0	26640.0	1000.0	77.955986	0.0022570642	77.95677	77.90314	60000	-0.025016332	7873654.5	0.0	-27942.5	0.9198409	-5.722046e-09	5080.209186077118
15	31378.5	994.8541	32980.0	30260.0	1000.0	83.15179	0.0017957266	83.1525	83.10243	64000	-0.032933433	8028014.0	0.0	-28318.5	0.9198885	-7.1227553e-09	5417.31222653389
16	30623.5	1924.7479	33060.0	27682.0	1000.0	88.38036	0.001509437	88.38098	88.33402	68000	0.022594778	7705540.0	0.0	-27420.5	0.91989964	-7.4505807e-10	5754.447254419327
17	31711.25	2333.2385	33071.0	27670.0	1000.0	93.533066	0.0024205344	93.533745	93.48941	72000	-0.060909282	8080267.5	0.0	-28787.5	0.919929	7.1525577e-09	6093.719836473465
18	31740.5	1772.2585	33100.0	28760.0	1000.0	98.79911	0.0018335807	98.79966	98.758766	76000	-0.0008956957	8068651.0	0.0	-28655.0	0.91991276	-7.003546e-09	6429.977250337601
19	30448.0	2068.1843	32771.0	27410.0	1000.0	104.05803	0.000897002	104.058464	104.0203	80000	0.0070353188	7413677.5	0.0	-26379.5	0.9198992	-5.1259996e-09	6767.212368011475
