timestamp,p,0,50,100,150,200,250,300,350,400,450,500,550
20130101:0007,207977.0972,207977.0972,478198.2364,174924.4043,207707.1071,151214.4813,145471.3235,212343.4376,157722.5512,172674.1974,199261.8963,161818.8787,143969.8974
20130101:0107,760231.9808,760231.9808,620446.6028,573144.7737,756371.5877,452303.2943,407917.2941,772029.8661,485097.3962,574525.7123,717365.6624,511496.3287,401571.2535
20130101:0207,1210615.27,1210615.27,541773.644,787853.5095,1196012.609,556153.7442,418754.1952,1204127.84,615630.785,830056.8775,1132591.112,685780.1253,411506.4981
20130101:0307,1260393.192,1260393.192,161744.0843,158275.4473,1083428.86,191607.217,-293940.4331,919591.6191,355178.2552,525852.4396,1111035.812,442834.7382,-299222.612
20130101:0407,990784.6886,990784.6886,130987.0324,-334723.1617,674355.0722,25050.23041,-558257.3671,412676.3044,263787.4917,181762.3383,796800.2381,284476.8272,-572297.0005
20130101:0507,743388.3127,743388.3127,270212.4526,-570489.379,324440.4985,82015.23784,-546035.5632,-10656.56279,351987.2061,-43842.64725,403019.2612,308006.0263,-537830.4301
20130101:0607,679094.8265,679094.8265,498150.0082,-495967.3004,207686.9177,330427.9968,-337755.6058,-189708.8434,561372.3556,-73709.87946,5135.408245,498572.9642,-269303.2692
20130101:0707,237198.5128,237198.5128,767378.6284,1159.036526,130471.2706,707431.7597,-1500.074356,-160582.589,618362.2868,163441.3429,-433071.8426,664708.1996,216205.9508
20130101:0807,-139033.019,-139033.019,819132.0225,55395.36706,34237.62444,539883.1976,-86798.80791,-45016.68777,268437.1369,197891.6464,-210880.9496,339132.7177,60717.24685
20130101:0907,-145099.2952,-145099.2952,854024.8349,45778.22499,-136.3605238,468334.6776,-42363.2369,-89504.56719,143549.4056,159120.6923,24070.76449,227319.0134,-46243.39035
20130101:1007,-88452.05168,-88452.05168,922811.1533,415281.4374,-24115.16829,986684.4031,431522.1019,-253548.6697,625147.5317,358839.0638,56332.67964,929298.2343,25594.92095
20130101:1107,-109894.4785,-109894.4785,911492.7206,589615.1921,-26077.63224,1243695.484,619884.122,-260141.6757,904962.8302,530481.6884,-112087.2576,1295370.512,106255.7724
