Epoch	AverageEpRet	StdEpRet	AverageTestEpRet	StdTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	LossPi	LossQ	Time
1	-9510.795	238.73161	140.0	142.82857	1000.0	1000.0	3999	519.0618	501.62036	-652.74426	3926.7922	1998.701608657837
2	-9636.26	287.91077	120.0	153.62291	1000.0	1000.0	7999	5259.762	3013.3574	-5766.0366	204027.28	3767.335705757141
3	-4356.1436	4706.0254	110.0	137.47726	1000.0	1000.0	11999	6536.175	5766.179	-5915.3633	998315.4	5761.276441335678
4	75.0	129.90381	130.0	141.77448	1000.0	1000.0	15999	-3208.5396	2944.9128	3453.454	562344.3	8208.815673351288
5	125.0	129.90381	130.0	148.66069	1000.0	1000.0	19999	-10831.23	3261.395	11252.328	1115032.6	10739.210054397583
6	0.0	0.0	140.0	156.20499	1000.0	1000.0	23999	-15558.217	5585.5747	15366.766	4570202.5	12792.378480196
7	75.0	129.90381	120.0	160.0	1000.0	1000.0	27999	29219.758	31464.086	-35184.29	15754004.0	14645.596801519394
8	125.0	129.90381	140.0	149.66629	1000.0	1000.0	31999	121313.45	45089.152	-117865.09	125181550.0	16435.83037877083
9	175.0	108.97247	110.0	104.40307	1000.0	1000.0	35999	-98532.055	145887.58	104038.71	1983339600.0	18134.96959233284
10	150.0	165.83124	170.0	141.77448	1000.0	1000.0	39999	-75987.2	231117.33	82470.75	5938602000.0	19697.25492310524
