Time,House,School,Health_center,Mosque,Water_pump
20130101:0007,0.059,0.15,0.15,0.1,0.14
20130101:0107,0.051,0.15,0.15,0.1,0.14
20130101:0207,0.051,0.15,0.15,0.1,0.14
20130101:0307,0.051,0.15,0.15,0.1,0.29
20130101:0407,0.177,0.15,0.15,0.85,0.43
20130101:0507,0.271,0.15,0.15,0.85,0.57
20130101:0607,0.298,0.46,0.46,0.5,0.71
20130101:0707,0.271,0.92,0.92,0.1,0.86
20130101:0807,0.227,0.92,0.92,0.1,1
20130101:0907,0.233,1,1,0.1,1
20130101:1007,0.268,1,1,0.1,1
20130101:1107,0.288,1,1,1,0.86
20130101:1207,0.374,1,1,1,0.71
20130101:1307,0.281,1,1,1,0.71
20130101:1407,0.226,1,1,0.5,0.86
20130101:1507,0.215,1,1,1,0.86
20130101:1607,0.221,0.85,0.85,1,1
20130101:1707,0.356,0.31,0.31,0.5,1
20130101:1807,0.667,0.15,0.15,1,0.71
20130101:1907,0.543,0.15,0.15,1,0.57
20130101:2007,0.366,0.15,0.15,0.1,0.29
20130101:2107,0.26,0.15,0.15,0.1,0.14
20130101:2207,0.162,0.15,0.15,0.1,0.14
20130101:2307,0.11,0.15,0.15,0.1,0.14
20130102:0007,0.059,0.15,0.15,0.1,0.14
20130102:0107,0.051,0.15,0.15,0.1,0.14
20130102:0207,0.051,0.15,0.15,0.1,0.14
20130102:0307,0.051,0.15,0.15,0.1,0.29
20130102:0407,0.177,0.15,0.15,0.85,0.43
20130102:0507,0.271,0.15,0.15,0.85,0.57
20130102:0607,0.298,0.46,0.46,0.5,0.71
20130102:0707,0.271,0.92,0.92,0.1,0.86
20130102:0807,0.227,0.92,0.92,0.1,1
20130102:0907,0.233,1,1,0.1,1
20130102:1007,0.268,1,1,0.1,1
20130102:1107,0.288,1,1,1,0.86
20130102:1207,0.374,1,1,1,0.71
20130102:1307,0.281,1,1,1,0.71
20130102:1407,0.226,1,1,0.5,0.86
20130102:1507,0.215,1,1,1,0.86
20130102:1607,0.221,0.85,0.85,1,1
20130102:1707,0.356,0.31,0.31,0.5,1
20130102:1807,0.667,0.15,0.15,1,0.71
20130102:1907,0.543,0.15,0.15,1,0.57
20130102:2007,0.366,0.15,0.15,0.1,0.29
20130102:2107,0.26,0.15,0.15,0.1,0.14
20130102:2207,0.162,0.15,0.15,0.1,0.14
20130102:2307,0.11,0.15,0.15,0.1,0.14
20130103:0007,0.059,0.15,0.15,0.1,0.14
20130103:0107,0.051,0.15,0.15,0.1,0.14
20130103:0207,0.051,0.15,0.15,0.1,0.14
20130103:0307,0.051,0.15,0.15,0.1,0.29
20130103:0407,0.177,0.15,0.15,0.85,0.43
20130103:0507,0.271,0.15,0.15,0.85,0.57
20130103:0607,0.298,0.46,0.46,0.5,0.71
20130103:0707,0.271,0.92,0.92,0.1,0.86
20130103:0807,0.227,0.92,0.92,0.1,1
20130103:0907,0.233,1,1,0.1,1
20130103:1007,0.268,1,1,0.1,1
20130103:1107,0.288,1,1,1,0.86
20130103:1207,0.374,1,1,1,0.71
20130103:1307,0.281,1,1,1,0.71
20130103:1407,0.226,1,1,0.5,0.86
20130103:1507,0.215,1,1,1,0.86
20130103:1607,0.221,0.85,0.85,1,1
20130103:1707,0.356,0.31,0.31,0.5,1
20130103:1807,0.667,0.15,0.15,1,0.71
20130103:1907,0.543,0.15,0.15,1,0.57
20130103:2007,0.366,0.15,0.15,0.1,0.29
20130103:2107,0.26,0.15,0.15,0.1,0.14
20130103:2207,0.162,0.15,0.15,0.1,0.14
20130103:2307,0.11,0.15,0.15,0.1,0.14
20130104:0007,0.059,0.15,0.15,0.1,0.14
20130104:0107,0.051,0.15,0.15,0.1,0.14
20130104:0207,0.051,0.15,0.15,0.1,0.14
20130104:0307,0.051,0.15,0.15,0.1,0.29
20130104:0407,0.177,0.15,0.15,0.85,0.43
20130104:0507,0.271,0.15,0.15,0.85,0.57
20130104:0607,0.298,0.46,0.46,0.5,0.71
20130104:0707,0.271,0.92,0.92,0.1,0.86
20130104:0807,0.227,0.92,0.92,0.1,1
20130104:0907,0.233,1,1,0.1,1
20130104:1007,0.268,1,1,0.1,1
20130104:1107,0.288,1,1,1,0.86
20130104:1207,0.374,1,1,1,0.71
20130104:1307,0.281,1,1,1,0.71
20130104:1407,0.226,1,1,0.5,0.86
20130104:1507,0.215,1,1,1,0.86
20130104:1607,0.221,0.85,0.85,1,1
20130104:1707,0.356,0.31,0.31,0.5,1
20130104:1807,0.667,0.15,0.15,1,0.71
20130104:1907,0.543,0.15,0.15,1,0.57
20130104:2007,0.366,0.15,0.15,0.1,0.29
20130104:2107,0.26,0.15,0.15,0.1,0.14
20130104:2207,0.162,0.15,0.15,0.1,0.14
20130104:2307,0.11,0.15,0.15,0.1,0.14
20130105:0007,0.059,0.15,0.15,0.1,0.14
20130105:0107,0.051,0.15,0.15,0.1,0.14
20130105:0207,0.051,0.15,0.15,0.1,0.14
20130105:0307,0.051,0.15,0.15,0.1,0.29
20130105:0407,0.177,0.15,0.15,0.85,0.43
20130105:0507,0.271,0.15,0.15,0.85,0.57
20130105:0607,0.298,0.46,0.46,0.5,0.71
20130105:0707,0.271,0.92,0.92,0.1,0.86
20130105:0807,0.227,0.92,0.92,0.1,1
20130105:0907,0.233,1,1,0.1,1
20130105:1007,0.268,1,1,0.1,1
20130105:1107,0.288,1,1,1,0.86
20130105:1207,0.374,1,1,1,0.71
20130105:1307,0.281,1,1,1,0.71
20130105:1407,0.226,1,1,0.5,0.86
20130105:1507,0.215,1,1,1,0.86
20130105:1607,0.221,0.85,0.85,1,1
20130105:1707,0.356,0.31,0.31,0.5,1
20130105:1807,0.667,0.15,0.15,1,0.71
20130105:1907,0.543,0.15,0.15,1,0.57
20130105:2007,0.366,0.15,0.15,0.1,0.29
