Time,value,,,,,,,,,,,,
20130101:0007,207977.0972,,,,,,,,,,,,
20130101:0107,760231.9808,,,,,,,,,,,,
20130101:0207,1210615.27,,,,,,,,,,,,
20130101:0307,1260393.192,,,,,,,,,,,,
20130101:0407,990784.6886,,,,,,,,,,,,
20130101:0507,743388.3127,,,,,,,,,,,,
20130101:0607,679094.8265,,,,,,,,,,,,
20130101:0707,237198.5128,,,,,,,,,,,,
20130101:0807,-139033.019,,,,,,,,,,,,
20130101:0907,-145099.2952,,,,,,,,,,,,
20130101:1007,-88452.05168,,,,,,,,,,,,
20130101:1107,-109894.4785,,,,,,,,,,,,
20130101:1207,-150723.2761,,,,,,,,,,,,
20130101:1307,-179279.1517,,,,,,,,,,,,
20130101:1407,-133716.1921,,,,,,,,,,,,
20130101:1507,-22316.5485,,,,,,,,,,,,
20130101:1607,140210.3838,,,,,,,,,,,,
20130101:1707,686974.1298,,,,,,,,,,,,
20130101:1807,865196.7856,,,,,,,,,,,,
20130101:1907,1027428.016,,,,,,,,,,,,
20130101:2007,1215880.878,,,,,,,,,,,,
20130101:2107,1294412.919,,,,,,,,,,,,
20130101:2207,1135138.541,,,,,,,,,,,,
20130101:2307,1116320.854,,,,,,,,,,,,
20130102:0007,1008632.347,,,,,,,,,,,,
20130102:0107,940921.1476,,,,,,,,,,,,
20130102:0207,890026.1025,,,,,,,,,,,,
20130102:0307,845947.3701,,,,,,,,,,,,
20130102:0407,463979.6858,,,,,,,,,,,,
20130102:0507,428386.1842,,,,,,,,,,,,
20130102:0607,603571.2389,,,,,,,,,,,,
20130102:0707,628806.6133,,,,,,,,,,,,
20130102:0807,455219.5514,,,,,,,,,,,,
20130102:0907,297331.4253,,,,,,,,,,,,
20130102:1007,254172.6389,,,,,,,,,,,,
20130102:1107,547237.3154,,,,,,,,,,,,
20130102:1207,680195.032,,,,,,,,,,,,
20130102:1307,685884.778,,,,,,,,,,,,
20130102:1407,795391.532,,,,,,,,,,,,
20130102:1507,853428.4884,,,,,,,,,,,,
20130102:1607,853747.7387,,,,,,,,,,,,
20130102:1707,790186.3634,,,,,,,,,,,,
20130102:1807,703237.605,,,,,,,,,,,,
20130102:1907,776641.5236,,,,,,,,,,,,
20130102:2007,765610.7238,,,,,,,,,,,,
20130102:2107,614340.9994,,,,,,,,,,,,
20130102:2207,558688.1578,,,,,,,,,,,,
20130102:2307,538952.2613,,,,,,,,,,,,
20130103:0007,530908.3681,,,,,,,,,,,,
20130103:0107,96315.96418,,,,,,,,,,,,
20130103:0207,-125820.8228,,,,,,,,,,,,
20130103:0307,-43661.50083,,,,,,,,,,,,
20130103:0407,69712.74286,,,,,,,,,,,,
20130103:0507,18512.9859,,,,,,,,,,,,
20130103:0607,-32820.76386,,,,,,,,,,,,
