Time,value
20130101:0007,223607.5349
20130101:0107,841560.5458
20130101:0207,1364709.037
20130101:0307,1476522.081
20130101:0407,1212282.923
20130101:0507,956698.7731
20130101:0607,869684.1746
20130101:0707,290303.6643
20130101:0807,0
20130101:0907,0
20130101:1007,0
20130101:1107,0
20130101:1207,0
20130101:1307,0
20130101:1407,0
20130101:1507,108038.6523
20130101:1607,459596.1626
20130101:1707,1037680.599
20130101:1807,1038641.589
20130101:1907,1004387.863
20130101:2007,1079010.165
20130101:2107,1270827.1
20130101:2207,1200965.683
20130101:2307,1182480.07
20130102:0007,1043160.112
20130102:0107,983480.8807
20130102:0207,938568.5351
20130102:0307,868808.9119
20130102:0407,251531.8734
20130102:0507,5787.897515
20130102:0607,111373.3244
20130102:0707,283804.0198
20130102:0807,254620.0978
20130102:0907,197216.8077
20130102:1007,181579.0227
20130102:1107,480301.9656
20130102:1207,766158.8648
20130102:1307,740900.6397
20130102:1407,638931.774
20130102:1507,714014.3565
20130102:1607,835310.9974
20130102:1707,908960.8276
20130102:1807,676391.9134
20130102:1907,400745.1596
20130102:2007,351189.8683
20130102:2107,248656.6041
20130102:2207,190936.6029
20130102:2307,181204.617
20130103:0007,213040.1754
20130103:0107,0
20130103:0207,0
20130103:0307,0
20130103:0407,0
20130103:0507,0
20130103:0607,0
20130103:0707,0
20130103:0807,23124.10019
20130103:0907,301427.9105
20130103:1007,498552.1621
20130103:1107,751272.1618
20130103:1207,731223.1723
20130103:1307,693867.8147
20130103:1407,700883.3927
20130103:1507,646510.9815
20130103:1607,563087.4377
20130103:1707,530498.8339
20130103:1807,847923.9206
20130103:1907,946644.7644
20130103:2007,821103.4007
20130103:2107,561552.5968
20130103:2207,0
20130103:2307,0
20130104:0007,0
20130104:0107,12871.31387
20130104:0207,0
20130104:0307,525.4557274
20130104:0407,117365.934
20130104:0507,390815.3962
20130104:0607,367120.6888
20130104:0707,380927.4457
20130104:0807,619331.1614
20130104:0907,709388.886
20130104:1007,799357.1772
20130104:1107,910921.1128
20130104:1207,858510.8366
20130104:1307,510223.4487
20130104:1407,347632.4994
20130104:1507,214047.097
20130104:1607,229329.1601
20130104:1707,199610.6501
20130104:1807,90256.55663
20130104:1907,0
