Time,value
20130101:0007,1343002.456
20130101:0107,1517868.642
20130101:0207,1570927.111
20130101:0307,1915431.781
20130101:0407,1914515.767
20130101:0507,1478518.146
20130101:0607,1476655.093
20130101:0707,739673.6901
20130101:0807,701400.5866
20130101:0907,181979.615
20130101:1007,181366.0622
20130101:1107,-23851.13111
20130101:1207,-25021.73475
20130101:1307,-176667.1754
20130101:1407,-176548.6233
20130101:1507,34170.89515
20130101:1607,79359.05523
20130101:1707,458240.646
20130101:1807,461357.3172
20130101:1907,1541896.519
20130101:2007,1545442.304
20130101:2107,1788413.054
20130101:2207,1787783.385
20130101:2307,1539060.955
20130102:0007,1530046.11
20130102:0107,1430150.685
20130102:0207,1430157.939
20130102:0307,1413097.47
20130102:0407,1412950.623
20130102:0507,1463919.889
20130102:0607,1464296.864
20130102:0707,1155340.583
20130102:0807,1132514.33
20130102:0907,920819.731
20130102:1007,921302.9147
20130102:1107,902144.6685
20130102:1207,901103.4478
20130102:1307,540363.6902
20130102:1407,538858.2795
20130102:1507,647454.3323
20130102:1607,666521.481
20130102:1707,1044433.528
20130102:1807,1045825.602
20130102:1907,1441328.87
20130102:2007,1442678.277
20130102:2107,1497261.381
20130102:2207,1496595.665
20130102:2307,147511.171
20130103:0007,1480586.846
20130103:0107,1498997.628
20130103:0207,1498277.69
20130103:0307,1338600.383
20130103:0407,1338304.183
20130103:0507,1332502.345
20130103:0607,1332622.386
20130103:0707,767222.1087
20130103:0807,729727.0035
20130103:0907,340664.6212
20130103:1007,340687.4334
20130103:1107,311420.0273
20130103:1207,310808.4562
20130103:1307,173671.9615
20130103:1407,173471.6252
20130103:1507,343041.0059
20130103:1607,352781.3642
20130103:1707,590040.0555
20130103:1807,592066.8775
20130103:1907,1288783.143
20130103:2007,1290798.989
20130103:2107,1303637.573
20130103:2207,1302893.375
20130103:2307,1405328.88
20130104:0007,1416818.051
20130104:0107,1468459.061
20130104:0207,1467763.474
20130104:0307,1554035.177
20130104:0407,1555202.965
20130104:0507,1511484.479
20130104:0607,1509816.831
20130104:0707,557709.2558
20130104:0807,513295.4082
20130104:0907,137228.3481
20130104:1007,137426.2157
20130104:1107,88403.73345
20130104:1207,87586.16585
20130104:1307,1514.177021
20130104:1407,2044.929769
20130104:1507,215705.7811
20130104:1607,221298.1326
20130104:1707,330652.9168
20130104:1807,331937.0023
20130104:1907,1017334.769
20130104:2007,1022873.478
20130104:2107,1219083.066
20130104:2207,1218329.454
20130104:2307,1310982.162
20130105:0007,1323033.894
20130105:0107,1377371.884
20130105:0207,1376138.436
20130105:0307,991628.5295
20130105:0407,990643.0036
20130105:0507,990355.2621
20130105:0607,990809.7442
20130105:0707,100209.5771
20130105:0807,38561.9055
20130105:0907,-462414.7262
20130105:1007,-460778.908
20130105:1107,-28034.22903
20130105:1207,-27764.31464
20130105:1307,-262526.6095
20130105:1407,-263607.4167
20130105:1507,-247830.3399
20130105:1607,-239065.0414
20130105:1707,93718.82092
20130105:1807,96322.4293
20130105:1907,864402.6795
20130105:2007,866631.0291
20130105:2107,1062586.786
20130105:2207,1062708.332
20130105:2307,895010.1982
20130106:0007,883775.5305
20130106:0107,850594.3551
20130106:0207,851949.8614
20130106:0307,1438561.24
20130106:0407,1440410.061
20130106:0507,1337186.427
20130106:0607,1335108.064
20130106:0707,237895.5226
20130106:0807,189504.561
20130106:0907,-75764.51151
20130106:1007,-74606.94206
20130106:1107,-8725.061663
20130106:1207,-9693.56202
20130106:1307,-164805.0216
20130106:1407,-164382.7379
20130106:1507,230110.0859
20130106:1607,249300.7341
20130106:1707,637266.5942
20130106:1807,639113.6534
20130106:1907,1083765.001
20130106:2007,1084952.03
20130106:2107,1144886.123
20130106:2207,1144584.28
20130106:2307,1175176.883
20130107:0007,1181263.608
20130107:0107,1213533.047
20130107:0207,1212998.2
20130107:0307,989246.191
20130107:0407,988411.006
20130107:0507,898868.1383
20130107:0607,898895.6057
20130107:0707,567614.3677
20130107:0807,549217.9865
20130107:0907,592744.3194
20130107:1007,594110.7177
20130107:1107,615589.8399
20130107:1207,614170.2694
20130107:1307,239608.8874
20130107:1407,238891.8326
20130107:1507,497797.8422
20130107:1607,517776.0759
20130107:1707,826596.6919
20130107:1807,827342.6641
20130107:1907,1195134.447
20130107:2007,1196912.786
20130107:2107,1274440.159
20130107:2207,1273252.272
20130107:2307,1067273.721
20130108:0007,1063604.771
20130108:0107,1165650.094
20130108:0207,1165745.135
20130108:0307,1365139.664
20130108:0407,1365917.295
20130108:0507,1205897.994
20130108:0607,1203988.057
20130108:0707,333948.2488
20130108:0807,300138.7067
20130108:0907,165300.3876
20130108:1007,165814.0473
20130108:1107,66993.49337
20130108:1207,65853.56118
20130108:1307,-70295.92686
20130108:1407,-69993.65502
20130108:1507,167027.361
20130108:1607,176310.3275
20130108:1707,426717.4806
20130108:1807,428952.4263
20130108:1907,1109493.089
20130108:2007,1111268.534
20130108:2107,1067661.999
20130108:2207,1066542.762
20130108:2307,1022404.476
20130109:0007,1030193.61
20130109:0107,1145703.96
20130109:0207,1145326.089
20130109:0307,990458.424
20130109:0407,990313.4973
20130109:0507,1147983.383
20130109:0607,1148810.765
20130109:0707,718888.8708
20130109:0807,691335.0109
20130109:0907,730468.5152
20130109:1007,732160.7744
20130109:1107,711850.9739
20130109:1207,709957.7348
20130109:1307,329272.9329
20130109:1407,329006.118
20130109:1507,552363.4573
20130109:1607,563757.0458
20130109:1707,680355.9853
20130109:1807,680470.2983
20130109:1907,879448.1912
20130109:2007,881044.6229
20130109:2107,1321856.95
20130109:2207,1323325.986
20130109:2307,1344855.095
20130110:0007,1336771.071
20130110:0107,1278228.505
20130110:0207,1278656.268
20130110:0307,1419278.505
20130110:0407,1419840.455
20130110:0507,1545635.63
20130110:0607,1545860.833
20130110:0707,910091.5947
20130110:0807,871425.8092
20130110:0907,625599.6153
20130110:1007,626460.6144
20130110:1107,619410.7314
20130110:1207,617978.3224
20130110:1307,218078.7238
20130110:1407,217268.1641
20130110:1507,598356.3626
20130110:1607,626058.586
20130110:1707,1073779
20130110:1807,1075113.181
20130110:1907,1412407.679
20130110:2007,1413500.398
20130110:2107,1375296.592
20130110:2207,1373735.08
20130110:2307,1007341.697
20130111:0007,1002943.089
20130111:0107,1137093.447
20130111:0207,1137920.023
20130111:0307,1227946.586
20130111:0407,1227917.667
20130111:0507,1098107.656
20130111:0607,1096641.922
20130111:0707,810548.1931
20130111:0807,810612.5741
20130111:0907,841825.2719
20130111:1007,840776.3768
20130111:1107,293138.0705
20130111:1207,291023.2409
20130111:1307,177550.931
20130111:1407,178150.6822
20130111:1507,328012.2889
20130111:1607,330758.637
20130111:1707,459075.5662
20130111:1807,460695.9975
