timeStamp,P
0.1,[1241674.874]
0.25,[697032.1816]
0.251,[744389.8244]
0.5,[-93324.78187]
0.501,[-97543.5881]
0.75,[-388546.483]
0.7509999999999999,[-386473.9356]
1.0,[183164.76]
1.01,[189989.139]
1.25,[113019.9738]
1.251,[113346.0015]
1.5,[716340.1521]
1.501,[719435.6715]
1.75,[1048214.552]
1.751,[1048027.012]
2.0,[834440.8376]
2.01,[829089.1215]
2.25,[952329.8766]
2.251,[953234.8902]
2.5,[1035290.563]
2.501,[1034950.691]
2.75,[708187.0681]
2.7510000000000003,[705634.8583]
3.0,[-242697.2612]
3.01,[-275694.7358]
3.25,[-316050.9409]
3.2510000000000003,[-314436.6391]
3.5,[-125037.6336]
3.5010000000000003,[-125534.8651]
3.75,[-300561.0084]
3.7510000000000003,[-300833.262]
4.0,[-224105.0049]
4.01,[-218448.038]
4.25,[144673.1793]
4.251,[148101.3946]
4.5,[972498.9964]
4.501,[976975.009]
4.75,[928014.9622]
4.751,[927443.3775]
5.0,[781049.3436]
5.01,[776352.8537]
5.25,[855781.9563]
5.251,[856937.7311]
5.5,[940402.6623]
5.501,[939530.6822]
5.75,[610430.5411]
5.751,[609363.0099]
6.0,[186116.0159]
6.01,[160315.9059]
6.25,[-256384.4587]
6.251,[-256437.4206]
6.5,[188851.8767]
6.501,[191012.4264]
6.75,[200868.7838]
6.751,[198884.3384]
7.0,[-147517.019]
7.01,[-146363.9061]
7.25,[163262.2457]
7.251,[165321.172]
7.5,[754065.6314]
7.501,[756126.2601]
7.75,[1024540.875]
7.751,[1024606.072]
8.0,[870470.3984]
8.01,[862827.3274]
8.25,[859168.3891]
8.251,[860149.9017]
8.5,[1162254.43]
8.501,[1163057.52]
8.75,[1132192.614]
8.751,[1131208.868]
9.0,[307373.3231]
9.01,[262907.7803]
9.25,[-84713.36774]
9.251,[-83201.32332]
9.5,[327574.9072]
9.501,[327927.1508]
9.75,[158610.7554]
9.751,[158096.8905]
10.0,[144531.4446]
10.01,[145154.9359]
10.25,[179713.2283]
10.251,[180280.0231]
10.5,[572897.4398]
10.501,[574777.4128]
10.75,[844910.5698]
10.751,[845568.5354]
11.0,[972270.6399]
11.01,[971583.0825]
11.25,[778320.8473]
11.251,[777723.1927]
11.5,[951444.4615]
11.501,[952796.808]
11.75,[1197964.302]
11.751,[1198577.753]
12.0,[495737.5764]
12.01,[439036.3961]
12.25,[-399380.2659]
12.251,[-399651.5334]
12.5,[-98960.08334]
12.501,[-97945.24384]
12.75,[-164864.9118]
12.751,[-165917.4125]
13.0,[-308353.3193]
13.01,[-306816.7738]
13.25,[-206089.6251]
13.251,[-205696.7263]
13.5,[9470.08092]
13.501,[10496.8305]
13.75,[143359.7553]
13.751,[144039.4773]
14.0,[681076.2879]
14.01,[710481.0815]
14.25,[1052285.965]
14.251,[1051656.103]
14.5,[496379.4101]
14.501,[494078.2788]
14.75,[341003.7157]
14.751,[341355.7218]
15.0,[-105770.6789]
15.01,[-140310.2735]
15.25,[-452967.2993]
15.251,[-451885.9538]
15.5,[-115449.1589]
15.501,[-114971.1243]
15.75,[-221202.0016]
15.751,[-221796.3533]
16.0,[-223034.2044]
16.01,[-219062.8228]
16.25,[-193209.8302]
16.250999999999998,[-193367.0286]
16.5,[-57705.57474]
16.500999999999998,[-56881.18915]
16.75,[-132225.2819]
16.750999999999998,[-133487.8745]
17.0,[-316893.9337]
17.01,[-315304.0773]
17.25,[-198244.0608]
17.250999999999998,[-197882.3426]
17.5,[-130635.9378]
17.500999999999998,[-130434.047]
17.75,[-163893.0086]
17.750999999999998,[-164329.1012]
18.0,[-269101.8758]
18.01,[-270519.8729]
18.25,[-164067.1234]
18.250999999999998,[-163462.0391]
18.5,[-172484.8452]
18.500999999999998,[-173069.9586]
18.75,[-280017.1143]
18.750999999999998,[-280067.1829]
19.0,[-221171.7368]
19.01,[-217839.3178]
19.25,[158550.1145]
19.250999999999998,[162585.2444]
19.5,[1166561.008]
19.500999999999998,[1167944.847]
19.75,[471793.3073]
19.750999999999998,[466322.7998]
20.0,[-317970.157]
20.01,[-315642.5539]
20.25,[-39263.41532]
20.250999999999998,[-38933.67549]
20.5,[-236396.2152]
20.500999999999998,[-237421.9401]
20.75,[-269819.4245]
20.750999999999998,[-269241.0379]
21.0,[-195765.5796]
21.01,[-197477.1784]
21.25,[-246398.4701]
21.250999999999998,[-246531.9747]
21.5,[-247049.3142]
21.500999999999998,[-246968.3374]
21.75,[-218777.2564]
21.750999999999998,[-218553.9187]
22.0,[-108027.4952]
22.01,[-102525.9824]
22.25,[240501.0818]
22.250999999999998,[243609.7536]
22.5,[1119112.096]
22.500999999999998,[1121259.026]
22.75,[882551.9711]
22.750999999999998,[878973.7057]
23.0,[418979.0739]
23.01,[421895.265]
23.25,[592657.3696]
23.250999999999998,[592757.9128]
23.5,[-99979.67716]
23.500999999999998,[-104102.9619]
23.75,[-341180.063]
23.750999999999998,[-339540.2372]
24.0,[-45754.27099]
24.01,[-47500.35152]
24.25,[-263870.4598]
24.250999999999998,[-264826.3931]
24.5,[-271850.7861]
24.500999999999998,[-271239.103]
24.75,[-191071.7838]
24.750999999999998,[-191081.8513]
25.0,[157295.4114]
25.01,[185207.4638]
25.25,[891636.5293]
25.250999999999998,[894527.9949]
25.5,[1172928.307]
25.500999999999998,[1172099.884]
25.75,[718413.1222]
25.750999999999998,[716273.5286]
26.0,[426553.3536]
26.01,[425235.3431]
26.25,[427142.4591]
26.250999999999998,[427021.635]
26.5,[445801.8078]
26.500999999999998,[446009.1936]
26.75,[365913.9881]
26.750999999999998,[364898.2341]
27.0,[-255785.5645]
27.01,[-284759.6487]
27.25,[-383295.9528]
27.250999999999998,[-381686.0769]
27.5,[11154.32884]
27.500999999999998,[11671.45443]
27.75,[-205691.7668]
27.750999999999998,[-207196.0559]
28.0,[-264705.3343]
28.01,[-253001.6585]
28.25,[439112.3966]
28.250999999999998,[444003.0165]
28.5,[1227350.358]
28.500999999999998,[1227394.741]
28.75,[732274.2447]
28.750999999999998,[730090.4349]
29.0,[514047.5986]
29.01,[512137.4604]
29.25,[339322.8554]
29.250999999999998,[338117.6202]
29.5,[-301218.7237]
29.500999999999998,[-301686.1149]
29.75,[-353060.4175]
29.750999999999998,[-351474.1255]
30.0,[-114693.2535]
30.01,[-117471.7203]
30.25,[-269372.775]
30.250999999999998,[-269832.1249]
30.5,[-164126.0752]
30.500999999999998,[-163308.7079]
30.75,[-45859.29788]
30.750999999999998,[-45221.1563]
31.0,[206220.1025]
31.01,[215112.6]
31.25,[603086.6978]
31.250999999999998,[606943.5371]
31.5,[1880251.326]
31.500999999999998,[1883904.853]
31.75,[1883889.25]
31.750999999999998,[1881014.113]
32.0,[874458.9156]
32.01,[840443.9124]
32.25,[866935.7043]
32.251,[869910.2607]
32.5,[1546619.431]
32.501,[1548262.067]
32.75,[1490270.151]
32.751,[1486530.486]
33.0,[253323.3353]
33.01,[210345.1061]
33.25,[191207.4159]
33.251,[193771.9617]
33.5,[647123.0493]
33.501,[647261.1063]
33.75,[530555.0816]
33.751,[530656.8332]
34.0,[570657.5076]
34.01,[568229.4355]
34.25,[526457.5725]
34.251,[527018.0111]
34.5,[949889.9146]
34.501,[951827.3804]
34.75,[1070129.579]
34.751,[1068997.762]
35.0,[920588.7024]
35.01,[925956.3258]
35.25,[956871.2807]
35.251,[955913.9654]
35.5,[1498818.323]
35.501,[1502838.841]
35.75,[1721679.248]
35.751,[1719969.797]
36.0,[711687.2757]
36.01,[660496.7322]
36.25,[-34245.31906]
36.251,[-34683.81392]
36.5,[203497.7702]
36.501,[204488.1576]
36.75,[170986.5639]
36.751,[170228.561]
37.0,[125373.2551]
37.01,[129765.7009]
37.25,[290828.1035]
37.251,[291843.9365]
37.5,[614820.5738]
37.501,[615742.0091]
37.75,[681026.5946]
37.751,[681492.8662]
38.0,[942691.3576]
38.01,[952592.5525]
38.25,[923743.3996]
38.251,[922819.1409]
38.5,[783299.6196]
38.501,[783390.7037]
38.75,[895727.9129]
38.751,[896013.141]
39.0,[193949.1245]
39.01,[149549.5219]
39.25,[-243820.9823]
39.251,[-243317.7639]
39.5,[-134646.9944]
39.501,[-134967.5499]
39.75,[-281692.4012]
39.751,[-282047.7406]
40.0,[-249816.682]
40.01,[-246369.0913]
40.25,[-155582.8516]
40.251,[-154758.9584]
40.5,[334300.2994]
40.501,[336445.79]
40.75,[597781.0456]
40.751,[598424.3496]
41.0,[783799.2386]
41.01,[789275.2589]
41.25,[742529.4124]
41.251000000000005,[741813.3966]
41.5,[454722.6413]
41.501000000000005,[453682.11]
41.75,[444873.4708]
41.751000000000005,[445367.5203]
42.0,[235793.0185]
42.01,[211753.5007]
42.25,[-204178.2183]
42.251000000000005,[-203990.1622]
42.5,[218447.0929]
42.501000000000005,[220243.1274]
42.75,[289392.5562]
42.751000000000005,[288318.6152]
43.0,[-146610.7269]
43.01,[-161793.6149]
43.25,[-14668.31956]
43.251000000000005,[-11245.42247]
43.5,[1292178.367]
43.501000000000005,[1296591.1]
43.75,[1570159.353]
43.751000000000005,[1568689.674]
44.0,[1311068.387]
44.01,[1315448.344]
44.25,[1570701.628]
44.251000000000005,[1571555.463]
44.5,[1500174.261]
44.501000000000005,[1498866.369]
44.75,[1069774.561]
44.751000000000005,[1067758.742]
45.0,[338261.8021]
45.01,[307974.0986]
45.25,[311562.0875]
45.251000000000005,[314794.8087]
45.5,[963512.4647]
45.501000000000005,[963687.539]
45.75,[403173.9976]
45.751000000000005,[399728.1577]
46.0,[-93291.88902]
46.01,[-93534.32856]
46.25,[270765.1264]
46.251000000000005,[273590.1426]
46.5,[1203432.733]
46.501000000000005,[1206405.803]
46.75,[1391972.035]
46.751000000000005,[1391912.861]
47.0,[1548205.246]
47.01,[1557435.618]
47.25,[1361513.016]
47.251000000000005,[1358641.1]
47.5,[1711955.28]
47.501000000000005,[1716943.513]
47.75,[2120094.642]
47.751000000000005,[2117940.299]
48.0,[1059612.24]
48.01,[1014865.923]
48.25,[712170.1029]
48.251000000000005,[713502.2756]
48.5,[749030.6568]
48.501000000000005,[747268.4899]
48.75,[370879.8366]
48.751000000000005,[370784.5821]
49.0,[519020.4687]
49.01,[521350.1988]
49.25,[421225.9099]
49.251000000000005,[421025.8308]
49.5,[857520.6624]
49.501000000000005,[860192.0389]
49.75,[]
49.751000000000005,[]
50.0,[]
