TimeStamp,P
0,241847.5091
0.25,942381.7773
0.2501,1568572.367
0.5,1795921.35
0.501,1515438.385
0.75,986623.0024
0.7501,317409.6298
1,-696171.8517
1.25,-307158.0306
1.2501,69343.32996
1.5,163950.3633
1.501,-21081.02099
1.75,-211826.4819
1.7501,-337723.0874
2,-282141.442
2.25,-157614.2949
2.2501,-109178.6728
2.5,538545.2233
2.501,864441.0211
2.75,953704.1416
2.7501,829322.5791
3,394709.9604
3.25,355758.5915
3.2501,349632.2875
3.5,848823.0849
3.501,1138187.311
3.75,1128437.913
3.7501,779451.5631
4,-10578.41703
4.25,-116588.5628
4.2501,-156171.588
4.5,-229504.5969
4.501,-179245.8175
4.75,-91407.81851
4.7501,-32156.08595
5,-178306.5429
5.25,-293472.5922
5.2501,-262734.7224
5.5,-114947.8138
5.501,-82284.50057
5.75,-131120.3875
5.7501,-233691.0529
6,-145600.4616
6.25,603585.1953
6.2501,844580.455
6.5,721553.8057
6.501,592857.2495
6.75,513248.7239
6.7501,416853.5598
7,1013273.876
7.25,1063552.031
7.2501,594755.9565
7.5,-400159.8783
7.501,-517240.2112
7.75,-392506.9928
7.7501,-201760.5768
8,-53303.93061
8.25,-241342.3294
8.2501,-315908.0924
8.5,-266986.6079
8.501,-216048.508
8.75,-190594.5573
8.7501,-190967.5831
9,-180758.0218
9.25,-45397.91796
9.2501,-82468.07654
9.5,-258220.8447
9.501,-187420.7723
9.75,44278.6406
9.7501,261828.964
10,98329.90878
10.25,-229855.9768
10.2501,-336422.5519
10.5,-86976.36246
10.501,81020.95303
10.75,113787.47
10.7501,15581.17878
11,-324601.0326
11.25,-312942.9165
11.2501,-185288.9485
11.5,542616.4981
11.501,731663.252
11.75,754721.047
11.7501,765201.0924
12,657027.8612
12.25,137218.183
12.2501,-333080.7737
12.5,-359307.8614
12.501,-77214.8837
12.75,55535.79074
12.7501,10278.54049
13,431667.2194
13.25,611773.6354
13.2501,101765.7027
13.5,-653450.2014
13.501,-523127.403
13.75,-241140.134
13.7501,-49235.24906
14,-173752.9417
14.25,-292169.1472
14.2501,-88748.80339
14.5,666534.3084
14.501,725300.644
14.75,386574.0178
14.7501,-147177.3707
15,-528027.4848
15.25,660708.8721
15.2501,1083079.669
15.5,1116596.333
15.501,893362.3367
15.75,642401.3166
15.7501,405682.2676
16,446890.3708
16.25,284135.1844
16.2501,-148946.6524
16.5,-512559.5473
16.501,-312308.4634
16.75,-92284.68851
16.7501,-27723.76909
17,-140255.3091
17.25,-136546.1384
17.2501,-188570.6763
17.5,-201308.5047
17.501,-179998.4986
17.75,-190910.4855
17.7501,-225702.2794
18,308304.314
18.25,1181107.56
18.2501,875997.8434
18.5,565780.3323
18.501,1049241.69
18.75,1577799.494
18.7501,1846613.092
19,1497537.813
19.25,384964.141
19.2501,-206509.3122
19.5,-480243.7919
19.501,-274923.5696
19.75,-98820.04527
19.7501,-74633.71766
20,-213014.2337
20.25,-155554.6967
20.2501,-93338.53929
20.5,-45291.27459
20.501,-86324.73212
20.75,-177055.8943
20.7501,-250899.171
21,-83757.25444
21.25,152772.769
21.2501,338836.8154
21.5,682099.8767
21.501,702671.4505
21.75,564146.6886
21.7501,253922.7329
22,-85858.90319
22.25,-8950.504082
22.2501,-154271.5241
22.5,-353544.8479
22.501,-304522.0479
22.75,-225948.4443
22.7501,-181614.6031
23,-156151.2359
23.25,139383.4878
23.2501,411604.2501
23.5,1008873.958
23.501,1036896.925
23.75,660537.4837
23.7501,9879.130184
24,-95878.756
24.25,747420.8521
24.2501,760278.1672
24.5,732388.6708
24.501,790243.8443
24.75,648800.4744
24.7501,222096.9549
25,-538164.5152
25.25,-305144.4036
25.2501,-125163.4116
25.5,-148049.0164
25.501,-240481.4541
25.75,-275880.4405
25.7501,-246450.3235
26,335818.1461
26.25,1059112.421
26.2501,866480.8819
26.5,-417092.0059
26.501,-665417.3559
26.75,-538079.3989
26.7501,-255855.968
27,209283.0433
27.25,310718.2015
27.2501,403069.5438
27.5,-78250.14357
27.501,-353303.4397
27.75,-365792.9117
27.7501,-172275.5912
28,138962.4037
28.25,-65368.36778
28.2501,-201150.5821
28.5,-282988.9012
28.501,-249102.8043
28.75,-216680.3223
28.7501,-207795.0545
29,-105591.0216
29.25,265930.2108
29.2501,644140.6525
29.5,1353687.798
29.501,1435476.376
29.75,1353727.915
29.7501,1208041.705
30,1143447.566
30.25,1327684.37
30.2501,1366854.627
30.5,1417776.188
30.501,1404688.374
30.75,886818.9871
30.7501,-67487.26424
31,-846727.0793
31.25,74565.99273
31.2501,342039.0666
31.5,-31128.79016
31.501,-253263.6375
31.75,-299004.7118
31.7501,-210535.129
32,-126697.9765
32.25,-130043.5028
32.2501,183835.9779
32.5,911919.0643
32.501,976255.8431
32.75,939692.8653
32.7501,946108.2628
33,1152890.319
33.25,1225413.676
33.2501,1225144.808
33.5,1458739.19
33.501,1434587.215
33.75,857957.4909
33.7501,-156566.6134
34,-833306.8804
34.25,-24923.25909
34.2501,104761.1396
34.5,-267326.1667
34.501,-401106.4883
34.75,-374826.7963
34.7501,-251259.5647
35,-116898.1291
35.25,-241030.839
35.2501,-268450.3491
35.5,-171812.6787
35.501,-130387.4976
35.75,-113689.3236
35.7501,-104586.4352
36,-212324.2988
36.25,-258858.5078
36.2501,-117898.1838
36.5,918513.2955
36.501,1248619.976
36.75,970898.7408
36.7501,186704.6516
37,-771411.6683
37.25,-112433.5421
37.2501,86681.01098
37.5,-40881.21115
37.501,-132827.8224
37.75,-150217.3579
37.7501,-116004.4088
38,-149239.1849
38.25,-246665.2625
38.2501,-246777.0385
38.5,14041.66871
38.501,7012.546771
38.75,-139656.989
38.7501,-301514.141
39,-313792.75
39.25,-65028.30151
39.2501,50424.38231
39.5,-192582.9807
39.501,-355731.1996
39.75,-389533.6103
39.7501,-314521.6925
40,-136517.3311
40.25,-212983.2257
40.2501,-268807.8452
40.5,-259980.1145
40.501,-233056.7316
40.75,-221167.101
40.7501,-108587.2271
41,-101392.0393
41.25,-328637.5757
41.2501,-260133.0339
41.5,-46910.0931
41.501,-120699.6866
41.75,-97844.71896
41.7501,117960.9301
42,168209.0898
42.25,-300582.9271
42.2501,-412669.3604
42.5,-118079.5978
42.501,-26947.24255
42.75,63194.31545
42.7501,269152.1409
43,193532.3975
43.25,-318002.7052
43.2501,-378353.0144
43.5,27100.19898
43.501,162729.4415
43.75,120960.7557
43.7501,-42882.80996
44,-355104.3256
44.25,-267626.5929
44.2501,-164513.8164
44.5,420457.9903
44.501,588965.2346
44.75,511113.4961
44.7501,296073.7819
45,-34202.73485
45.25,-12959.38263
45.2501,2183.670499
45.5,776156.7326
45.501,1101953.041
45.75,818209.199
45.7501,28189.89794
46,-805857.6044
46.25,-146985.6245
46.2501,112716.5801
46.5,-8113.743728
46.501,-219768.1733
46.75,-365320.1574
46.7501,-380465.6894
47,-64124.66874
47.25,252210.558
47.2501,417476.6801
47.5,730867.4895
47.501,804529.0951
47.75,829298.1011
47.7501,844150.1559
48,962708.8349
48.25,886035.5525
48.2501,835891.6522
48.5,887982.517
48.501,915585.2685
48.75,764027.1524
48.7501,335974.1436
49,-570666.9485
49.25,-323004.436
49.2501,-111313.691
49.5,-39739.37852
49.501,-98840.75495
49.75,-133101.1936
