Solar Sensor;solar_irradiance;Avg,Hygro/Thermo;temperature;Avg,TimeStamp,Top Anemometer;wind_speed;Avg
124.604214,30.34165,0,4.0192
318.43493,31.05069,0.25,4.8098
506.690627,32.22681,0.2501,4.6219
688.19239,33.3499,0.5,5.0942
751.883022,35.16346,0.501,4.8875
764.706667,36.50746,0.75,4.078
777.355159,37.59351,0.7501,3.9716
730.309971,38.42421,1,5.2343
578.144551,38.76232,1.01,4.0092
373.935113,38.80275,1.25,3.5222
156.149342,38.2119,1.2501,3.6264
84.904063,37.77362,1.5,3.5899
0,37.13684,1.501,3.0173
0,27.88785,1.75,7.9337
0.126152,24.22338,1.7501,7.4302
0,26.16596,2,5.7582
0,26.13738,2.01,8.5483
0,28.33785,2.25,5.3218
0,28.83611,2.2501,1.5665
0,27.22733,2.5,3.9644
0,26.5537,2.501,2.3928
0,25.57441,2.75,2.5899
0,25.66913,2.7501,3.2493
,,3,
,,3.01,
