TimeStamp,Solar Sensor;solar_irradiance;Avg,Hygro/Thermo;temperature;Avg,Top Anemometer;wind_speed;Avg
0,78.69,35.1925,3.2975
0.25,115.629832,35.09799,2.8642
0.2501,293.354502,34.97584,2.6652
0.5,525.377584,34.78642,2.2582
0.501,657.334783,33.99033,2.1215
0.75,349.997282,33.52157,2.129
0.7501,847.635296,33.34292,2.4316
1,731.836836,32.56942,3.8298
1.01,626.360267,32.11482,3.0298
1.25,617.17956,31.64995,2.4244
1.2501,435.496122,31.14578,1.9659
1.5,224.198329,30.81709,3.2246
1.501,61.858654,30.39544,2.6852
1.75,0,29.97632,2.6902
1.7501,0,29.62786,2.4747
2,0,29.21635,3.5583
2.01,0,29.59088,3.2477
2.25,0,30.78231,3.9736
2.2501,0,32.19318,4.8293
2.5,0,33.41567,3.4816
2.501,0,34.45623,4.3697
2.75,0,35.49136,3.78
2.7501,0,36.78532,4.443
3,0,37.73553,3.6622
3.01,2.976435,38.18473,4.3973
