Solar Sensor;solar_irradiance;Avg,Hygro/Thermo;temperature;Avg,TimeStamp,Top Anemometer;wind_speed;Avg
0,24.3,0,3
0,24.6,0.25,2.9
0,24.5,0.2501,2.5
0,24.4,0.5,1.9
0,26.6,0.501,0.7
0,27.1,0.75,1.4
0,28.2,0.7501,2
1.2,29.4,1,2.8
1.9,36.7,1.01,1.6
32.6,36.7,1.25,2.1
115.9,36.4,1.2501,1.6
188.1,35.7,1.5,1.7
853.4,34.6,1.501,2.2
222.3,33.7,1.75,6.6
276.7,33.7,1.7501,3.8
323.9,29.5,2,4.2
0,24.3,2.01,2.9
0,24.6,2.25,4
0,24.5,2.2501,2.7
0,24.4,2.5,5
0,26.6,2.501,5.5
0,27.1,2.75,3
0,28.2,2.7501,2
1.2,29.4,3,5.2
,,3.01,
