Year,Month,Day,Hour of day,Minute of the day,TimeStamp,Solar Sensor;solar_irradiance;Avg,Top Anemometer;wind_speed;Avg,Hygro/Thermo;humidity;Avg,Hygro/Thermo;temperature;Avg
2017,8,9,14,0,0,122.006148,3.2975,38.1963,35.1925
2017,8,9,15,0,0.2501,76.682389,2.8642,38.2879,35.09799
2017,8,9,18,0,0.501,46.971263,2.6652,38.1581,34.97584
2017,8,9,19,0,0.7501,29.762088,2.2582,39.0176,34.78642
2017,8,9,20,0,1.501,0,2.1215,41.5936,33.99033
2017,8,9,21,0,2.2501,0,2.129,41.5858,33.52157
2017,8,9,22,0,3.01,0,2.4316,41.3146,33.34292
2017,8,9,23,0,3.7501,0,3.8298,41.1485,32.56942
2017,8,10,0,0,4.501,0,3.0298,43.7912,32.11482
2017,8,10,1,0,5.2501,0,2.4244,46.9745,31.64995
2017,8,10,2,0,6.01,0,1.9659,48.9387,31.14578
2017,8,10,3,0,6.7501,0,3.2246,50.4901,30.81709
2017,8,10,4,0,7.501,0,2.6852,52.41,30.39544
2017,8,10,5,0,8.2501,0,2.6902,55.1211,29.97632
2017,8,10,6,0,9.01,0,2.4747,58.3759,29.62786
2017,8,10,7,0,9.7501,1.60274,3.5583,62.9307,29.21635
2017,8,10,8,0,10.501,115.629832,3.2477,62.4359,29.59088
2017,8,10,9,0,11.2501,293.354502,3.9736,56.845,30.78231
2017,8,10,10,0,12.01,525.377584,4.8293,52.2749,32.19318
2017,8,10,11,0,12.7501,657.334783,3.4816,47.5664,33.41567
2017,8,10,12,0,13.501,349.997282,4.3697,43.2576,34.45623
2017,8,10,13,0,14.2501,847.635296,3.78,40.7398,35.49136
2017,8,10,14,0,15.01,731.836836,4.443,36.1762,36.78532
2017,8,10,15,0,15.7501,626.360267,3.6622,34.4356,37.73553
2017,8,10,16,0,16.501,617.17956,4.3973,32.8096,38.18473
2017,8,10,17,0,17.2501,435.496122,4.3702,31.7844,38.02513
2017,8,10,18,0,18.01,224.198329,2.9894,31.4316,38.27727
2017,8,10,19,0,18.7501,61.858654,2.3315,32.8409,37.29683
2017,8,10,20,0,19.501,0,2.3469,37.4134,35.81443
2017,8,10,21,0,20.2501,0,2.6184,38.9243,35.02651
2017,8,10,22,0,21.01,0,3.1643,40.5702,34.41106
2017,8,10,23,0,21.7501,0,2.898,42.0812,33.91858
2017,8,11,0,0,22.501,0,3.4845,43.9053,33.35548
2017,8,11,1,0,23.2501,0,3.9207,45.0398,32.57792
2017,8,11,2,0,24.01,0,3.1612,49.7405,31.853
2017,8,11,3,0,24.7501,0,3.9408,49.4382,31.86871
2017,8,11,4,0,25.501,0,4.4164,53.5005,31.22954
2017,8,11,5,0,26.2501,0,5.1757,54.4969,30.71488
2017,8,11,6,0,27.01,0,4.3874,55.0702,30.36328
2017,8,11,7,0,27.7501,2.976435,3.0345,57.1505,30.03316
2017,8,11,8,0,28.501,124.604214,4.0192,55.2247,30.34165
2017,8,11,9,0,29.2501,318.43493,4.8098,52.8583,31.05069
2017,8,11,10,0,30.01,506.690627,4.6219,50.7146,32.22681
2017,8,11,11,0,30.7501,688.19239,5.0942,47.2945,33.3499
2017,8,11,12,0,31.501,751.883022,4.8875,41.4249,35.16346
2017,8,11,13,0,32.2501,764.706667,4.078,37.7833,36.50746
2017,8,11,14,0,33.01,777.355159,3.9716,35.95,37.59351
2017,8,11,15,0,33.7501,730.309971,5.2343,34.0589,38.42421
2017,8,11,16,0,34.501,578.144551,4.0092,32.5576,38.76232
2017,8,11,17,0,35.2501,373.935113,3.5222,32.7258,38.80275
2017,8,11,18,0,36.01,156.149342,3.6264,33.7872,38.2119
2017,8,11,19,0,36.7501,84.904063,3.5899,34.6367,37.77362
2017,8,11,20,0,37.501,0,3.0173,35.1156,37.13684
2017,8,11,21,0,38.2501,0,7.9337,66.0381,27.88785
2017,8,11,22,0,39.01,0.126152,7.4302,75.8324,24.22338
2017,8,11,23,0,39.7501,0,5.7582,52.9214,26.16596
2017,8,12,0,0,40.501,0,8.5483,61.5426,26.13738
2017,8,12,1,0,41.2501,0,5.3218,52.6996,28.33785
2017,8,12,2,0,42.01,0,1.5665,49.4312,28.83611
2017,8,12,3,0,42.7501,0,3.9644,59.0549,27.22733
2017,8,12,4,0,43.501,0,2.3928,61.6122,26.5537
2017,8,12,5,0,44.2501,0,2.5899,68.0166,25.57441
2017,8,12,6,0,45.01,0,3.2493,72.5904,25.66913
2017,8,12,7,0,45.7501,1.342915,2.8749,68.7446,25.8749
2017,8,12,8,0,46.501,59.847335,1.9932,68.0688,26.29209
2017,8,12,9,0,47.2501,204.145148,2.3668,71.4705,26.16043
2017,8,12,10,0,48.01,369.01221,2.8589,66.2367,27.94666
2017,8,12,11,0,48.7501,709.629386,3.5084,58.4812,29.29497
2017,8,12,12,0,49.501,828.727529,4.2845,50.0315,30.85654
2017,8,12,13,0,50.2501,780.930571,4.0036,49.1525,32.60355
2017,8,12,14,0,51.01,809.205362,4.3253,47.9767,33.49828
2017,8,12,15,0,51.7501,757.353216,3.8679,48.5784,33.66919
2017,8,12,16,0,52.501,595.650762,4.7589,46.3468,34.03734
2017,8,12,17,0,53.2501,428.27728,4.9992,45.4044,34.269
2017,8,12,18,0,54.01,219.933571,5.3077,41.5851,34.16468
2017,8,12,19,0,54.7501,55.305008,6.0437,45.6023,32.85328
2017,8,12,20,0,55.501,0,4.5173,48.5118,31.93884
2017,8,12,21,0,56.2501,0,3.5636,48.1295,31.63814
2017,8,12,22,0,57.01,0,3.1473,46.315,31.56907
2017,8,12,23,0,57.7501,0,3.8501,46.9222,31.41549
2017,8,13,0,0,58.501,0,3.705,50.8535,30.8794
2017,8,13,1,0,59.2501,0,2.8706,52.7474,30.61206
2017,8,13,2,0,60.01,0,3.2438,59.5316,29.7217
2017,8,13,3,0,60.7501,0,3.2093,62.0996,29.30205
2017,8,13,4,0,61.501,0,3.6864,60.9185,28.88495
2017,8,13,5,0,62.2501,0,3.7349,62.1081,28.49816
2017,8,13,6,0,63.01,0,3.745,62.4063,28.24847
2017,8,13,7,0,63.7501,0.781488,4.1077,71.372,27.14149
2017,8,13,8,0,64.501,67.834251,3.7264,68.8567,26.92582
2017,8,13,9,0,65.2501,186.108851,4.6927,68.2384,27.3587
2017,8,13,10,0,66.01,316.138098,3.6005,65.2199,28.28682
2017,8,13,11,0,66.7501,459.080458,5.0999,59.7632,29.30269
2017,8,13,12,0,67.501,532.735694,4.3087,56.4962,30.71265
2017,8,13,13,0,68.2501,557.554341,5.7414,54.8862,31.08187
2017,8,13,14,0,69.01,565.375403,5.0468,51.5118,31.77108
2017,8,13,15,0,69.7501,470.325566,4.8373,49.4987,32.57868
2017,8,13,16,0,70.501,359.306564,4.6306,46.667,33.08106
2017,8,13,17,0,71.2501,245.797935,5.1174,46.2285,33.17121
