TimeStamp,Solar Sensor;solar_irradiance;Avg,Top Anemometer;wind_speed;Avg,Hygro/Thermo;temperature;Avg
0,104.884107,4.3539,27.49355
0.25,306.23964,5.1211,28.244
0.2501,467.679861,3.5359,29.57578
0.5,350.428143,2.9318,30.10795
0.501,645.487915,3.918,31.17465
0.75,704.645461,3.2546,33.25538
0.7501,770.005003,4.8739,34.46369
1,465.832089,3.9035,34.75865
1.01,257.832482,3.9122,35.9346
1.25,438.448753,3.2929,36.25484
1.2501,194.796299,3.635,35.65177
1.5,15.097616,1.8067,34.55896
1.501,0,1.4307,33.65497
1.75,0,1.3203,33.20039
1.7501,0,1.2771,32.85953
2,0,1.8951,32.1514
2.01,0,1.9368,31.9476
2.25,0,2.1068,31.4398
2.2501,0,2.6012,30.56764
2.5,0,3.6796,30.45107
2.501,0,2.4112,29.75812
2.75,0,2.1241,29.27855
,0,2.14,28.48356
,0.38377,2.1707,27.75294
