TimeStamp,wSpeed100
0,3.95
0.25,8.57
0.2501,8.49
0.5,7.69
0.501,3.73
0.75,4.77
0.7501,7.13
1,10.07
1.01,9.14
1.25,7.26
1.2501,6.01
1.5,4.87
1.501,5.13
1.75,3.43
1.7501,2.22
2,14.4
2.01,11.18
2.25,10.4
2.2501,7.72
2.5,6.17
2.501,5.16
2.75,3.53
2.7501,2.49
3,2.23
3.01,2.79
3.25,3.8
3.2501,3.07
3.5,2.06
3.501,1.75
3.75,1.88
3.7501,2.71
4,3.58
4.01,5.07
4.25,5.13
4.2501,6.9
4.5,6.52
4.501,6.8
4.75,6.38
4.7501,6.72
5,6.55
5.01,6.01
5.25,4.79
5.2501,3.81
5.5,2.47
5.501,1.15
5.75,0.84
5.7501,0.92
6,0.25
6.01,1.3
6.25,9.52
6.2501,4.08
6.5,1.96
6.501,5.96
6.75,9.62
6.7501,8.83
7,6.62
7.01,5.13
7.25,5.66
7.2501,7.11
7.5,6.78
7.501,9.84
7.75,7.87
7.7501,11.78
8,10.17
8.01,9.48
8.25,7.78
8.2501,6.69
8.5,6.6
8.501,7.72
8.75,7.71
8.7501,6.52
9,4.24
9.01,4.65
9.25,4.18
9.2501,3.67
9.5,2.34
9.501,1.83
9.75,3.01
9.7501,4.6
10,6.39
10.01,7.42
10.25,7.73
10.2501,6.43
10.5,6.95
10.501,6.86
10.75,5.84
10.7501,5.67
11,4.94
11.01,4.03
11.25,3.21
11.2501,1.91
11.5,1.46
11.501,1.21
11.75,1.25
11.7501,1.38
12,1.83
12.01,2.55
12.25,3.54
12.2501,4.52
12.5,5.65
12.501,5.22
12.75,2.45
12.7501,1.92
13,2.89
13.01,4.88
13.25,7.77
13.2501,8.15
13.5,7.89
13.501,8.02
13.75,5.72
13.7501,5.07
14,8.51
14.01,8.53
14.25,7.42
14.2501,6.14
14.5,5.36
14.501,4.39
14.75,3.24
14.7501,2.68
15,2.03
15.01,2.59
15.25,3.95
15.2501,3.14
15.5,2.79
15.501,5.28
15.75,6.98
15.7501,7.3
16,6.43
16.01,6.59
16.25,7.34
16.2501,6.78
16.5,6.94
16.501,6.93
16.75,7.04
16.7501,8.47
17,8.8
17.01,8.07
17.25,6.93
17.2501,5.44
17.5,4.06
17.501,2.85
17.75,2.2
17.7501,1.79
18,4.04
18.01,5.81
18.25,6.13
18.2501,9.45
18.5,8.98
18.501,8.74
18.75,7.67
18.7501,6.87
19,5.98
19.01,5.56
19.25,4.87
19.2501,6.18
19.5,3.96
19.501,4.78
19.75,11.1
19.7501,9.91
20,8.23
20.01,7.4
20.25,7.18
20.2501,6.66
20.5,5.32
20.501,4.65
20.75,3.47
20.7501,1.45
21,0.94
21.01,1.64
21.25,3.96
21.2501,5.96
21.5,5.83
21.501,5.19
21.75,5.88
21.7501,5.2
22,2.77
22.01,1.14
22.25,0.96
22.2501,4.94
