time,p:1,q :1,,,
0,-0.339545129,1.2117E-11,,,
0.1,172674.1974,-2773035.063,0,,
0.2,574525.7123,-2098939.181,0.25,,
0.3,830056.8775,-1634564.547,0.2501,,
0.4,800978.9914,-1252417.36,,,
0.5,525852.4396,-922450.493,0.5,,
0.6,181762.3383,-677863.2013,0.501,,
0.7,-43842.64725,-522036.1085,0.75,,
0.8,-73709.87946,-423798.6625,0.7501,,
0.9,36877.15239,-360708.0364,,,
1,163441.3429,-321728.881,1,,
1.1,219739.552,-295074.6841,,,
1.2,197891.6464,-272916.0391,1.25,,
1.3,159120.6923,-255978.4161,1.2501,,
1.4,207011.6438,-248869.2019,,,
1.5,358839.0638,-255555.7568,1.5,,
1.6,530481.6884,-274082.4495,1.501,,
1.7,647468.5136,-294524.4898,1.75,,
1.8,683545.1611,-306050.405,1.7501,,
1.9,654767.9362,-305795.3429,,,
2,634234.6686,-303755.5667,2,0,
2.1,692738.7807,-313800.0151,,,
2.2,862787.7236,-349175.315,2.25,0.25,
2.3,1085152.372,-413375.5701,2.2501,0.2501,
2.4,1166248.805,-459831.3773, , ,
2.5,1018963.616,-440364.7102,2.5,0.5,
2.6,756844.1038,-382704.4953,2.501,0.501,
2.7,514564.4011,-328567.4479,2.75,0.75,
2.8,339173.844,-290147.6131,2.7501,0.7501,
2.9,173647.6601,-261795.3371, , ,
3,71085.58321,-244353.9771,3,0,3
3.1,143212.0983,-239916.5947, ,, 
3.2,554449.7846,-273810.9892,3.25,0.25,3
3.3,1178055.565,-411364.0957,3.2501,0.2501,3
3.4,1459105.832,-548795.6369, , ,3
3.5,1236784.033,-526706.9812,3.5,0.5,3
3.6,767242.2731,-416223.573,3.501,0.501,3
3.7,284053.5898,-322446.6015,3.75,0.75,3
3.8,1014.707632,-276727.5407,3.7501,0.7501,3
3.9,24183.10532,-258319.057, , , 
4,236185.9168,-257198.3129,4,0,4
4.1,442349.0987,-270049.4397, ,,4
4.2,493289.9141,-275087.2078,4.25,0.25,4
4.3,393748.6344,-262317.6424,4.2501,0.2501,4
4.4,286934.2223,-248214.9178, , , 
4.5,253585.8804,-241731.6217,4.5,0.5,4
4.6,264379.1176,-240081.0922,4.501,0.501,4
4.7,310289.4228,-242395.6834,4.75,0.75,4
4.8,374349.9025,-248363.5467,4.7501,0.7501,4
4.9,413809.8866,-253531.6568, , , 
5,410097.0519,-254351.4945,5,0,5
5.1,373947.7967,-250950.3052, ,,5
5.2,402936.243,-253150.8713,5.25,0.25,5
5.3,533714.2677,-269926.3457,5.2501,0.2501,5
5.4,391175.1303,-258451.6777, , ,5
5.5,-75163.98796,-226960.8553,5.5,0.5,5
5.6,-438540.8195,-233566.1757,5.501,0.501,5
5.7,-475801.7129,-244141.6812,5.75,0.75,5
5.8,-275867.5577,-240196.9748,5.7501,0.7501,5
5.9,-73979.38614,-236534.0508, , ,5
6,-4455.250089,-233230.953,6,0,6
6.1,-43003.8653,-228294.9207, ,,6
6.2,-94518.89276,-224960.3611,6.25,0.25,6
6.3,-95953.87032,-223769.3609,6.2501,0.2501,6
6.4,-19309.78785,-224067.8851, , ,6
6.5,106618.0855,-227357.0685,6.5,0.5,6
6.6,211346.6096,-232454.765,6.501,0.501,6
6.7,264104.3517,-235993.8122,6.75,0.75,6
6.8,265129.0981,-236068.5679,6.7501,0.7501,6
6.9,252810.2603,-234758.6436, , ,6
7,265106.647,-235419.0839,7,0,7
7.1,301203.4936,-238498.9714, ,, 
7.2,304899.6129,-239582.5236,7.25,0.25,7
7.3,266172.8767,-236397.407,7.2501,0.2501,7
7.4,275192.1167,-236447.0475, , , 
7.5,375483.2326,-245751.6273,7.5,0.5,7
7.6,523898.9707,-265358.5215,7.501,0.501,7
7.7,684872.9018,-294793.4349,7.75,0.75,7
7.8,804402.2669,-326146.178,7.7501,0.7501,7
