time,p:1,q :1, ,,
0,-0.339545129,1.2117E-11,,,
0.1,207977.0972,-2781014.433,0,,
0.2,760231.9808,-2171696.212,0.25,,
0.3,1210615.27,-1835434.644,0.2501,,
0.4,1370951.563,-1571004.012,,,
0.5,1260393.192,-1280945.634,0.5,,
0.6,990784.6886,-989265.7092,0.501,,
0.7,743388.3127,-757922.9975,0.75,,
0.8,679094.8265,-612371.5064,0.7501,,
0.9,551616.1138,-500249.1029,,,
1,237198.5128,-394478.1779,1,,
1.1,-20152.9001,-327729.8411,,,
1.2,-139033.019,-291231.4401,1.25,,
1.3,-145099.2952,-269152.5431,1.2501,,
1.4,-103843.5953,-254589.7391,,,
1.5,-88452.05168,-244238.3057,1.5,,
1.6,-109894.4785,-236784.9797,1.501,,
1.7,-150723.2761,-232078.0165,1.75,,
1.8,-179279.1517,-229714.3723,1.7501,,
1.9,-169996.4727,-228402.949,,,
2,-133716.1921,-227291.255,2,0,
2.1,-103069.9324,-226153.7953,,,
2.2,-22316.5485,-225697.742,2.25,0.25,
2.3,140210.3838,-230142.0149,2.2501,0.2501,
2.4,398992.2722,-249387.7755, , ,
2.5,686974.1298,-292350.9649,2.5,0.5,
2.6,865196.7856,-337501.146,2.501,0.501,
2.7,1027428.016,-388907.8594,2.75,0.75,
2.8,1215880.878,-461872.2395,2.7501,0.7501,
2.9,1313906.314,-522643.2843, , ,
3,1294412.919,-545239.5633,3,0,3
3.1,1211976.7,-536105.0839, ,, 
3.2,1135138.541,-517030.7398,3.25,0.25,3
3.3,1116320.854,-507933.0511,3.2501,0.2501,3
3.4,1086899.37,-497306.2694, , ,3
3.5,1008632.347,-471637.3896,3.5,0.5,3
3.6,940921.1476,-445567.3792,3.501,0.501,3
3.7,890026.1025,-423438.4392,3.75,0.75,3
3.8,845947.3701,-403594.1678,3.7501,0.7501,3
3.9,693919.1105,-365694.5893, , , 
4,463979.6858,-315898.44,4,0,4
4.1,354172.9308,-286000.9271, ,,4
4.2,428386.1842,-280793.5923,4.25,0.25,4
4.3,603571.2389,-297841.8526,4.2501,0.2501,4
4.4,700258.7492,-315329.7747, , , 
4.5,628806.6133,-307131.8574,4.5,0.5,4
4.6,455219.5514,-281145.3583,4.501,0.501,4
4.7,297331.4253,-258041.8998,4.75,0.75,4
4.8,254172.6389,-247545.1961,4.7501,0.7501,4
4.9,367412.4494,-253060.9334, , , 
5,547237.3154,-274242.8464,5,0,5
5.1,655436.3421,-295070.7618, ,,5
5.2,680195.032,-304998.6081,5.25,0.25,5
5.3,685884.778,-310337.9671,5.2501,0.2501,5
5.4,725665.6411,-320396.3892, , ,5
5.5,795391.532,-337785.3987,5.5,0.5,5
5.6,853428.4884,-355919.6725,5.501,0.501,5
5.7,853747.7387,-363392.7474,5.75,0.75,5
5.8,790186.3634,-354808.0416,5.7501,0.7501,5
5.9,721458.2316,-340982.6404, , ,5
6,703237.605,-334112.3107,6,0,6
6.1,741010.0585,-338160.979, ,,6
6.2,776641.5236,-345285.0157,6.25,0.25,6
6.3,765610.7238,-344830.0779,6.2501,0.2501,6
6.4,700822.4753,-333299.3828, , ,6
6.5,614340.9994,-315720.349,6.5,0.5,6
6.6,558688.1578,-301879.8961,6.501,0.501,6
