time,p:1,timeStamp
0,-0.339545129,0.1
0.001,-1565916.29,0.25
0.002,-2895182.75,0.251
0.003,-3818238.417,0.5
0.004,-4223180.973,0.501
0.005,-4069122.915,0.75
0.006,-3389860.887,0.751
0.007,-2287609.477,1
0.008,-917866.4294,1.01
0.009,532380.3423,1.25
0.01,1870069.312,1.251
0.011,2921666.65,1.5
0.012,3555572.421,1.501
0.013,3698454.988,1.75
0.014,3343507.145,1.751
0.015,2549731.246,2
0.016,1432564.979,2.01
0.017,147293.6157,2.25
0.018,-1132389.418,2.251
0.019,-2237729.365,2.5
0.02,-3027039.97,2.501
0.021,-3403728.112,2.75
0.022,-3327936.3,2.751
0.023,-2820422.719,3
0.024,-1958355.38,3.01
0.025,-863770.8376,3.25
0.026,313603.1443,3.251
0.027,1416759.671,3.5
0.028,2302289.95,3.501
0.029,2858961.813,3.75
0.03,3021605.705,3.751
0.031,2778590.965,4
0.032,2172061.982,4.01
0.033,1291078.484,4.25
0.034,258736.3622,4.251
0.035,-784887.0143,4.5
0.036,-1701613.169,4.501
0.037,-2373335.009,4.75
0.038,-2717102.607,4.751
0.039,-2695208.086,5
0.04,-2319061.125,5.01
0.041,-1646494.594,5.25
0.042,-773014.6902,5.251
0.043,181704.0749,5.5
0.044,1090183.303,5.501
0.045,1834137.669,5.75
0.046,2319848.075,5.751
0.047,2489923.38,6
0.048,2329987.367,6.01
0.049,1869532.179,6.25
0.05,1176967,6.251
0.051,349655.4516,6.5
0.052,-499623.3107,6.501
0.053,-1257918.027,6.75
0.054,-1827002.145,6.751
0.055,-2135968.283,7
0.056,-2149915.583,7.01
0.057,-1873679.187,7.25
0.058,-1350230.239,7.251
0.059,-654086.4249,7.5
0.06,119277.3004,7.501
0.061,866524.7638,7.75
0.062,1490274.002,7.751
0.063,1911793.057,8
0.064,2080929.285,8.01
0.065,1982029.923,8.25
0.066,1635170.349,8.251
0.067,1092641.706,8.5
0.068,431275.8332,8.501
0.069,-258279.6668,8.75
0.07,-883848.2332,8.751
0.071,-1363915.131,9
0.072,-1638117.176,9.01
0.073,-1674689.525,9.25
0.074,-1473961.388,9.251
0.075,-1067535.427,9.5
0.076,-513363.5714,9.501
0.077,112532.1584,9.75
0.078,726520.9731,9.751
0.079,1248574.608,10
0.08,1612732.18,10.01
0.081,1775456.824,10.25
0.082,1720833.261,10.251
0.083,1461997.439,10.5
