time,p:1,q :1,timeStamp
0,-0.339545129,1.16E-11,0
0.001,-1565916.29,-207280.2335,0.25
0.002,-2895182.75,-796175.472,0.251
0.003,-3818238.417,-1681221.977,0.5
0.004,-4223180.973,-2739594.187,0.501
0.005,-4069122.915,-3828134.233,0.75
0.006,-3389860.887,-4802706.99,0.751
0.007,-2287609.477,-5537272.502,1
0.008,-917866.4294,-5940160.38,1.01
0.009,532380.3423,-5965454.125,1.25
0.01,1870069.312,-5618084.41,1.251
0.011,2921666.65,-4952091.983,1.5
0.012,3555572.421,-4062435.489,1.501
0.013,3698454.988,-3071565.088,1.75
0.014,3343507.145,-2112648.855,1.751
0.015,2549731.246,-1311741.249,2
0.016,1432564.979,-771273.9544,2.01
0.017,147293.6157,-557023.5906,2.25
0.018,-1132389.418,-690204.8701,2.251
0.019,-2237729.365,-1145624.747,2.5
0.02,-3027039.97,-1856011.559,2.501
0.021,-3403728.112,-2721814.219,2.75
0.022,-3327936.3,-3625058.345,2.751
0.023,-2820422.719,-4445340.055,3
0.024,-1958355.38,-5075796.686,3.01
0.025,-863770.8376,-5436943.076,3.25
0.026,313603.1443,-5486589.683,3.251
0.027,1416759.671,-5224615.285,3.5
0.028,2302289.95,-4692074.009,3.501
0.029,2858961.813,-3964877.009,3.75
0.03,3021605.705,-3143001.588,3.751
0.031,2778590.965,-2336751.625,4
0.032,2172061.982,-1651950.198,4.01
0.033,1291078.484,-1176045.816,4.25
0.034,258736.3622,-966949.8256,4.251
0.035,-784887.0143,-1046021.894,4.5
0.036,-1701613.169,-1396041.126,4.501
0.037,-2373335.009,-1964322.887,4.75
0.038,-2717102.607,-2670457.43,4.751
0.039,-2695208.086,-3417546.635,5
0.04,-2319061.125,-4105376.828,5.01
0.041,-1646494.594,-4643743.453,5.25
0.042,-773014.6902,-4964161.856,5.251
0.043,181704.0749,-5028450.218,5.5
0.044,1090183.303,-4833117.301,5.501
0.045,1834137.669,-4409065.953,5.75
0.046,2319848.075,-3816753.809,5.751
0.047,2489923.38,-3137550.687,6
0.048,2329987.367,-2462519.275,6.01
0.049,1869532.179,-1880159.759,6.25
0.05,1176967,-1464762.278,6.251
0.051,349655.4516,-1266894.525,6.5
0.052,-499623.3107,-1307235.797,6.501
0.053,-1257918.027,-1574499.532,6.75
0.054,-1827002.145,-2027629.367,6.751
0.055,-2135968.283,-2601884.482,7
0.056,-2149915.583,-3217924.023,7.01
0.057,-1873679.187,-3792623.157,7.25
0.058,-1350230.239,-425151.904,7.251
0.059,-654086.4249,-4531845.195,7.5
0.06,119277.3004,-4603584.711,7.501
0.061,866524.7638,-4459770.372,7.75
0.062,1490274.002,-4123431.011,7.751
0.063,1911793.057,-3642544.762,8
0.064,2080929.285,-3083139.884,8.01
0.065,1982029.923,-2520160.312,8.25
0.066,1635170.349,-2027354.19,8.251
0.067,1092641.706,-1667544.965,8.5
0.068,431275.8332,-1484563.699,8.501
0.069,-258279.6668,-1497873.026,8.75
0.07,-883848.2332,-1700534.178,8.751
0.071,-1363915.131,-2060711.854,9
0.072,-1638117.176,-2526439.437,9.01
0.073,-1674689.525,-3032941.894,9.25
0.074,-1473961.388,-3511490.829,9.251
0.075,-1067535.427,-3898586.009,9.5
0.076,-513363.5714,-4144241.01,9.501
0.077,112532.1584,-4218296.186,9.75
0.078,726520.9731,-4113967.137,9.751
0.079,1248574.608,-3848220.457,10
0.08,1612732.18,-3458997.768,10.01
0.081,1775456.824,-2999725.972,10.25
0.082,1720833.261,-2531901.133,10.251
0.083,1461997.439,-2116770.769,10.5
0.084,1038700.956,-1807235.589,10.501
0.085,511425.0301,-1641037.383,10.75
0.086,-47096.33316,-1636105.588,10.751
0.087,-561763.4781,-1788629.801,11
0.088,-965070.7278,-2074052.187,11.01
0.089,-1205823.523,-2450783.076,11.25
0.09,-1255493.785,-2866087.176,11.251
0.091,-1111432.717,-3263312.855,11.5
0.092,-796593.5283,-3589477.604,11.501
0.093,-355885.1212,-3802197.585,11.75
0.094,150280.9227,-3875058.518,11.751
0.095,654331.2779,-3800751.761,12
0.096,1090614.238,-3591610.59,12.01
0.097,1404009.835,-3277534.259,12.25
0.098,1556942.847,-2901633.735,12.251
0.099,1533912.613,-2514227.163,12.5
0.1,1343002.456,-2166017.38,12.501
0.101,1014243.316,-1901373.201,12.75
0.102,595122.0331,-1752601.188,12.751
0.103,143896.6312,-1735943.597,13
0.104,-278345.815,-1849793.172,13.01
0.105,-615812.5725,-2075310.654,13.25
0.106,-825233.861,-2379309.035,13.251
0.107,-881265.2142,-2718971.607,13.5
0.108,-779395.4769,-3047737.87,13.501
0.109,-536037.3838,-3321551.711,13.75
