time,p:1,q :1,timeStamp
0,-0.339545129,1.21E-11,0.1
0.001,-1565916.292,-207280.2132,0.25
0.002,-2895182.819,-796175.1666,0.251
0.003,-3818238.919,-1681220.569,0.5
0.004,-4223182.993,-2739590.277,0.501
0.005,-4069128.733,-3828126.169,0.75
0.006,-3389874.405,-4802693.459,0.751
0.007,-2287636.461,-5537253.182,1
0.008,-917914.4968,-5940136.381,1.01
0.009,532302.0221,-5965427.962,1.25
0.01,1869950.58,-5618059.376,1.251
0.011,2921497.085,-4952070.923,1.5
0.012,3555342.104,-4062419.21,1.501
0.013,3698155.141,-3071550.774,1.75
0.014,3343130.51,-2112628.95,1.751
0.015,2549272.092,-1311703.282,2
0.016,1432018.693,-771201.6078,2.01
0.017,146655.9106,-556899.0764,2.25
0.018,-1133123.575,-690012.3892,2.251
0.019,-2238566.933,-1145354.471,2.5
0.02,-3027990.918,-1855663.345,2.501
0.021,-3404806.205,-2721400.169,2.75
0.022,-3329159.419,-3624603.37,2.751
0.023,-2821812.6,-4444879.896,3
0.024,-1959936.783,-5075373.249,3.01
0.025,-865570.2094,-5436597.475,3.25
0.026,311559.3073,-5486353.906,3.251
0.027,1414446.53,-5224503.852,3.5
0.028,2299685.81,-4692077.199,3.501
0.029,2856049.129,-3964957.198,3.75
0.03,3018371.403,-3143093.93,3.751
0.031,2775025.971,-2336769.645,4
0.032,2168159.977,-1651796.105,4.01
0.033,1286834.028,-1175624.442,4.25
0.034,254142.6475,-966184.3091,4.251
0.035,-789840.4525,-1044868.656,4.5
0.036,-1706942.412,-1394501.493,4.501
0.037,-2379063.052,-1962448.922,4.75
0.038,-2723259.742,-2668350.231,4.751
0.039,-2701831.234,-3415346.388,5
0.04,-2326192.168,-4103245.225,5.01
0.041,-1654177.884,-4641840.389,5.25
0.042,-781294.0771,-4962619.536,5.251
0.043,172788.2686,-5027348.527,5.5
0.044,1080596.892,-4832464.539,5.501
0.045,1823854.376,-4408788.584,5.75
0.046,2308850.142,-3816697.785,5.751
0.047,2478200.853,-3137495.342,6
0.048,2317536.095,-2462202.844,6.01
0.049,1856350.754,-1879313.707,6.25
0.05,1163053.045,-1463149.952,6.251
0.051,335001.7826,-1264348.597,6.5
0.052,-515032.0837,-1303688.66,6.501
0.053,-1274107.914,-1570001.398,6.75
0.054,-1844010.797,-2022350.258,6.751
0.055,-2153844.394,-2596098.446,7
0.056,-2168716.664,-3211976.495,7.01
0.057,-1893467.98,-3786884.998,7.25
0.058,-1371070.208,-4244965.982,7.251
0.059,-676036.9683,-4527472.926,7.5
0.06,96165.23195,-4600160.549,7.501
0.061,842211.9788,-4457271.608,7.75
0.062,1464734.77,-4121668.449,7.751
0.063,1885014.885,-3641177.09,8
0.064,2052910.708,-3081711.197,8.01
0.065,1952776.565,-2518156.783,8.25
0.066,1604689.742,-2024272.786,8.251
0.067,1060937.576,-1662964.914,8.5
0.068,398342.6592,-1478210.468,8.501
0.069,-292461.0221,-1489665.05,8.75
0.07,-919313.1441,-1690604.552,8.751
0.071,-1400715.635,-2049400.381,9
0.072,-1676320.055,-2514254.496,9.01
0.073,-1714372.224,-3020495.937,9.25
0.074,-1515206.281,-3499417.368,9.251
0.075,-1110423.184,-3887449.07,9.5
0.076,-557966.5488,-4134449.732,9.501
0.077,66155.55276,-4210037.121,9.75
0.078,678330.1002,-4107164.9,9.751
0.079,1198547.999,-3842533.742,10
0.08,1560866.237,-3453852.991,10.01
0.081,1721761.927,-2994385.432,10.25
0.082,1665327.748,-2525557.509,10.251
0.083,1404700.261,-2108655.63,10.5
0.084,979624.0038,-1796727.085,10.501
0.085,450566.2033,-1627751.807,10.75
0.086,-109758.2967,-1619959.157,10.751
0.087,-626271.6466,-1769860.704,11
0.088,-1031489.639,-2053198.17,11.01
0.089,-1274235.831,-2428615.955,11.25
0.09,-1325994.27,-2843511.816,11.251
0.091,-1184120.44,-3241243.516,11.5
0.092,-871563.1677,-3568708.268,11.501
0.093,-433218.707,-3783284.342,11.75
0.094,70520.71708,-3858231.088,11.751
0.095,572105.2951,-3785867.666,12
0.096,1005907.805,-3578159.901,12.01
0.097,1316830.329,-3264695.927,12.25
0.098,1467314.126,-2888377.243,12.251
0.099,1441867.029,-2499446.627,12.5
0.1,1248571.501,-2148680.289,12.501
0.101,917449.1751,-1880663.47,12.75
0.102,495969.3646,-1728036.314,12.751
0.103,42365.77047,-1707448.766,13
0.104,-382301.4172,-1817720.782,13.01
0.105,-722265.2155,-2040400.938,13.25
0.106,-934276.8491,-2342595.622,13.251
0.107,-993005.0892,-2681643.651,13.5
0.108,-893942.2474,-3010976.805,13.501
0.109,-653494.0739,-3286364.717,13.75
0.11,-306309.9283,-3471709.734,13.751
0.111,99727.89776,-3543635.511,14
0.112,510138.3301,-3494289.713,14.01
0.113,871185.0594,-3332030.484,14.25
0.114,1136944.005,-3079953.85,14.251
0.115,1275169.476,-2772505.836,14.5
0.116,1271214.603,-2450670.899,14.501
0.117,1129536.235,-2156405.368,14.75
0.118,872644.3596,-1927069.074,14.751
0.119,537696.5095,-1790591.355,15
0.12,171243.2738,-1761993.648,15.01
0.121,-177137.4227,-1841697.402,15.25
0.122,-461450.9666,-2015800.339,15.251
0.123,-645264.0297,-2258239.816,15.5
0.124,-706276.9675,-2534514.536,15.501
0.125,-638921.8052,-2806437.304,15.75
0.126,-454691.0906,-3037267.124,15.751
0.127,-180209.2264,-3196533.479,16
0.128,146644.7272,-3263921.831,16.01
0.129,482004.3507,-3231727.835,16.25
0.13,781945.0602,-3105588.274,16.251
0.131,1008277.349,-2903431.351,16.5
0.132,1133443.471,-2652825.873,16.501
0.133,1143893.585,-2387116.516,16.75
0.134,1041533.024,-2140884.018,16.751
0.135,843096.5499,-1945345.952,17
0.136,577582.3524,-1824307.417,17.01
0.137,282131.1579,-1791184.215,17.25
0.138,-3068.488695,-1847467.353,17.251
0.139,-240153.3716,-1982798.797,17.5
0.14,-398521.9358,-2176611.622,17.501
0.141,-458693.4915,-2401082.051,17.75
0.142,-414607.5254,-2624973.286,17.751
0.143,-274097.7339,-2817842.647,18
0.144,-57522.49336,-2954047.532,18.01
0.145,205222.9905,-3016025.134,18.25
0.146,478879.681,-2996428.83,18.251
0.147,727603.9011,-2898864.925,18.5
0.148,919707.8458,-2737164.46,18.501
0.149,1031737.258,-2533320.051,18.75
0.15,1051364.625,-2314391.3,18.751
0.151,978745.0855,-2108811.699,19
0.152,826193.4821,-1942599.008,19.01
0.153,616265.8348,-1835972.226,19.25
0.154,378536.8722,-1800812.854,19.251
0.155,145530.1482,-1839286.474,19.5
0.156,-51642.05564,-1943780.068,19.501
0.157,-187347.0822,-2098133.1,19.75
0.158,-244679.1209,-2279969.959,19.751
0.159,-217477.0202,-2463800.224,20
0.16,-110876.4123,-2624459.368,20.01
0.161,59641.14297,-2740427.266,20.25
0.162,270540.2041,-2796588.62,20.251
0.163,493529.9661,-2786083.155,20.5
0.164,699409.9243,-2711021.955,20.501
0.165,861942.3317,-2582001.367,20.75
0.166,961240.164,-2416506.553,20.751
0.167,986235.5764,-2236441.442,21
0.168,935925.622,-2065131.84,21.01
0.169,819260.589,-1924210.002,21.25
0.17,653722.5696,-1830795.151,21.251
0.171,462813.4368,-1795335.628,21.5
0.172,272809.9049,-1820382.463,21.501
0.173,109231.3252,-1900434.851,21.75
0.174,-6507.054413,-2022853.174,21.751
0.175,-59818.55221,-2169694.266,22
0.176,-44703.06757,-2320205.14,22.01
0.177,35669.74835,-2453630.441,22.25
0.178,169600.5976,-2551955.325,22.251
0.179,338609.8741,-2602222.724,22.5
0.18,520038.6932,-2598128.517,22.501
0.181,690138.0008,-2540700.46,22.75
0.182,827226.5965,-2437992.356,22.751
0.183,914499.9683,-2303856.783,23
0.184,942128.0106,-2155979.995,23.01
0.185,908382.2322,-2013455.92,23.25
0.186,819667.3303,-1894230.547,23.251
0.187,689479.5133,-1812757.426,23.5
0.188,536454.9457,-1778169.111,23.501
0.189,381787.706,-1793194.1,23.75
0.19,246373.0226,-1853945.035,23.751
0.191,148059.1484,-1950585.895,24
0.192,99367.62005,-2068769.648,24.01
0.193,105971.1635,-2191638.572,24.25
0.194,166111.5931,-2302109.888,24.251
0.195,271011.6848,-2385138.092,24.5
0.196,406202.628,-2429655.53,24.501
0.197,553569.8325,-2429942.253,24.75
0.198,693829.9162,-2386257.347,24.751
0.199,809101.8006,-2304665.507,25
0.2,885230.5927,-2196100.545,25.01
0.201,913566.5289,-2074807.823,25.25
0.202,891969.7977,-1956384.572,25.251
0.203,824932.4807,-1855687.589,25.5
0.204,722828.1046,-1784888.334,25.501
0.205,600401.1633,-1751927.62,25.75
0.206,474716.8661,-1759565.206,25.751
0.207,362854.5546,-1805135.936,26
0.208,279655.1574,-1881028.191,26.01
0.209,235818.4063,-1975804.616,26.25
0.21,236592.2445,-2075802.147,26.251
0.211,281212.8957,-2166988.809,26.5
0.212,363151.2373,-2236826,26.501
0.213,471113.4516,-2275890.085,26.75
0.214,590645.7287,-2279044.631,26.751
0.215,706116.7792,-2246018.875,27
0.216,802807.5773,-2181329.857,27.01
0.217,868830.1678,-2093573.842,27.25
0.218,896626.6509,-1994195.44,27.251
0.219,883860.8492,-1895909.253,27.5
0.22,833599.7907,-1810990.721,27.501
0.221,753778.2898,-1749664.979,27.75
0.222,656034.6028,-1718804.238,27.751
0.223,554085.944,-1721098.489,28
0.224,461869.2307,-1754797.973,28.01
0.225,391697.9205,-1814048.064,28.25
0.226,352677.6026,-1889758.482,28.251
0.227,349582.9989,-1970879.556,28.5
0.228,382333.2777,-2045907.475,28.501
0.229,446120.3656,-2104414.337,28.75
0.23,532157.5147,-2138400.305,28.751
0.231,628934.3815,-2143293.406,29
0.232,723800.8436,-2118473.122,29.01
0.233,804662.7316,-2067259.784,29.25
0.234,861563.1551,-1996383.669,29.251
0.235,887943.6655,-1915016.174,29.5
0.236,881426.7085,-1833501.307,29.501
0.237,844027.7857,-1761962.101,29.75
0.238,781783.1707,-1708968.914,29.751
0.239,703856.438,-1680444.043,30
0.24,621254.2593,-1678941.725,30.01
0.241,545330.2838,-1703389.794,30.25
0.242,486279.5303,-1749316.271,30.251
0.243,451822.0592,-1809519.599,30.5
0.244,446244.9181,-1875083.621,30.501
0.245,469920.0096,-1936595.203,30.75
0.246,519349.9256,-1985398.936,30.751
0.247,587722.9047,-2014722.347,31
0.248,665891.3951,-2020526.048,31.01
0.249,743634.9155,-2001972.982,31.25
0.25,811033.793,-1961463.736,31.251
0.251,859769.9382,-1904243.474,31.5
0.252,884184.8941,-1837642.462,31.501
0.253,881961.5169,-1770059.137,31.75
0.254,854348.5187,-1709826.053,31.751
0.255,805909.3428,-1664111.213,32
0.256,743840.0174,-1637999.018,32.01
0.257,676956.3906,-1633867.926,32.25
0.258,614492.3148,-1651140.015,32.251
0.259,564871.8442,-1686426.754,32.5
0.26,534617.9836,-1734042.425,32.501
0.261,527538.5789,-1786808.774,32.75
0.262,544289.9854,-1837037.822,32.751
0.263,582366.8932,-1877558.869,33
0.264,636509.3226,-1902653.063,33.01
0.265,699463.0072,-1908774.291,33.25
0.266,762984.3293,-1894966.229,33.251
0.267,818951.359,-1862927.635,33.5
0.268,860431.9164,-1816725.556,33.501
0.269,882568.8502,-1762202.605,33.75
0.27,883170.2247,-1706163.811,33.751
0.271,862933.7388,-1655455.577,34
0.272,825284.6506,-1616060.898,34.01
0.273,775857.9503,-1592329.885,34.25
0.274,721701.6924,-1586443.98,34.251
0.275,670313.3038,-1598179.06,34.5
0.276,628639.9979,-1624991.666,34.501
0.277,602175.9803,-1662409.348,34.75
0.278,594273.1489,-1704666.457,34.751
0.279,605751.0077,-1745495.662,35
0.28,634849.9827,-1778967.053,35.01
0.281,677525.9683,-1800262.937,35.25
0.282,728038.9927,-1806287.553,35.251
0.283,779751.2434,-1796035.109,35.5
0.284,826024.1446,-1770673.256,35.501
0.285,861093.7872,-1733337.686,35.75
0.286,880809.7923,-1688671.813,35.751
0.287,883143.4868,-1642178.302,36
0.288,868403.9684,-1599472.51,36.01
0.289,839140.6521,-1565538.68,36.25
0.29,799752.7487,-1544087.002,36.251
0.291,755864.2809,-1537093.995,36.5
0.292,713552.7392,-1544582.549,36.501
0.293,678536.6418,-1564664.98,36.75
0.294,655430.1329,-1593837.219,36.751
0.295,647161.287,-1627479.376,37
0.296,654626.86,-1660491.762,37.01
0.297,676623.2791,-1687979.218,37.25
0.298,710056.2748,-1705892.31,37.251
0.299,750394.7561,-1711541.768,37.5
0.3,792303.153,-1703921.268,37.501
0.301,830378.0226,-1683803.158,37.75
0.302,859850.6167,-1653591.337,37.751
0.303,877188.3025,-1616963.735,38
0.304,880543.5762,-1578359.976,38.01
0.305,869956.8193,-1542377.521,38.25
0.306,847305.185,-1513161.228,38.251
0.307,816010.5087,-1493867.064,38.5
0.308,780550.6064,-1486268.967,38.501
0.309,745843.1712,-1490557.366,38.75
0.31,716586.6044,-1505351.409,38.751
0.311,696645.7478,-1527918.266,39
0.312,688562.4335,-1554565.651,39.01
0.313,693252.365,-1581151.703,39.25
0.314,709923.7857,-1603642.17,39.251
0.315,736223.2807,-1618640.227,39.5
0.316,768583.9776,-1623819.681,39.501
0.317,802725.3235,-1618206.64,39.75
0.318,834234.8555,-1602276.081,39.751
0.319,859153.26,-1577854.921,40
0.32,874485.489,-1547848.971,40.01
0.321,878572.3252,-1515833.978,40.25
0.322,871276.7804,-1485567.928,40.251
0.323,853965.2378,-1460490.842,40.5
0.324,829290.802,-1443278.356,40.501
0.325,800812.2222,-1435506.734,40.75
0.326,772502.6296,-1437470.858,40.751
0.327,748215.5426,-1448175.611,41
0.328,731179.5961,-1465497.681,41.01
0.329,723587.9259,-1486492.408,41.25
0.33,726334.0619,-1507801.756,41.251
0.331,738925.6048,-1526107.192,41.5
0.332,759582.7587,-1538566.633,41.501
0.333,785504.2433,-1543178.196,41.75
0.334,813261.4615,-1539024.463,41.751
0.335,839265.8339,-1526367.865,42
0.336,860245.8973,-1506588.114,42.01
0.337,873671.0163,-1481973.685,42.25
0.338,878067.127,-1455398.327,42.251
0.339,873185.4926,-1429928.005,42.5
0.34,860005.7822,-1408411.795,42.501
0.341,840577.0842,-1393111.09,42.75
0.342,817721.75,-1385415.131,42.751
0.343,794644.4492,-1385678.363,43
0.344,774500.2889,-1393198.162,43.01
0.345,759979.9429,-1406332.582,43.25
0.346,752966.0866,-1422739.233,43.251
0.347,754304.7152,-1439700.938,43.5
0.348,763718.715,-1454493.116,43.501
0.349,779871.6364,-1464743.444,43.75
0.35,800569.6152,-1468736.517,43.751
0.351,823071.4657,-1465624.608,44
0.352,844463.4299,-1455518.945,44.01
0.353,862047.5966,-1439452.29,44.25
0.354,873692.4369,-1419220.815,44.251
0.355,878100.15,-1397129.001,44.5
0.356,874957.5807,-1375673.521,44.501
0.357,864953.6303,-1357209.275,44.75
0.358,849664.1036,-1343642.04,44.751
0.359,831322.39,-1336187.685,45
0.36,812508.9913,-1335228.115,45.01
0.361,795802.8035,-1340280.658,45.25
0.362,783441.0687,-1350082.253,45.251
0.363,777032.6276,-1362774.596,45.5
0.364,777360.9944,-1376163.429,45.501
0.365,784301.0447,-1388016.003,45.75
0.366,796857.5471,-1396356.557,45.751
0.367,813317.5023,-1399720.885,46
0.368,831493.4414,-1397337.367,46.01
0.369,849023.393,-1389212.318,46.25
0.37,863686.5872,-1376110.679,46.251
0.371,873692.8835,-1359437.078,46.5
0.372,877908.3915,-1341035.314,46.501
0.373,875989.0789,-1322934.673,46.75
0.374,868406.9799,-1307077.79,46.751
