time,p:1,q :1,,,
0,-0.339545129,1.21E-11,,,
0.1,241847.5091,-2789566.724,0,,
0.2,942381.7773,-2264214.211,0.25,,
0.3,1568572.367,-2133211.815,0.2501,,
0.4,1842088.63,-2091930.813,,,
0.5,1795921.35,-1909692.176,0.5,,
0.6,1515438.385,-1563873.683,0.501,,
0.7,986623.0024,-1139959.747,0.75,,
0.8,317409.6298,-788074.4991,0.7501,,
0.9,-312102.4342,-590929.819,,,
1,-696171.8517,-510555.5927,1,,
1.1,-659017.8693,-446403.8142,,,
1.2,-307158.0306,-374315.6242,1.25,,
1.3,69343.32996,-330841.6178,1.2501,,
1.4,235321.0241,-306386.3255,,,
1.5,163950.3633,-278147.7132,1.5,,
1.6,-21081.02099,-253184.5497,1.501,,
1.7,-211826.4819,-241616.0194,1.75,,
1.8,-337723.0874,-241034.263,1.7501,,
1.9,-350393.0823,-241977.8165,,,
2,-282141.442,-239932.2041,2,0,
2.1,-206743.2951,-236698.3661,,,
2.2,-157614.2949,-233451.0851,2.25,0.25,
2.3,-109178.6728,-230558.6432,2.2501,0.2501,
2.4,125969.483,-233602.5568, , ,
2.5,538545.2233,-269969.2885,2.5,0.5,
2.6,864441.0211,-333118.7563,2.501,0.501,
2.7,953704.1416,-371209.6021,2.75,0.75,
2.8,829322.5791,-358965.5218,2.7501,0.7501,
2.9,596340.1184,-318941.01, , ,
3,394709.9604,-283331.0512,3,0,3
3.1,335930.2735,-266609.3921, ,, 
3.2,355758.5915,-261422.0517,3.25,0.25,3
3.3,349632.2875,-256472.0676,3.2501,0.2501,3
3.4,502240.7571,-269404.6714, , ,3
3.5,848823.0849,-329880.7402,3.5,0.5,3
3.6,1138187.311,-417380.6084,3.501,0.501,3
3.7,1128437.913,-446781.942,3.75,0.75,3
3.8,779451.5631,-380856.6608,3.7501,0.7501,3
3.9,312768.1142,-300487.1579, , , 
4,-10578.41703,-260279.3312,4,0,4
4.1,-109602.7155,-245215.3916, ,,4
4.2,-116588.5628,-237787.1298,4.25,0.25,4
4.3,-156171.588,-232977.1892,4.2501,0.2501,4
4.4,-212987.9089,-230881.9341, , , 
4.5,-229504.5969,-230409.0917,4.5,0.5,4
4.6,-179245.8175,-229450.3315,4.501,0.501,4
4.7,-91407.81851,-228244.3191,4.75,0.75,4
4.8,-32156.08595,-227101.2554,4.7501,0.7501,4
4.9,-69254.27583,-224560.9971, , , 
5,-178306.5429,-223187.9909,5,0,5
5.1,-268985.1621,-225766.1206, ,,5
5.2,-293472.5922,-229156.4542,5.25,0.25,5
5.3,-262734.7224,-230635.7464,5.2501,0.2501,5
5.4,-191177.9141,-230002.836, , ,5
5.5,-114947.8138,-228707.1851,5.5,0.5,5
5.6,-82284.50057,-227044.9909,5.501,0.501,5
5.7,-131120.3875,-225132.1718,5.75,0.75,5
5.8,-233691.0529,-225582.3578,5.7501,0.7501,5
5.9,-274554.1077,-228102.1417, , ,5
6,-145600.4616,-227693.0769,6,0,6
6.1,185699.9787,-235911.3511, ,,6
6.2,603585.1953,-279232.1071,6.25,0.25,6
6.3,844580.455,-331713.6321,6.2501,0.2501,6
6.4,845989.0757,-346804.8275, , ,6
6.5,721553.8057,-330965.2789,6.5,0.5,6
6.6,592857.2495,-308609.8761,6.501,0.501,6
6.7,513248.7239,-292131.9493,6.75,0.75,6
6.8,416853.5598,-275022.9323,6.7501,0.7501,6
6.9,584433.3777,-288646.3835, , ,6
7,1013273.876,-375651.2459,7,0,7
7.1,1247243.84,-467257.0745, ,, 
7.2,1063552.031,-450029.6171,7.25,0.25,7
7.3,594755.9565,-355147.2728,7.2501,0.2501,7
7.4,31783.24201,-280036.4673, , , 
7.5,-400159.8783,-263984.4253,7.5,0.5,7
7.6,-517240.2112,-268216.0323,7.501,0.501,7
7.7,-392506.9928,-261221.3646,7.75,0.75,7
7.8,-201760.5768,-250790.4833,7.7501,0.7501,7
7.9,-70339.86995,-243303.9461, , , 
