time,p:1,q :1,,,
0,-0.339545129,1.2117E-11,,,
0.1,151214.4813,-2768639.307,0,,
0.2,452303.2943,-2062026.867,0.25,,
0.3,556153.7442,-1540413.278,0.2501,,
0.4,426100.6225,-1132151.703,,,
0.5,191607.217,-830656.701,0.5,,
0.6,25050.23041,-627935.9808,0.501,,
0.7,82015.23784,-498321.012,0.75,,
0.8,330427.9968,-426964.1725,0.7501,,
0.9,587398.478,-401503.0962,,,
1,707431.7597,-389084.7838,1,,
1.1,661882.9685,-362295.7112,,,
1.2,539883.1976,-327355.8465,1.25,,
1.3,468334.6776,-302341.8377,1.2501,,
1.4,637154.3156,-313549.9926,,,
1.5,986684.4031,-382597.4252,1.5,,
1.6,1243695.484,-472059.3119,1.501,,
1.7,1300106.646,-522480.5368,1.75,,
1.8,1205668.582,-518327.9149,1.7501,,
1.9,846681.4135,-435183.4954,,,
2,266926.4647,-326250.2301,2,0,
2.1,-196493.1438,-278204.1245,,,
2.2,-267628.0286,-262676.7447,2.25,0.25,
2.3,22526.8067,-252942.1489,2.2501,0.2501,
2.4,299655.6295,-260024.5088, , ,
2.5,301558.2736,-255023.3948,2.5,0.5,
2.6,75127.26071,-234982.3913,2.501,0.501,
2.7,-191617.21,-225905.245,2.75,0.75,
2.8,-325029.7332,-229528.0467,2.7501,0.7501,
2.9,-283792.935,-231493.9133, , ,
3,-160002.4063,-230368.2698,3,0,3
3.1,-72807.41965,-229002.0324, ,, 
3.2,-94708.12729,-226490.8513,3.25,0.25,3
3.3,-134110.4689,-252523.2895,3.2501,0.2501,3
3.4,-193691.0324,-225477.9456, , ,3
3.5,64546.90411,-228690.8835,3.5,0.5,3
3.6,538038.3695,-267378.084,3.501,0.501,3
3.7,1214654.045,-416459.286,3.75,0.75,3
3.8,1786062.826,-681223.7446,3.7501,0.7501,3
3.9,1974071.301,-886244.0661, , , 
4,1852652.135,-930538.747,4,0,4
4.1,1599612.403,-859215.4717, ,,4
4.2,1376302.612,-762730.803,4.25,0.25,4
4.3,1301375.946,-703994.2639,4.2501,0.2501,4
4.4,1413758.776,-715323.062, , , 
4.5,1576972.758,-775975.6072,4.5,0.5,4
4.6,1629269.603,-817422.0529,4.501,0.501,4
4.7,1487132.949,-777051.0889,4.75,0.75,4
4.8,1199463.657,-664239.0204,4.7501,0.7501,4
4.9,848390.5536,-532214.2802, , , 
5,577891.0596,-429698.8613,5,0,5
5.1,513205.7172,-374512.8846, ,,5
5.2,578887.3162,-352466.291,5.25,0.25,5
5.3,601980.3891,-337436.4865,5.2501,0.2501,5
5.4,483475.2173,-308176.5258, , ,5
5.5,307160.5822,-275542.9582,5.5,0.5,5
5.6,222547.7825,-256395.2228,5.501,0.501,5
5.7,217198.2235,-247683.097,5.75,0.75,5
5.8,218372.7044,-242249.3954,5.7501,0.7501,5
5.9,171101.3862,-235529.945, , ,5
6,76748.68393,-227572.4102,6,0,6
6.1,-3176.810376,-222651.7634, ,,6
6.2,-19297.92772,-221228.8001,6.25,0.25,6
6.3,71655.50785,-223526.1655,6.2501,0.2501,6
6.4,411637.8043,-247565.7126, , ,6
6.5,905958.14,-333208.2646,6.5,0.5,6
6.6,1255554.242,-449731.7367,6.501,0.501,6
6.7,1419630.68,-545738.9817,6.75,0.75,6
6.8,1452556.223,-602583.5912,6.7501,0.7501,6
6.9,1425884.226,-626264.7457, , ,6
7,1421855.668,-644356.8977,7,0,7
7.1,1465302.827,-676562.1968, ,, 
7.2,1477142.41,-697399.4127,7.25,0.25,7
7.3,1476319.077,-709232.7693,7.2501,0.2501,7
7.4,1405205.542,-692606.0046, , , 
7.5,1281519.029,-645069.1074,7.5,0.5,7
7.6,1231036.421,-612566.7581,7.501,0.501,7
7.7,1209165.358,-591551.9191,7.75,0.75,7
7.8,1120959.883,-553378.4784,7.7501,0.7501,7
7.9,778303.203,-455064.0789, , , 
8,299561.9777,-348789.1191,8,0,8
8.1,80472.33928,-296474.8288, ,, 
8.2,215116.1678,-279106.4756,8.25,0.25,8
8.3,498748.1701,-292461.4802,8.2501,0.2501,8
8.4,652207.4181,-311088.4165, , , 
8.5,576379.9966,-300162.1328,8.5,0.5,8
8.6,375570.274,-270976.5784,8.501,0.501,8
8.7,155807.0791,-245357.8494,8.75,0.75,8
8.8,18931.2421,-232026.2698,8.7501,0.7501,8
8.9,23067.80493,-227993.5271, , , 
9,117669.9369,-229354.906,9,0,9
9.1,215554.496,-233690.7054, ,, 
9.2,237473.2524,-234724.297,9.25,0.25,9
9.3,203867.9134,-231520.7234,9.2501,0.2501,9
9.4,205063.1339,-230610.7151, , , 
9.5,270737.804,-235109.105,9.5,0.5,9
9.6,367282.8922,-244539.7784,9.501,0.501,9
9.7,489620.5543,-260250.7023,9.75,0.75,9
9.8,614913.3805,-282175.6721,9.7501,0.7501,9
9.9,756296.0838,-312493.0389, , , 
10,897535.0751,-351879.1139,10,0,10
10.1,972506.0154,-383625.5672, ,, 
10.2,934535.1045,-389047.1822,10.25,0.25,10
10.3,796219.0041,-365450.9564,10.2501,0.2501,10
10.4,571623.9564,-322914.4453, , , 
10.5,360434.699,-284100.0804,10.5,0.5,10
10.6,305531.9697,-266063.4464,10.501,0.501,10
10.7,372076.0634,-264084.7308,10.75,0.75,10
10.8,447414.5514,-268323.199,10.7501,0.7501,10
10.9,285872.3799,-251308.951, , , 
11,-77053.6747,-227989.9031,11,0,11
11.1,-303575.8787,-227861.6833, ,, 
11.2,-300014.1433,-230856.1466,11.25,0.25,11
11.3,-182555.0835,-230167.1555,11.2501,0.2501,11
11.4,-105210.1775,-228920.4041, , , 
11.5,-133216.9294,-226835.4407,11.5,0.5,11
11.6,-219162.9952,-226515.1719,11.501,0.501,11
11.7,-290965.5264,-229200.0262,11.75,0.75,11
11.8,-306988.0136,-232080.1507,11.7501,0.7501,11
11.9,-274348.0906,-232995.5554, , , 
12,-230640.2464,-232413.0492,12,0,12
12.1,-208990.9761,-231363.7038, ,, 
12.2,-201988.5661,-230296.6122,12.25,0.25,12
12.3,-175925.1546,-229129.9037,12.2501,0.2501,12
12.4,-88347.27743,-227874.9378, , , 
12.5,33161.82643,-228421.3108,12.5,0.5,12
12.6,113718.744,-229533.7147,12.501,0.501,12
12.7,181345.9259,-231324.5701,12.75,0.75,12
12.8,266863.4732,-236465.4886,12.7501,0.7501,12
12.9,341127.0795,-243121.788, , , 
13,365251.3019,-246599.2158,13,0,13
13.1,325206.9468,-243480.5016, ,, 
13.2,281000.7626,-239002.7089,13.25,0.25,13
13.3,307535.847,-240391.372,13.2501,0.2501,13
13.4,405057.2533,-250239.5075, , , 
13.5,497649.1475,-263557.827,13.5,0.5,13
13.6,521430.6693,-270277.5077,13.501,0.501,13
13.7,460347.9327,-265076.4896,13.75,0.75,13
13.8,354288.2486,-252911.4557,13.7501,0.7501,13
13.9,116685.6903,-233146.6309, , , 
14,-220431.9144,-223509.8573,14,0,14
14.1,-437381.742,-234054.7083, ,, 
14.2,-438282.3423,-241834.312,14.25,0.25,14
14.3,-293480.5026,-239707.4474,14.2501,0.2501,14
14.4,-156307.5036,-236049.913, , , 
14.5,-120110.7578,-232527.707,14.5,0.5,14
14.6,-173270.8445,-229624.3781,14.501,0.501,14
14.7,-240551.0361,-229368.8073,14.75,0.75,14
14.8,-263544.0802,-230480.6938,14.7501,0.7501,14
14.9,-238530.3003,-230775.4303, , , 
15,-194211.9964,-230045.0779,15,0,15
15.1,-162736.8921,-228863.543, ,, 
15.2,-152106.4131,-227603.6422,15.25,0.25,15
15.3,-153602.8668,-226592.3828,15.2501,0.2501,15
15.4,-175039.4962,-226115.4009, , , 
15.5,-210299.0611,-226482.9157,15.5,0.5,15
15.6,-233783.0607,-227561.8387,15.501,0.501,15
15.7,-245654.8876,-228806.5132,15.75,0.75,15
15.8,-249912.6159,-229834.6237,15.7501,0.7501,15
15.9,-214837.59,-229734.5344, , , 
16,-146421.2296,-228716.4202,16,0,16
16.1,-93658.10756,-227401.1033, ,, 
16.2,-79440.13997,-225774.2881,16.25,0.25,16
16.3,-94546.69682,-224199.794,16.2501,0.2501,16
16.4,-130206.6814,-223288.4154, , , 
16.5,-168228.4897,-223376.4711,16.5,0.5,16
16.6,-183467.146,-224131.6382,16.501,0.501,16
16.7,-156885.3444,-224578.8397,16.75,0.75,16
16.8,-100029.2471,-224619.0386,16.7501,0.7501,16
16.9,-101697.1905,-223990.9104, , , 
17,-187965.0561,-223633.3469,17,0,17
17.1,-280945.7836,-226578.4866, ,, 
17.2,-317239.7376,-230641.842,17.25,0.25,17
17.3,-291266.7281,-232577.6241,17.2501,0.2501,17
17.4,-231955.6028,-232188.6934, , , 
17.5,-174411.3463,-230748.3744,17.5,0.5,17
17.6,-141736.5056,-229016.7097,17.501,0.501,17
17.7,-132728.8131,-227359.4638,17.75,0.75,17
17.8,-136940.4361,-226081.9145,17.7501,0.7501,17
17.9,-142668.6835,-225270.998, , , 
18,-140485.5269,-224797.8784,18,0,18
18.1,-129288.2043,-224441.7514, ,, 
18.2,-112988.753,-224065.4259,18.25,0.25,18
18.3,-97300.58062,-223633.5658,18.2501,0.2501,18
18.4,-84984.33208,-223157.8898, , , 
18.5,-80325.89266,-222664.7503,18.5,0.5,18
18.6,-86337.88159,-222171.6757,18.501,0.501,18
18.7,-99110.67182,-221841.0176,18.75,0.75,18
18.8,-111172.5851,-221778.6804,18.7501,0.7501,18
18.9,-133711.0193,-221970.6717, , , 
19,-170093.9283,-222595.2022,19,0,19
19.1,-202456.4066,-223899.7064, ,, 
19.2,-204037.548,-225148.0646,19.25,0.25,19
19.3,-160104.7351,-225527.9841,19.2501,0.2501,19
19.4,-146479.6539,-225438.0451, , , 
19.5,-200301.0777,-225532.05,19.5,0.5,19
19.6,-262889.8648,-227513.3131,19.501,0.501,19
19.7,-288433.521,-230153.6782,19.75,0.75,19
19.8,-272052.6913,-231569.2333,19.7501,0.7501,19
19.9,-240288.8111,-231644.8052, , , 
20,-218388.3219,-231063.3212,20,0,20
20.1,-208312.3663,-230296.0351, ,, 
20.2,-210107.4138,-229723.0406,20.25,0.25,20
20.3,-222661.9411,-229562.4838,20.2501,0.2501,20
20.4,-226302.5065,-229608.9166, , , 
20.5,-211969.4695,-229415.9099,20.5,0.5,20
20.6,-190689.767,-228855.4841,20.501,0.501,20
20.7,-191831.0193,-228331.6691,20.75,0.75,20
20.8,-223240.8684,-228450.8806,20.7501,0.7501,20
20.9,-252481.854,-229457.3897, , , 
21,-251708.6685,-230337.314,21,0,21
21.1,-218503.5382,-230200.8097, ,, 
21.2,-111741.2935,-228861.087,21.25,0.25,21
21.3,71022.80713,-230743.8521,21.2501,0.2501,21
21.4,290162.9914,-241806.8897, , , 
21.5,467364.6515,-260250.3274,21.5,0.5,21
21.6,530464.4788,-271491.7004,21.501,0.501,21
21.7,487234.4787,-268815.0646,21.75,0.75,21
21.8,403950.0449,-259050.7611,21.7501,0.7501,21
21.9,322422.4251,-249106.1812, , , 
22,272816.3315,-242153.2086,22,0,22
