time,p:1,timeStamp
0,-0.339545129,0.1
0.001,-1565916.292,0.25
0.002,-2895182.823,0.251
0.003,-3818238.955,0.5
0.004,-4223183.138,0.501
0.005,-4069129.151,0.75
0.006,-3389875.377,0.751
0.007,-2287638.4,1
0.008,-917917.9505,1.01
0.009,532296.3946,1.25
0.01,1869942.049,1.251
0.011,2921484.901,1.5
0.012,3555325.553,1.501
0.013,3698133.592,1.75
0.014,3343103.442,1.751
0.015,2549239.092,2
0.016,1431979.43,2.01
0.017,146610.0752,2.25
0.018,-1133176.345,2.251
0.019,-2238627.137,2.5
0.02,-3028059.274,2.501
0.021,-3404883.703,2.75
0.022,-3329247.344,2.751
0.023,-2821912.517,3
0.024,-1960050.473,3.01
0.025,-865699.5771,3.25
0.026,311412.3542,3.251
0.027,1414280.202,3.5
0.028,2299498.543,3.501
0.029,2855839.658,3.75
0.03,3018138.781,3.751
0.031,2774769.542,4
0.032,2167879.282,4.01
0.033,1286528.673,4.25
0.034,253812.1376,4.251
0.035,-790196.8728,4.5
0.036,-1707325.903,4.501
0.037,-2379475.272,4.75
0.038,-2723702.874,4.751
0.039,-2702307.941,5
0.04,-2326705.472,5.01
0.041,-1654730.987,5.25
0.042,-781890.1482,5.251
0.043,172146.3111,5.5
0.044,1079906.569,5.501
0.045,1823113.775,5.75
0.046,2308057.964,5.751
0.047,2477356.36,6
0.048,2316638.968,6.01
0.049,1855400.872,6.25
0.05,1162050.223,6.251
0.051,333945.4882,6.5
0.052,-516142.9702,6.501
0.053,-1275275.277,6.75
0.054,-1845237.362,6.751
0.055,-2155133.683,7
0.056,-2170072.844,7.01
0.057,-1894895.598,7.25
0.058,-1372573.874,7.251
0.059,-677621.0097,7.5
0.06,94497.08932,7.501
0.061,840456.8493,7.75
0.062,1462890.734,7.751
0.063,1883080.976,8
0.064,2050886.757,8.01
0.065,1950662.921,8.25
0.066,1602486.897,8.251
0.067,1058645.757,8.5
0.068,395961.4348,8.501
0.069,-294933.0608,8.75
0.07,-921878.5762,8.751
0.071,-1403378.246,9
0.072,-1679084.703,9.01
0.073,-1717244.554,9.25
0.074,-1518192.312,9.251
0.075,-1113528.833,9.5
