time,p:1,q :1,timeStamp
0,-0.339545129,1.21E-11,0.1
0.001,-1565916.29,-207280.2292,0.25
0.002,-2895182.764,-796175.4081,0.251
0.003,-3818238.522,-1681221.683,0.5
0.004,-4223181.396,-2739593.369,0.501
0.005,-4069124.132,-3828132.546,0.75
0.006,-3389863.714,-4802704.159,0.751
0.007,-2287615.121,-5537268.461,1
0.008,-917876.4817,-5940155.359,1.01
0.009,532363.9634,-5965448.65,1.25
0.01,1870044.482,-5618079.169,1.251
0.011,2921631.19,-4952087.569,1.5
0.012,3555524.258,-4062432.066,1.501
0.013,3698392.285,-3071562.064,1.75
0.014,3343428.385,-2112644.644,1.751
0.015,2549635.23,-1311733.234,2
0.016,1432450.744,-771258.7182,2.01
0.017,147160.264,-556997.4065,2.25
0.018,-1132542.938,-690164.4303,2.251
0.019,-2237904.509,-1145567.995,2.5
0.02,-3027238.823,-1855938.468,2.501
0.021,-3403953.551,-2721727.324,2.75
0.022,-3328192.063,-3624962.858,2.751
0.023,-2820713.35,-4445243.451,3
0.024,-1958686.054,-5075707.721,3.01
0.025,-864147.0804,-5436870.327,3.25
0.026,313175.7967,-5486539.801,3.251
0.027,1416276.031,-5224591.252,3.5
0.028,2301745.487,-4692073.721,3.501
0.029,2858352.867,-3964892.513,3.75
0.03,3020929.548,-3143019.236,3.751
0.031,2777845.708,-2336753.254,4
0.032,2171246.311,-1651915.299,4.01
0.033,1290191.268,-1175954.461,4.25
0.034,257776.1835,-966785.9516,4.251
0.035,-785922.3386,-1045776.44,4.5
0.036,-1702726.996,-1395714.455,4.501
0.037,-2374532.139,-1963925.987,4.75
0.038,-2718389.365,-2670011.539,4.751
0.039,-2696592.179,-3417081.127,5
0.04,-2320551.294,-4104925.509,5.01
0.041,-1648100.088,-4643339.661,5.25
0.042,-774744.6505,-4963833.03,5.251
0.043,179841.2519,-5028212.746,5.5
0.044,1088180.508,-4832972.511,5.501
0.045,1831989.45,-4408998.004,5.75
0.046,2317550.763,-3816730.021,5.751
0.047,2487474.936,-3137524.505,6
0.048,2327386.962,-2462435.671,6.01
0.049,1866779.554,-1879962.461,6.25
0.05,1174061.69,-1464401.886,6.251
0.051,346595.9814,-1266336.34,6.5
0.052,-502840.1336,-1306466.146,6.501
0.053,-1261297.615,-1573529.481,6.75
0.054,-1830552.338,-2026495.04,6.751
0.055,-2139699.222,-2600643.645,7
0.056,-2153839.238,-3216649.139,7.01
0.057,-1877808.605,-3791391.674,7.25
0.058,-1354578.599,-4249035.022,7.251
0.059,-658666.0378,-4530896.677,7.5
0.06,114455.9063,-4602831.414,7.501
0.061,861453.5307,-4459206.05,7.75
0.062,1484947.692,-4123014.527,7.751
0.063,1906209.199,-3642203.291,8
0.064,2075087.707,-3082776.968,8.01
0.065,1975931.92,-2519667.885,8.25
0.066,1628817.599,-2026627.068,8.251
0.067,1086035.077,-1666495.826,8.5
0.068,424414.2466,-1483136.399,8.501
0.069,-265400.1425,-1496052.207,8.75
0.07,-891234.9202,-1698349.549,8.751
0.071,-1371578.82,-2058236.216,9
0.072,-1646071.713,-2523780.381,9.01
