TimeStamp,wSpeed.100
0,9.45
0.25,9.74
0.2501,10.1
0.5,10.32
0.501,10.35
0.75,10.58
0.7501,8.25
1,8.06
1.01,7.3
1.25,7.13
1.2501,6.71
1.5,6.45
1.501,6.29
1.75,6.42
1.7501,6.58
2,6.59
2.01,7.34
2.25,8.39
2.2501,9.16
2.5,9.98
2.501,11.05
2.75,11.31
2.7501,11.34
3,11.3
3.01,11.2
3.25,11.29
3.2501,10.74
3.5,10.67
3.501,10.51
3.75,10.29
3.7501,9.13
4,9.41
4.01,9.5
4.25,9.72
4.2501,9.43
4.5,8.97
4.501,8.75
4.75,9
4.7501,9.32
5,9.37
5.01,9.48
5.25,9.96
5.2501,10.08
5.5,10.24
5.501,10.16
5.75,9.96
5.7501,10.01
6,10.13
6.01,10.01
6.25,9.9
6.2501,9.73
6.5,9.6
6.501,9.56
6.75,9.31
6.7501,7.9
7,7.73
7.01,7.51
7.25,7.43
7.2501,7.38
7.5,7.13
7.501,7.25
7.75,7.71
7.7501,8.07
8,8.09
8.01,8.49
8.25,9.08
8.2501,9.48
8.5,9.53
8.501,9.75
8.75,9.83
8.7501,10.02
9,10.11
9.01,10.23
9.25,10.25
9.2501,10.61
9.5,10.35
9.501,9.78
9.75,9.4
9.7501,7.51
10,7.35
10.01,7.18
10.25,6.8
10.2501,6.85
10.5,7.26
10.501,7.4
10.75,7.57
10.7501,7.86
11,7.7
11.01,7.89
11.25,8.45
11.2501,8.71
11.5,8.71
11.501,8.72
11.75,8.88
11.7501,8.98
12,9.1
12.01,9.14
12.25,8.75
12.2501,8.16
12.5,7.64
12.501,7.51
12.75,7.93
12.7501,6.31
13,6.24
13.01,6
13.25,5.66
13.2501,5.38
13.5,5.21
13.501,4.73
13.75,4.63
13.7501,4.77
14,4.88
14.01,6.13
14.25,7.44
14.2501,8.08
14.5,8.54
14.501,8.77
14.75,8.5
14.7501,8.2
15,8.19
15.01,8.49
15.25,8.84
15.2501,9.91
15.5,10.01
15.501,9.95
15.75,9.4
15.7501,7.19
16,7.32
16.01,7.09
16.25,6.96
16.2501,6.7
16.5,6.78
16.501,7.1
16.75,7.6
16.7501,7.79
17,8.1
17.01,8.5
17.25,9.32
17.2501,9.74
17.5,9.85
17.501,9.99
17.75,9.93
17.7501,10.02
18,9.96
18.01,9.68
18.25,9.53
18.2501,9.32
18.5,9.12
18.501,8.94
18.75,8.88
18.7501,7.88
19,8.55
19.01,8.94
19.25,9.18
19.2501,9.13
19.5,8.68
19.501,8.52
19.75,8.46
19.7501,8.62
20,8.78
20.01,8.87
20.25,9.42
20.2501,9.74
20.5,9.89
20.501,9.74
20.75,9.43
20.7501,9.35
21,9.49
21.01,9.45
21.25,9.44
21.2501,9.72
21.5,9.85
21.501,9.31
21.75,9
21.7501,7.22
22,7.79
22.01,7.66
22.25,7.36
22.2501,7.25
22.5,7.12
22.501,7.15
22.75,7.33
22.7501,7.52
23,7.32
23.01,7.7
23.25,8.44
23.2501,8.89
23.5,9.21
23.501,9.04
23.75,9.22
23.7501,9.3
24,9.47
24.01,9.66
24.25,9.43
24.2501,8.83
24.5,8.67
24.501,8.85
24.75,8.85
24.7501,8.19
25,9.14
25.01,9.2
25.25,9.26
25.2501,9.19
25.5,9.11
25.501,8.84
25.75,8.78
25.7501,8.72
26,8.52
26.01,8.61
26.25,9.12
26.2501,9.52
26.5,9.55
26.501,9.47
26.75,9.77
26.7501,9.57
27,9.44
27.01,9.45
27.25,9.25
27.2501,10.09
27.5,10.41
27.501,10.37
27.75,10.11
27.7501,8.56
28,9.32
28.01,9.52
28.25,9.51
28.2501,9.26
28.5,8.52
28.501,8.33
28.75,8.55
28.7501,8.96
29,9.23
29.01,9.24
29.25,9.67
29.2501,9.64
29.5,9.44
29.501,9.48
29.75,9.61
29.7501,9.62
30,9.89
30.01,9.93
30.25,10.03
