TimeStamp,wSpeed100,,,,w250,w300,w350,w400
0,7.2,,,,7.05,7.2,10.58,7.61
0.25,6.85,,,,8.39,6.85,10.59,8.62
0.2501,6.54,,,,8.79,6.54,10.55,9.71
0.5,6.58,,,,9.25,6.58,10.96,9.94
0.501,6.75,,,,9.96,6.75,10.72,10.16
0.75,7,,,,10.64,7,9.36,10.03
0.7501,7.17,,,,10.77,7.17,8.26,9.6
1,7.37,,,,11.09,7.37,8.28,9.22
1.01,7.65,,,,11.29,7.65,7.58,9.04
1.25,8.72,,,,11.39,8.72,7.23,9.79
1.2501,9.53,,,,12.64,9.53,7.13,10.53
1.5,10.09,,,,12.6,10.09,7.22,10.82
1.501,10.57,,,,12.66,10.57,7.26,10.39
1.75,10.51,,,,12.46,10.51,7.35,9.49
1.7501,10.28,,,,10.96,10.28,7.49,7.42
2,10.58,,,,8.66,10.58,7.75,6.34
2.01,10.57,,,,8.81,10.57,8.22,6.36
2.25,10.69,,,,9.22,10.69,9.28,6.38
2.2501,10.73,,,,8.48,10.73,9.57,6.5
2.5,10.61,,,,7.68,10.61,9.92,6.65
2.501,9.99,,,,7.07,9.99,10.73,6.91
2.75,9.34,,,,6.85,9.34,10.97,7.11
2.7501,7.2,,,,6.92,7.2,10.98,7.71
3,6.63,,,,6.58,6.63,10.99,8.47
3.01,6.13,,,,6.88,6.13,10.97,9.18
3.25,5.56,,,,7.08,5.56,10.89,10.31
3.2501,5.33,,,,7.05,5.33,11.93,10.56
3.5,5.06,,,,8.83,5.06,12.15,10.79
3.501,4.65,,,,11.66,4.65,12.43,10.94
3.75,4.62,,,,13.01,4.62,11.45,11.05
3.7501,5.14,,,,13.65,5.14,9.87,10.94
4,6.06,,,,13.76,6.06,9.3,10.28
4.01,7.52,,,,14.06,7.52,9,9.96
4.25,9.41,,,,14.48,9.41,8.6,9.97
4.2501,9.77,,,,14.7,9.77,8.32,10.06
4.5,10.21,,,,14.5,10.21,8.02,10.11
4.501,10.51,,,,14.66,10.51,7.98,10.46
4.75,10.56,,,,14.43,10.56,8.15,9.65
4.7501,10.21,,,,12.55,10.21,8.47,7.89
5,10.16,,,,11.43,10.16,8.83,7.15
5.01,10.42,,,,11.15,10.42,8.87,7.41
5.25,10.59,,,,10.22,10.59,9.28,7.6
5.2501,10.48,,,,8.91,10.48,9.73,7.97
5.5,10.07,,,,8.27,10.07,10.07,8.18
5.501,9.85,,,,7.9,9.85,10.44,8.18
5.75,9.7,,,,7.6,9.7,10.43,8.56
5.7501,8.89,,,,7.23,8.89,10.66,8.81
6,7.26,,,,6.67,7.26,10.92,8.99
6.01,6.56,,,,6.78,6.56,10.94,8.87
6.25,7.12,,,,7.65,7.12,11.14,9.59
6.2501,7.85,,,,8.2,7.85,11.32,10.29
6.5,8.1,,,,11.06,8.1,11.6,10.6
6.501,7.79,,,,12.25,7.79,11.81,10.94
6.75,7.45,,,,12.68,7.45,10.95,11.12
6.7501,7.33,,,,12.75,7.33,9.94,11.05
7,7.36,,,,12.59,7.36,9.9,10.69
7.01,7.63,,,,12.65,7.63,10.02,10.27
7.25,8.65,,,,12.78,8.65,9.69,10.04
7.2501,9.32,,,,12.83,9.32,9.4,10.11
7.5,10.23,,,,13.01,10.23,9.21,7.58
7.501,10.67,,,,12.97,10.67,8.88,2.67
7.75,10.48,,,,12.66,10.48,8.85,2.11
7.7501,10.5,,,,10.81,10.5,8.8,1.63
8,10.3,,,,10.17,10.3,8.91,1.67
8.01,10.41,,,,10.45,10.41,8.73,1.92
8.25,10.73,,,,10.08,10.73,9.21,2.36
8.2501,10.91,,,,9.72,10.91,9.85,3.24
8.5,11.11,,,,9.45,11.11,10.77,3.78
