time,p:1,q :1,timeStamp
0,-0.339545129,1.16E-11,0.1
0.001,-1565916.293,-207280.2103,0.25
0.002,-2895182.829,-796175.122,0.251
0.003,-3818238.993,-1681220.363,0.5
0.004,-4223183.289,-2739589.705,0.501
0.005,-4069129.585,-3828124.99,0.75
0.006,-3389876.383,-4802691.48,0.751
0.007,-2287640.409,-5537250.357,1
0.008,-917921.5294,-5940132.871,1.01
0.009,532290.5628,-5965424.138,1.25
0.01,1869933.207,-5618055.718,1.251
0.011,2921472.273,-4952067.852,1.5
0.012,3555308.401,-4062416.847,1.501
0.013,3698111.26,-3071548.71,1.75
0.014,3343075.39,-2112626.088,1.751
0.015,2549204.892,-1311697.803,2
0.016,1431938.738,-771191.1306,2.01
0.017,146562.5709,-556881.0036,2.25
0.018,-1133231.036,-689984.4118,2.251
0.019,-2238689.535,-1145315.15,2.5
0.02,-3028130.121,-1855612.658,2.501
0.021,-3404964.025,-2721339.881,2.75
0.022,-3329338.475,-3624537.123,2.751
0.023,-2822016.08,-4444812.921,3
0.024,-1960168.313,-5075311.689,3.01
0.025,-865833.6688,-5436547.37,3.25
0.026,311260.0324,-5486319.977,3.251
0.027,1414107.794,-5224488.284,3.5
0.028,2299304.427,-4692078.64,3.501
0.029,2855622.52,-3964970.229,3.75
0.03,3017897.642,-3143109.145,3.751
0.031,2774503.719,-2336774.463,4
0.032,2167588.298,-1651776.268,4.01
0.033,1286212.117,-1175566.041,4.25
0.034,253469.4984,-966076.0737,4.251
0.035,-790566.3806,-1044704.149,4.5
0.036,-1707723.483,-1394280.82,4.501
0.037,-2379902.644,-1962179.598,4.75
0.038,-2724162.302,-2668046.963,4.751
0.039,-2702802.188,-3415029.645,5
0.04,-2327237.673,-4102938.694,5.01
0.041,-1655304.463,-4641567.591,5.25
0.042,-782508.1872,-4962400.048,5.251
0.043,171480.68,-5027194.374,5.5
0.044,1079190.772,-4832377.356,5.501
0.045,1822345.826,-4408758.073,5.75
0.046,2307236.511,-3816701.859,5.751
0.047,2476480.634,-3137502.092,6
0.048,2315708.634,-2462174.218,6.01
0.049,1854415.804,-1879210.482,6.25
0.05,1161010.223,-1462937.366,6.251
0.051,332850.003,-1264001.833,6.5
0.052,-517295.1043,-1303197.336,6.501
0.053,-1276486.017,-1569372.288,6.75
0.054,-1846509.535,-2021607.686,6.751
0.055,-2156470.947,-2595282.095,7
0.056,-2171479.52,-3211136.745,7.01
0.057,-1896376.409,-3786076.295,7.25
0.058,-1374133.609,-4244239.073,7.251
0.059,-679264.1608,-4526867.038,7.5
0.06,92766.64791,-4599696.668,7.501
0.061,838636.115,-4456947.935,7.75
0.062,1460977.706,-4121458.864,7.751
0.063,1881074.64,-3641033.053,8
0.064,2048786.93,-3081567.043,8.01
0.065,1948469.952,-2517937.841,8.25
0.066,1600201.292,-2023905.328,8.251
0.067,1056267.744,-1662386.593,8.5
0.068,393490.5601,-1477379.761,8.501
0.069,-297498.263,-1488568.273,8.75
0.07,-924540.7854,-1689259.297,8.751
0.071,-1406141.394,-2047854.673,9
0.072,-1681953.836,-2512581.538,9.01
0.073,-1720225.536,-3018784.958,9.25
0.074,-1521291.398,-3497761.682,9.251
0.075,-1116752.176,-3885932.901,9.5
0.076,-564550.313,-4133135.636,9.501
0.077,59308.13051,-4208955.85,9.75
0.078,671212.7179,-4106309.267,9.751
0.079,1191157.16,-3841857.577,10
0.08,1553201.08,-3453275.561,10.01
