time,p:1,q :1,timeStamp
0,-0.339545129,1.21E-11,0
0.001,-1565916.292,-207280.2142,0.25
0.002,-2895182.815,-796175.1804,0.251
0.003,-3818238.897,-1681220.633,0.5
0.004,-4223182.902,-2739590.453,0.501
0.005,-4069128.471,-3828126.533,0.75
0.006,-3389873.795,-4802694.069,0.751
0.007,-2287635.243,-5537254.054,1
0.008,-917912.3268,-5940137.464,1.01
0.009,532305.5582,-5965429.143,1.25
0.01,1869955.941,-5618060.504,1.251
0.011,2921504.741,-4952071.871,1.5
0.012,3555352.504,-4062419.94,1.501
0.013,3698168.68,-3071551.412,1.75
0.014,3343147.517,-2112629.836,1.751
0.015,2549292.826,-1311704.977,2
0.016,1432043.363,-771204.8463,2.01
0.017,146684.7088,-556904.6605,2.25
0.018,-1133090.421,-690021.0314,2.251
0.019,-2238529.108,-1145366.615,2.5
0.02,-3027947.971,-1855678.998,2.501
0.021,-3404757.516,-2721418.786,2.75
0.022,-3329104.178,-3624623.827,2.751
0.023,-2821749.826,-4444900.579,3
0.024,-1959865.356,-5075392.263,3.01
0.025,-865488.9333,-5436612.958,3.25
0.026,311651.6305,-5486364.404,3.251
0.027,1414551.024,-5224508.694,3.5
0.028,2299803.457,-4692076.804,3.501
0.029,2856180.725,-3964953.245,3.75
0.03,3018517.54,-3143089.324,3.751
0.031,2775187.061,-2336768.271,4
0.032,2168336.309,-1651802.365,4.01
0.033,1287025.85,-1175642.629,4.25
0.034,254350.2678,-966217.8968,4.251
0.035,-789616.5587,-1044919.627,4.5
0.036,-1706701.516,-1394569.811,4.501
0.037,-2378804.114,-1962532.262,4.75
0.038,-2722981.388,-2668444.051,4.751
0.039,-2701531.794,-3415444.372,5
0.04,-2325869.744,-4103340.066,5.01
0.041,-1653830.465,-4641924.839,5.25
0.042,-780919.6742,-4962687.567,5.251
0.043,173191.4874,-5027396.446,5.5
0.044,1081030.482,-4832491.866,5.501
0.045,1824319.537,-4408798.517,5.75
0.046,2309347.688,-3816697.164,5.751
0.047,2478731.247,-3137494.028,6
0.048,2318099.535,-2462212.589,6.01
0.049,1856947.314,-1879346.614,6.25
0.05,1163682.841,-1463216.736,6.251
0.051,335665.1471,-1264456.897,6.5
0.052,-514334.4483,-1303841.652,6.501
0.053,-1273374.825,-1570196.962,6.75
0.054,-1843240.544,-2022580.862,6.751
0.055,-2153034.765,-2596351.827,7
0.056,-2167865.046,-3212237.104,7.01
0.057,-1892571.518,-3787136.05,7.25
0.058,-1370126.009,-4245191.853,7.251
0.059,-675042.3193,-4527661.568,7.5
0.06,97212.66727,-4600305.556,7.501
0.061,843314.0082,-4457373.616,7.75
0.062,1465892.594,-4121735.596,7.751
0.063,1886229.106,-3641224.419,8
0.064,2054181.427,-3081759.018,8.01
0.065,1954103.56,-2518228.154,8.25
0.066,1606072.7,-2024390.441,8.251
0.067,1062376.35,-1663148.043,8.5
0.068,399837.5189,-1478471.808,8.501
0.069,-290909.1942,-1490008.731,8.75
0.07,-917702.7306,-1691025.048,8.751
0.071,-1399044.261,-2049882.793,9
0.072,-1674584.672,-2514776.184,9.01
0.073,-1712569.293,-3021029.359,9.25
0.074,-1513332.028,-3499933.774,9.251
0.075,-1108473.899,-3887922.572,9.5
0.076,-555938.8876,-4134861.174,9.501
0.077,68264.31274,-4210377.198,9.75
0.078,680521.884,-4107436.028,9.751
0.079,1200823.866,-3842750.357,10
0.08,1563226.436,-3454040.159,10.01
0.081,1724206.067,-2994575.889,10.25
0.082,1667855.07,-2525787.489,10.251
0.083,1407309.964,-2108960.01,10.5
0.084,982315.5965,-1797134.516,10.501
0.085,453339.82,-1628280.509,10.75
0.086,-106901.6592,-1620614.011,10.751
0.087,-623330.0029,-1770632.092,11
0.088,-1028460.024,-2054062.803,11.01
0.089,-1271114.445,-2429539.652,11.25
0.09,-1322776.745,-2844453.918,11.251
0.091,-1180802.19,-3242162.379,11.5
0.092,-868139.7836,-3569567.096,11.501
0.093,-429686.3293,-3784056.569,11.75
0.094,74165.08778,-3858904.516,11.751
0.095,575863.6027,-3786446.744,12
0.096,1009780.885,-3578665.757,12.01
0.097,1320818.012,-3265164.083,12.25
0.098,1471415.481,-2888853.241,12.251
0.099,1446080.718,-2499980.131,12.5
0.1,1252896.203,-2149318.434,12.501
0.101,921883.3801,-1881444.3,12.75
0.102,500511.7637,-1728983.3,12.751
0.103,47016.18311,-1708567.233,13
0.104,-377541.9011,-1818996.722,13.01
0.105,-717394.2713,-2041802.506,13.25
0.106,-929291.1276,-2344077.145,13.251
0.107,-987900.5744,-2683151.68,13.5
0.108,-888714.7144,-3012457.385,13.501
0.109,-648139.583,-3287770.911,13.75
0.11,-300825.2888,-3473008.328,13.751
0.111,105344.7622,-3544811.969,14
0.112,515888.1639,-3495350.635,14.01
0.113,877067.2394,-3333003.184,14.25
0.114,1142956.693,-3080883.057,14.251
0.115,1281309.938,-2773447.921,14.5
0.116,1277479.657,-2451686.397,14.501
0.117,1135922.762,-2157550.8,14.75
0.118,879149.8076,-1928389.191,14.751
0.119,544319.3259,-1792112.878,15
0.12,177983.1991,-1763721.395,15.01
0.121,-170279.2366,-1843613.37,15.25
0.122,-454472.0331,-2017865.902,15.251
0.123,-638160.7891,-2260400.786,15.5
0.124,-699045.2,-2536708.428,15.501
0.125,-631557.1384,-2808601.831,15.75
0.126,-447189.5333,-3039348.775,15.751
0.127,-172567.6546,-3198494.992,16
0.128,154428.1988,-3265747.527,16.01
0.129,489930.1639,-3233426.054,16.25
0.13,790012.2036,-3107190.536,16.251
0.131,1016483.547,-2904988.347,16.5
0.132,1141785.541,-2654400.791,16.501
0.133,1152367.927,-2388776.606,16.75
0.134,1050136.156,-2142691.532,16.751
0.135,851825.6362,-1947349.702,17
0.136,586435.6413,-1826536.098,17.01
0.137,291108.2689,-1793642.423,17.25
0.138,6033.537241,-1850134.857,17.251
0.139,-230923.9645,-1985633.186,17.5
0.14,-389161.5967,-2179553.976,17.501
0.141,-449198.0233,-2404064.907,17.75
0.142,-404972.613,-2627929.798,17.751
0.143,-264319.4907,-2820715.717,18
0.144,-47597.95166,-2956797.661,18.01
0.145,215295.5126,-3018635.913,18.25
0.146,489100.3856,-2998909.314,18.251
0.147,737971.5169,-2901248.553,18.5
0.148,930219.8326,-2739504.658,18.501
0.149,1042390.182,-2535683.105,18.75
0.15,1062154.655,-2316847.471,18.751
0.151,989668.5374,-2111425.775,19
0.152,837247.3453,-1945421.586,19.01
0.153,627448.2023,-1839032.898,19.25
0.154,389847.2198,-1804116.23,19.251
0.155,156969.4252,-1842811.58,19.5
0.156,-40071.53728,-1947483.202,19.501
0.157,-175641.9438,-2101953.771,19.75
0.158,-232835.3579,-2283839.092,19.751
0.159,-205490.528,-2467649.539,20
